赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502129.0,1864.0,2018/11/18 01:00,762.0,644.0,,,欧国联,UEFA  NL,41_土耳其,Turkey,18_瑞典,Sweden,0.0,0.0,,,,,
1502128.0,1864.0,2018/10/15 23:59,746.0,762.0,,,欧国联,UEFA  NL,62_俄罗斯,Russia,41_土耳其,Turkey,0.0,0.0,,,,,
1502126.0,1864.0,2018/09/11 02:45,644.0,762.0,,,欧国联,UEFA  NL,18_瑞典,Sweden,41_土耳其,Turkey,0.0,0.0,,,,,
1502125.0,1864.0,2018/09/08 02:45,762.0,746.0,,,欧国联,UEFA  NL,41_土耳其,Turkey,62_俄罗斯,Russia,0.0,0.0,,,,,
1543750.0,1366.0,2018/06/05 23:59,746.0,762.0,1-1,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,41_土耳其,Turkey,0.0,0.0,,半球|0.5,赢,小,平
1543782.0,1366.0,2018/06/02 02:15,823.0,762.0,2-2,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,41_土耳其,Turkey,0.0,1.0,,受让平手/半球|-0/-0.5,输,大,平
1545939.0,1366.0,2018/05/29 02:15,762.0,783.0,2-1,1-0,国际友谊,INT FRL,41_土耳其,Turkey,34_伊朗,Iran,1.0,0.0,,半球|0.5,赢,大,胜
1521979.0,1366.0,2018/03/28 01:10,5282.0,762.0,2-2,1-2,国际友谊,INT FRL,46_黑山,Montenegro,41_土耳其,Turkey,0.0,0.0,,平手|0,走,大,平
1519561.0,1366.0,2018/03/24 01:30,762.0,630.0,1-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,32_爱尔兰,Ireland,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1477399.0,1366.0,2017/11/14 01:30,762.0,761.0,2-3,0-2,国际友谊,INT FRL,41_土耳其,Turkey,60_阿尔巴尼亚,Albania,0.0,1.0,,一球|1,输,大,负
1476835.0,1366.0,2017/11/10 02:15,635.0,762.0,2-0,1-0,国际友谊,INT FRL,40_罗马尼亚,Romania,41_土耳其,Turkey,0.0,0.0,,平手|0,输,小,负
1198628.0,650.0,2017/10/10 02:45,736.0,762.0,2-2,0-0,欧洲预选,WCPEU,68_芬兰,Finland,41_土耳其,Turkey,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,平
1198627.0,650.0,2017/10/07 02:45,762.0,756.0,0-3,0-2,欧洲预选,WCPEU,41_土耳其,Turkey,20_冰岛,Iceland,0.0,0.0,,半球|0.5,输,大,负
1198624.0,650.0,2017/09/06 02:45,762.0,768.0,1-0,0-0,欧洲预选,WCPEU,41_土耳其,Turkey,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198623.0,650.0,2017/09/03 02:45,634.0,762.0,2-0,2-0,欧洲预选,WCPEU,35_乌克兰,Ukraine,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,输,小,负
1311360.0,650.0,2017/06/12 02:45,5764.0,762.0,1-4,1-2,欧洲预选,WCPEU,178_科索沃,Kosovo,41_土耳其,Turkey,1.0,0.0,,受让球半/两球|-1.5/-2,赢,大,胜
1391048.0,1366.0,2017/06/06 01:45,770.0,762.0,0-0,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,41_土耳其,Turkey,0.0,0.0,,受让半球|-0.5,输,小,平
1372100.0,1366.0,2017/03/28 00:15,762.0,751.0,3-1,2-0,国际友谊,INT FRL,41_土耳其,Turkey,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,赢,大,胜
1198618.0,650.0,2017/03/25 01:00,762.0,736.0,2-0,2-0,欧洲预选,WCPEU,41_土耳其,Turkey,68_芬兰,Finland,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1311362.0,650.0,2016/11/13 01:00,762.0,5764.0,2-0,0-0,欧洲预选,WCPEU,41_土耳其,Turkey,178_科索沃,Kosovo,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
1198615.0,650.0,2016/10/10 02:45,756.0,762.0,2-0,2-0,欧洲预选,WCPEU,20_冰岛,Iceland,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,输,小,负
1198613.0,650.0,2016/10/07 02:45,762.0,634.0,2-2,1-2,欧洲预选,WCPEU,41_土耳其,Turkey,35_乌克兰,Ukraine,0.0,0.0,,半球|0.5,输,大,平
1198610.0,650.0,2016/09/06 02:45,768.0,762.0,1-1,1-1,欧洲预选,WCPEU,15_克罗地亚,Croatia,41_土耳其,Turkey,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1305628.0,1366.0,2016/09/01 02:30,762.0,746.0,0-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,62_俄罗斯,Russia,0.0,0.0,,平手/半球|0/0.5,输,小,平
1201936.0,67.0,2016/06/22 03:00,747.0,762.0,0-2,0-1,欧洲杯,EURO  Cup,48_捷克,Czech,41_土耳其,Turkey,0.0,0.0,,平手|0,赢,小,胜
1201938.0,67.0,2016/06/18 03:00,772.0,762.0,3-0,2-0,欧洲杯,EURO  Cup,6_西班牙,Spain,41_土耳其,Turkey,0.0,0.0,,一球|1,输,大,负
1201872.0,67.0,2016/06/12 21:00,768.0,762.0,1-0,1-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,输,小,负
1244119.0,1366.0,2016/06/06 02:15,632.0,762.0,0-1,0-1,国际友谊,INT FRL,64_斯洛文尼亚,Slovenia,41_土耳其,Turkey,0.0,0.0,,平手|0,赢,小,胜
1243472.0,1366.0,2016/05/30 01:45,762.0,5282.0,1-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,46_黑山,Montenegro,0.0,0.0,,一球|1,走,小,胜
1242615.0,1366.0,2016/05/23 00:15,744.0,762.0,2-1,1-1,国际友谊,INT FRL,16_英格兰,England,41_土耳其,Turkey,0.0,0.0,,一球|1,走,大,负
1229345.0,1366.0,2016/03/30 02:30,647.0,762.0,1-2,1-1,国际友谊,INT FRL,29_奥地利,Austria,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1228657.0,1366.0,2016/03/25 02:45,762.0,644.0,2-1,1-0,国际友谊,INT FRL,41_土耳其,Turkey,18_瑞典,Sweden,0.0,0.0,,半球|0.5,赢,大,胜
1197908.0,1366.0,2015/11/18 02:15,762.0,757.0,0-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,47_希腊,Greece,0.0,0.0,,半球|0.5,输,小,平
1196761.0,1366.0,2015/11/14 01:30,904.0,762.0,1-2,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,41_土耳其,Turkey,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
974901.0,67.0,2015/10/14 02:45,762.0,756.0,1-0,0-0,欧洲杯,EURO  Cup,41_土耳其,Turkey,20_冰岛,Iceland,1.0,0.0,,一球|1,走,小,胜
974903.0,67.0,2015/10/11 02:45,747.0,762.0,0-2,0-0,欧洲杯,EURO  Cup,48_捷克,Czech,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
974908.0,67.0,2015/09/06 23:59,762.0,646.0,3-0,2-0,欧洲杯,EURO  Cup,41_土耳其,Turkey,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
974911.0,67.0,2015/09/04 02:45,762.0,631.0,1-1,0-0,欧洲杯,EURO  Cup,41_土耳其,Turkey,131_拉脱维亚,Latvia,0.0,0.0,,球半|1.5,输,小,平
974914.0,67.0,2015/06/12 23:59,763.0,762.0,0-1,0-0,欧洲杯,EURO  Cup,135_哈萨克斯坦,Kazakhstan,41_土耳其,Turkey,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1129254.0,1366.0,2015/06/09 01:45,762.0,769.0,4-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,42_保加利亚,Bulgaria,0.0,0.0,,半球|0.5,赢,大,胜
1109758.0,1366.0,2015/04/01 02:15,749.0,762.0,1-2,1-1,国际友谊,INT FRL,84_卢森堡,Luxembourg,41_土耳其,Turkey,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,胜
974915.0,67.0,2015/03/29 03:45,646.0,762.0,1-1,0-1,欧洲杯,EURO  Cup,21_荷兰,Netherlands,41_土耳其,Turkey,0.0,0.0,,一球/球半|1/1.5,赢,小,平
974919.0,67.0,2014/11/17 03:45,762.0,763.0,3-1,2-0,欧洲杯,EURO  Cup,41_土耳其,Turkey,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1068348.0,1366.0,2014/11/13 02:30,762.0,778.0,0-4,0-3,国际友谊,INT FRL,41_土耳其,Turkey,2_巴西,Brazil,0.0,0.0,,受让半球|-0.5,输,大,负
974922.0,67.0,2014/10/14 02:45,631.0,762.0,1-1,0-0,欧洲杯,EURO  Cup,131_拉脱维亚,Latvia,41_土耳其,Turkey,1.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
974925.0,67.0,2014/10/11 02:45,762.0,747.0,1-2,1-1,欧洲杯,EURO  Cup,41_土耳其,Turkey,48_捷克,Czech,0.0,0.0,,平手/半球|0/0.5,输,大,负
974928.0,67.0,2014/09/10 02:45,756.0,762.0,3-0,1-0,欧洲杯,EURO  Cup,20_冰岛,Iceland,41_土耳其,Turkey,0.0,1.0,,受让半球|-0.5,输,大,负
1051056.0,1366.0,2014/09/04 02:00,638.0,762.0,1-2,1-0,国际友谊,INT FRL,12_丹麦,Denmark,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
