赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502172.0,1864.0,2018/11/20 03:45,769.0,632.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502169.0,1864.0,2018/11/17 03:45,753.0,769.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1502168.0,1864.0,2018/10/17 02:45,640.0,769.0,,,欧国联,UEFA  NL,58_挪威,Norway,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1502166.0,1864.0,2018/10/14 02:45,769.0,753.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1502163.0,1864.0,2018/09/09 23:59,769.0,640.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,58_挪威,Norway,0.0,0.0,,,,,
1502161.0,1864.0,2018/09/07 02:45,632.0,769.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1521481.0,1366.0,2018/03/26 23:59,769.0,763.0,2-1,1-0,国际友谊,INT FRL,42_保加利亚,Bulgaria,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1520458.0,1366.0,2018/03/24 01:00,769.0,782.0,0-1,0-1,国际友谊,INT FRL,42_保加利亚,Bulgaria,38_波黑,Bosnia-Herzegovina,1.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1477180.0,1366.0,2017/11/14 01:00,769.0,891.0,1-0,0-0,国际友谊,INT FRL,42_保加利亚,Bulgaria,65_沙特阿拉伯,Saudi Arabia,0.0,1.0,,半球|0.5,赢,小,胜
1198407.0,650.0,2017/10/11 02:45,749.0,769.0,1-1,1-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,42_保加利亚,Bulgaria,0.0,0.0,,受让一球|-1,输,小,平
1198406.0,650.0,2017/10/08 02:45,769.0,649.0,0-1,0-1,欧洲预选,WCPEU,42_保加利亚,Bulgaria,9_法国,France,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1198402.0,650.0,2017/09/03 23:59,646.0,769.0,3-1,1-0,欧洲预选,WCPEU,21_荷兰,Netherlands,42_保加利亚,Bulgaria,0.0,0.0,,球半|1.5,输,大,负
1198399.0,650.0,2017/09/01 02:45,769.0,644.0,3-2,2-2,欧洲预选,WCPEU,42_保加利亚,Bulgaria,18_瑞典,Sweden,0.0,0.0,,受让半球|-0.5,赢,大,胜
1198397.0,650.0,2017/06/10 02:45,750.0,769.0,2-1,1-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,42_保加利亚,Bulgaria,0.0,0.0,,平手|0,输,大,负
1392951.0,1366.0,2017/06/07 22:30,745.0,769.0,4-0,2-0,国际友谊,INT FRL,54_匈牙利,Hungary,42_保加利亚,Bulgaria,0.0,0.0,,,,,负
1198394.0,650.0,2017/03/26 03:45,769.0,646.0,2-0,2-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,21_荷兰,Netherlands,0.0,0.0,,受让一球|-1,赢,小,胜
1198390.0,650.0,2016/11/14 01:00,769.0,750.0,1-0,1-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,93_白俄罗斯,Belarus,0.0,1.0,,半球|0.5,赢,小,胜
1198386.0,650.0,2016/10/11 02:45,644.0,769.0,3-0,2-0,欧洲预选,WCPEU,18_瑞典,Sweden,42_保加利亚,Bulgaria,0.0,0.0,,一球/球半|1/1.5,输,大,负
1198383.0,650.0,2016/10/08 02:45,649.0,769.0,4-1,3-1,欧洲预选,WCPEU,9_法国,France,42_保加利亚,Bulgaria,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1198381.0,650.0,2016/09/07 02:45,769.0,749.0,4-3,1-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,84_卢森堡,Luxembourg,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1244929.0,220.0,2016/06/07 15:00,638.0,769.0,4-0,1-0,麒麟杯,KIR Cup,12_丹麦,Denmark,42_保加利亚,Bulgaria,0.0,0.0,,半球/一球|0.5/1,输,大,负
1244113.0,220.0,2016/06/03 18:40,903.0,769.0,7-2,4-0,麒麟杯,KIR Cup,56_日本,Japan,42_保加利亚,Bulgaria,0.0,0.0,,一球|1,输,大,负
1229358.0,1366.0,2016/03/30 01:00,770.0,769.0,0-2,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,42_保加利亚,Bulgaria,0.0,0.0,,平手|0,赢,走,胜
1229360.0,1366.0,2016/03/26 04:45,765.0,769.0,0-1,0-1,国际友谊,INT FRL,3_葡萄牙,Portugal,42_保加利亚,Bulgaria,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
975156.0,67.0,2015/10/14 02:45,769.0,758.0,2-0,1-0,欧洲杯,EURO  Cup,42_保加利亚,Bulgaria,118_阿塞拜疆,Azerbaijan,0.0,0.0,,一球|1,赢,小,胜
975159.0,67.0,2015/10/11 02:45,768.0,769.0,3-0,2-0,欧洲杯,EURO  Cup,15_克罗地亚,Croatia,42_保加利亚,Bulgaria,1.0,0.0,,一球/球半|1/1.5,输,大,负
975162.0,67.0,2015/09/07 02:45,771.0,769.0,1-0,1-0,欧洲杯,EURO  Cup,14_意大利,Italy,42_保加利亚,Bulgaria,1.0,1.0,,一球|1,走,小,负
975166.0,67.0,2015/09/04 02:45,769.0,640.0,0-1,0-0,欧洲杯,EURO  Cup,42_保加利亚,Bulgaria,58_挪威,Norway,0.0,0.0,,平手/半球|0/0.5,输,小,负
975169.0,67.0,2015/06/13 02:45,755.0,769.0,0-1,0-0,欧洲杯,EURO  Cup,185_马耳他,Malta,42_保加利亚,Bulgaria,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1129254.0,1366.0,2015/06/09 01:45,762.0,769.0,4-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,42_保加利亚,Bulgaria,0.0,0.0,,半球|0.5,输,大,负
975171.0,67.0,2015/03/29 03:45,769.0,771.0,2-2,2-1,欧洲杯,EURO  Cup,42_保加利亚,Bulgaria,14_意大利,Italy,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1090404.0,1366.0,2015/02/08 01:00,635.0,769.0,0-0,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,42_保加利亚,Bulgaria,0.0,0.0,,半球|0.5,赢,小,平
975175.0,67.0,2014/11/17 03:45,769.0,755.0,1-1,1-0,欧洲杯,EURO  Cup,42_保加利亚,Bulgaria,185_马耳他,Malta,0.0,0.0,,两球|2,输,小,平
