赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393599.0,93.0,2018/11/13 23:00,811.0,814.0,,,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,133_利比里亚,Liberia,0.0,0.0,,,,,
1393596.0,93.0,2018/10/16 23:00,806.0,811.0,,,非洲杯,CAF NC,96_刚果,Congo,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,
1393594.0,93.0,2018/09/11 23:00,14862.0,811.0,,,非洲杯,CAF NC,106_津巴布韦,Zimbabwe,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,
1393591.0,93.0,2018/09/07 23:00,814.0,811.0,,,非洲杯,CAF NC,133_利比里亚,Liberia,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,
1393592.0,93.0,2018/09/03 23:00,811.0,14862.0,,,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,106_津巴布韦,Zimbabwe,0.0,0.0,,,,,
1545594.0,1366.0,2018/05/29 00:10,789.0,811.0,1-1,1-0,国际友谊,INT FRL,51_尼日利亚,Nigeria,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1523160.0,1366.0,2018/03/27 21:00,4937.0,811.0,2-0,0-0,国际友谊,INT FRL,146_坦桑尼亚,Tanzania,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,负
1327099.0,651.0,2017/11/12 01:30,811.0,812.0,3-1,0-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,66_几内亚,Guinea,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1327098.0,651.0,2017/10/08 01:00,734.0,811.0,1-2,0-0,非洲预选,WCPAF,89_利比亚,Libya,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让半球|-0.5,赢,大,胜
1456914.0,651.0,2017/09/06 01:30,811.0,823.0,2-2,1-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,输,大,平
1327094.0,651.0,2017/09/02 04:00,823.0,811.0,2-1,1-1,非洲预选,WCPAF,23_突尼斯,Tunisia,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,半球|0.5,输,大,负
1380962.0,1052.0,2017/08/19 22:30,811.0,806.0,1-1,1-1,非国锦标,CAF SC,43_刚果民主共和国,Democratic Rep Congo,96_刚果,Congo,0.0,0.0,,,,,平
1380957.0,1052.0,2017/08/11 22:30,806.0,811.0,0-0,0-0,非国锦标,CAF SC,96_刚果,Congo,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,,,,平
1392562.0,93.0,2017/06/11 01:30,811.0,806.0,3-1,1-1,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,96_刚果,Congo,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1389655.0,1366.0,2017/06/05 23:59,811.0,920.0,2-0,0-0,国际友谊,INT FRL,43_刚果民主共和国,Democratic Rep Congo,149_博茨瓦纳,Botswana,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1372319.0,1366.0,2017/03/26 19:55,921.0,811.0,2-1,1-0,国际友谊,INT FRL,105_肯尼亚,Kenya,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,平手|0,输,大,负
1347689.0,93.0,2017/01/29 23:59,811.0,810.0,1-2,0-0,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,50_加纳,Ghana,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1337478.0,93.0,2017/01/25 03:00,816.0,811.0,1-3,0-1,非洲杯,CAF NC,127_多哥,Togo,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1337480.0,93.0,2017/01/20 23:59,809.0,811.0,2-2,1-2,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,半球|0.5,赢,大,平
1337481.0,93.0,2017/01/17 03:00,811.0,813.0,1-0,0-0,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,39_摩洛哥,Morocco,1.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
