赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502184.0,1864.0,2018/11/21 03:45,5282.0,635.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502181.0,1864.0,2018/11/17 22:00,642.0,5282.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,46_黑山,Montenegro,0.0,0.0,,,,,
1502180.0,1864.0,2018/10/15 02:45,905.0,5282.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,46_黑山,Montenegro,0.0,0.0,,,,,
1502177.0,1864.0,2018/10/12 02:45,5282.0,642.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1502176.0,1864.0,2018/09/11 02:45,5282.0,905.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502174.0,1864.0,2018/09/08 02:45,635.0,5282.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,46_黑山,Montenegro,0.0,0.0,,,,,
1543755.0,1366.0,2018/06/03 02:15,5282.0,632.0,0-2,0-1,国际友谊,INT FRL,46_黑山,Montenegro,64_斯洛文尼亚,Slovenia,0.0,0.0,,平手/半球|0/0.5,输,小,负
1543283.0,1366.0,2018/05/28 23:59,782.0,5282.0,0-0,0-0,国际友谊,INT FRL,38_波黑,Bosnia-Herzegovina,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1521979.0,1366.0,2018/03/28 01:10,5282.0,762.0,2-2,1-2,国际友谊,INT FRL,46_黑山,Montenegro,41_土耳其,Turkey,0.0,0.0,,平手|0,走,大,平
1520455.0,1366.0,2018/03/23 23:59,753.0,5282.0,0-0,0-0,国际友谊,INT FRL,92_塞浦路斯,Cyprus,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,输,小,平
1198529.0,650.0,2017/10/08 23:59,637.0,5282.0,4-2,2-0,欧洲预选,WCPEU,7_波兰,Poland,46_黑山,Montenegro,0.0,0.0,,一球/球半|1/1.5,输,大,负
1198525.0,650.0,2017/10/06 02:45,5282.0,638.0,0-1,0-1,欧洲预选,WCPEU,46_黑山,Montenegro,12_丹麦,Denmark,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198523.0,650.0,2017/09/05 02:45,5282.0,635.0,1-0,0-0,欧洲预选,WCPEU,46_黑山,Montenegro,40_罗马尼亚,Romania,0.0,0.0,,平手|0,赢,小,胜
1198518.0,650.0,2017/09/01 23:59,763.0,5282.0,0-3,0-1,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,46_黑山,Montenegro,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1198516.0,650.0,2017/06/11 02:45,5282.0,748.0,4-1,2-0,欧洲预选,WCPEU,46_黑山,Montenegro,90_阿美尼亚,Armenia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1391053.0,1366.0,2017/06/05 02:30,5282.0,783.0,1-2,1-1,国际友谊,INT FRL,46_黑山,Montenegro,34_伊朗,Iran,0.0,1.0,,平手/半球|0/0.5,输,大,负
1198513.0,650.0,2017/03/27 02:45,5282.0,637.0,1-2,0-1,欧洲预选,WCPEU,46_黑山,Montenegro,7_波兰,Poland,0.0,0.0,,受让半球|-0.5,输,大,负
1198509.0,650.0,2016/11/12 01:00,748.0,5282.0,3-2,0-2,欧洲预选,WCPEU,90_阿美尼亚,Armenia,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,输,大,负
1198507.0,650.0,2016/10/12 02:45,638.0,5282.0,0-1,0-1,欧洲预选,WCPEU,12_丹麦,Denmark,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1198503.0,650.0,2016/10/08 23:59,5282.0,763.0,5-0,1-0,欧洲预选,WCPEU,46_黑山,Montenegro,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1198502.0,650.0,2016/09/05 02:45,635.0,5282.0,1-1,0-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,赢,走,平
1243472.0,1366.0,2016/05/30 01:45,762.0,5282.0,1-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,46_黑山,Montenegro,0.0,0.0,,一球|1,走,小,负
1229352.0,1366.0,2016/03/29 23:59,5282.0,750.0,0-0,0-0,国际友谊,INT FRL,46_黑山,Montenegro,93_白俄罗斯,Belarus,0.0,1.0,,半球|0.5,输,小,平
1229371.0,1366.0,2016/03/25 02:00,757.0,5282.0,2-1,0-0,国际友谊,INT FRL,47_希腊,Greece,46_黑山,Montenegro,0.0,0.0,,半球|0.5,输,大,负
1196763.0,1366.0,2015/11/13 01:00,770.0,5282.0,4-1,3-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,46_黑山,Montenegro,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
975125.0,67.0,2015/10/12 23:59,746.0,5282.0,2-0,2-0,欧洲杯,EURO  Cup,62_俄罗斯,Russia,46_黑山,Montenegro,0.0,0.0,,球半|1.5,输,小,负
975126.0,67.0,2015/10/10 02:45,5282.0,647.0,2-3,1-0,欧洲杯,EURO  Cup,46_黑山,Montenegro,29_奥地利,Austria,1.0,0.0,,平手|0,输,大,负
975130.0,67.0,2015/09/09 02:45,751.0,5282.0,0-2,0-1,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,赢,小,胜
975133.0,67.0,2015/09/06 02:45,5282.0,764.0,2-0,1-0,欧洲杯,EURO  Cup,46_黑山,Montenegro,182_列支敦士登,Liechtenstein,0.0,0.0,,两球|2,走,小,胜
975135.0,67.0,2015/06/15 02:45,644.0,5282.0,3-1,3-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,46_黑山,Montenegro,0.0,0.0,,一球/球半|1/1.5,输,大,负
1129255.0,1366.0,2015/06/09 02:00,638.0,5282.0,2-1,0-1,国际友谊,INT FRL,12_丹麦,Denmark,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,输,大,负
975140.0,67.0,2015/03/28 03:45,5282.0,746.0,0-3,0-0,欧洲杯,EURO  Cup,46_黑山,Montenegro,62_俄罗斯,Russia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
975141.0,67.0,2014/11/16 03:45,5282.0,644.0,1-1,0-1,欧洲杯,EURO  Cup,46_黑山,Montenegro,18_瑞典,Sweden,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
