赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502160.0,1864.0,2018/11/19 03:45,757.0,636.0,,,欧国联,UEFA  NL,47_希腊,Greece,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502158.0,1864.0,2018/11/16 03:45,757.0,736.0,,,欧国联,UEFA  NL,47_希腊,Greece,68_芬兰,Finland,0.0,0.0,,,,,
1502155.0,1864.0,2018/10/16 02:45,736.0,757.0,,,欧国联,UEFA  NL,68_芬兰,Finland,47_希腊,Greece,0.0,0.0,,,,,
1502154.0,1864.0,2018/10/13 02:45,757.0,745.0,,,欧国联,UEFA  NL,47_希腊,Greece,54_匈牙利,Hungary,0.0,0.0,,,,,
1502152.0,1864.0,2018/09/12 02:45,745.0,757.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,47_希腊,Greece,0.0,0.0,,,,,
1502150.0,1864.0,2018/09/09 02:45,636.0,757.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,47_希腊,Greece,0.0,0.0,,,,,
1540991.0,1366.0,2018/05/16 01:30,891.0,757.0,2-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,47_希腊,Greece,0.0,1.0,,受让平手/半球|-0/-0.5,输,走,负
1521495.0,1366.0,2018/03/28 02:00,757.0,735.0,1-0,1-0,国际友谊,INT FRL,47_希腊,Greece,30_埃及,Egypt,0.0,0.0,,平手|0,赢,小,胜
1518989.0,1366.0,2018/03/24 02:00,757.0,648.0,0-1,0-0,国际友谊,INT FRL,47_希腊,Greece,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1472471.0,650.0,2017/11/13 03:45,757.0,768.0,0-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1472349.0,650.0,2017/11/10 03:45,768.0,757.0,4-1,3-1,欧洲预选,WCPEU,15_克罗地亚,Croatia,47_希腊,Greece,0.0,0.0,,一球|1,输,大,负
1311355.0,650.0,2017/10/11 02:45,757.0,5877.0,4-0,1-0,欧洲预选,WCPEU,47_希腊,Greece,220_弱鸡,Gibraltar,0.0,0.0,,四球/四球半|4/4.5,输,小,胜
1198607.0,650.0,2017/10/08 02:45,753.0,757.0,1-2,1-2,欧洲预选,WCPEU,92_塞浦路斯,Cyprus,47_希腊,Greece,0.0,0.0,,受让一球|-1,走,大,胜
1198605.0,650.0,2017/09/04 02:45,757.0,645.0,1-2,0-0,欧洲预选,WCPEU,47_希腊,Greece,5_比利时,Belgium,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1198602.0,650.0,2017/09/01 02:45,757.0,636.0,0-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,88_爱沙尼亚,Estonia,0.0,0.0,,一球/球半|1/1.5,输,小,平
1198601.0,650.0,2017/06/10 02:45,782.0,757.0,0-0,0-0,欧洲预选,WCPEU,38_波黑,Bosnia-Herzegovina,47_希腊,Greece,0.0,0.0,,半球|0.5,赢,小,平
1198599.0,650.0,2017/03/26 03:45,645.0,757.0,1-1,0-0,欧洲预选,WCPEU,5_比利时,Belgium,47_希腊,Greece,0.0,2.0,,一球/球半|1/1.5,赢,小,平
1198597.0,650.0,2016/11/14 03:45,757.0,782.0,1-1,0-1,欧洲预选,WCPEU,47_希腊,Greece,38_波黑,Bosnia-Herzegovina,1.0,1.0,,平手/半球|0/0.5,输,走,平
1327403.0,1366.0,2016/11/10 03:15,757.0,750.0,0-1,0-1,国际友谊,INT FRL,47_希腊,Greece,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,输,小,负
1198594.0,650.0,2016/10/11 02:45,636.0,757.0,0-2,0-1,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,47_希腊,Greece,0.0,0.0,,受让半球|-0.5,赢,走,胜
1198593.0,650.0,2016/10/08 02:45,757.0,753.0,2-0,2-0,欧洲预选,WCPEU,47_希腊,Greece,92_塞浦路斯,Cyprus,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1303688.0,650.0,2016/09/07 02:45,5877.0,757.0,1-4,1-4,欧洲预选,WCPEU,220_弱鸡,Gibraltar,47_希腊,Greece,0.0,0.0,,受让三球/三球半|-3/-3.5,输,大,胜
1305630.0,1366.0,2016/09/02 02:45,646.0,757.0,1-2,1-1,国际友谊,INT FRL,21_荷兰,Netherlands,47_希腊,Greece,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1244615.0,1366.0,2016/06/07 18:00,913.0,757.0,1-2,0-2,国际友谊,INT FRL,36_澳大利亚,Australia,47_希腊,Greece,0.0,0.0,,半球|0.5,赢,大,胜
1244276.0,1366.0,2016/06/04 18:10,913.0,757.0,1-0,0-0,国际友谊,INT FRL,36_澳大利亚,Australia,47_希腊,Greece,0.0,0.0,,平手/半球|0/0.5,输,小,负
1229370.0,1366.0,2016/03/30 01:30,757.0,756.0,2-3,2-1,国际友谊,INT FRL,47_希腊,Greece,20_冰岛,Iceland,0.0,0.0,,平手/半球|0/0.5,输,大,负
1229371.0,1366.0,2016/03/25 02:00,757.0,5282.0,2-1,0-0,国际友谊,INT FRL,47_希腊,Greece,46_黑山,Montenegro,0.0,0.0,,半球|0.5,赢,大,胜
1197908.0,1366.0,2015/11/18 02:15,762.0,757.0,0-0,0-0,国际友谊,INT FRL,41_土耳其,Turkey,47_希腊,Greece,0.0,0.0,,半球|0.5,赢,小,平
1196762.0,1366.0,2015/11/14 02:30,749.0,757.0,1-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,47_希腊,Greece,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
975063.0,67.0,2015/10/11 23:59,757.0,745.0,4-3,1-1,欧洲杯,EURO  Cup,47_希腊,Greece,54_匈牙利,Hungary,0.0,0.0,,平手|0,赢,大,胜
975066.0,67.0,2015/10/09 02:45,759.0,757.0,3-1,1-0,欧洲杯,EURO  Cup,25_北爱尔兰,Northern Ireland,47_希腊,Greece,0.0,0.0,,平手/半球|0/0.5,输,大,负
975070.0,67.0,2015/09/08 02:45,635.0,757.0,0-0,0-0,欧洲杯,EURO  Cup,40_罗马尼亚,Romania,47_希腊,Greece,0.0,0.0,,半球/一球|0.5/1,赢,小,平
975072.0,67.0,2015/09/05 02:45,757.0,736.0,0-1,0-0,欧洲杯,EURO  Cup,47_希腊,Greece,68_芬兰,Finland,0.0,0.0,,半球|0.5,输,小,负
1129893.0,1366.0,2015/06/17 02:45,637.0,757.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,47_希腊,Greece,0.0,0.0,,半球|0.5,赢,小,平
975074.0,67.0,2015/06/14 02:45,754.0,757.0,2-1,1-0,欧洲杯,EURO  Cup,97_法罗群岛,Faroe Islands,47_希腊,Greece,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
975077.0,67.0,2015/03/30 02:45,745.0,757.0,0-0,0-0,欧洲杯,EURO  Cup,54_匈牙利,Hungary,47_希腊,Greece,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1069732.0,1366.0,2014/11/19 01:00,757.0,642.0,0-2,0-0,国际友谊,INT FRL,47_希腊,Greece,37_塞尔维亚,Serbia,0.0,0.0,,平手/半球|0/0.5,输,小,负
975080.0,67.0,2014/11/15 03:45,757.0,754.0,0-1,0-0,欧洲杯,EURO  Cup,47_希腊,Greece,97_法罗群岛,Faroe Islands,0.0,0.0,,两球|2,输,小,负
975084.0,67.0,2014/10/15 02:45,757.0,759.0,0-2,0-1,欧洲杯,EURO  Cup,47_希腊,Greece,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,输,小,负
975086.0,67.0,2014/10/12 02:45,736.0,757.0,1-1,0-1,欧洲杯,EURO  Cup,68_芬兰,Finland,47_希腊,Greece,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
975090.0,67.0,2014/09/08 02:45,757.0,635.0,0-1,0-1,欧洲杯,EURO  Cup,47_希腊,Greece,40_罗马尼亚,Romania,0.0,1.0,,半球|0.5,输,小,负
990387.0,75.0,2014/06/30 04:00,914.0,757.0,1-1,0-0,世界杯,World Cup,27_哥斯达黎加,Costa Rica,47_希腊,Greece,1.0,0.0,"90,1-1;;1,1-1;5-3;1",平手|0,走,走,平
940544.0,75.0,2014/06/25 04:00,757.0,809.0,2-1,1-0,世界杯,World Cup,47_希腊,Greece,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
940542.0,75.0,2014/06/20 06:00,903.0,757.0,0-0,0-0,世界杯,World Cup,56_日本,Japan,47_希腊,Greece,0.0,1.0,,平手|0,走,小,平
940539.0,75.0,2014/06/15 00:00,775.0,757.0,3-0,1-0,世界杯,World Cup,13_哥伦比亚,Colombia,47_希腊,Greece,0.0,0.0,,半球/一球|0.5/1,输,大,负
985124.0,1366.0,2014/06/07 08:05,757.0,773.0,2-1,1-0,国际友谊,INT FRL,47_希腊,Greece,49_玻利维亚,Bolivia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
984645.0,1366.0,2014/06/04 07:10,757.0,789.0,0-0,0-0,国际友谊,INT FRL,47_希腊,Greece,51_尼日利亚,Nigeria,0.0,0.0,,平手/半球|0/0.5,输,小,平
983794.0,1366.0,2014/06/01 02:30,765.0,757.0,0-0,0-0,国际友谊,INT FRL,3_葡萄牙,Portugal,47_希腊,Greece,0.0,0.0,,一球|1,赢,小,平
959555.0,1366.0,2014/03/06 01:00,757.0,898.0,0-2,0-1,国际友谊,INT FRL,47_希腊,Greece,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,输,小,负
935614.0,650.0,2013/11/20 03:00,635.0,757.0,1-1,0-1,欧洲预选,WCPEU,40_罗马尼亚,Romania,47_希腊,Greece,0.0,0.0,,半球|0.5,赢,小,平
933754.0,650.0,2013/11/16 03:45,757.0,635.0,3-1,2-1,欧洲预选,WCPEU,47_希腊,Greece,40_罗马尼亚,Romania,0.0,1.0,,半球|0.5,赢,大,胜
664002.0,650.0,2013/10/16 01:00,757.0,764.0,2-0,1-0,欧洲预选,WCPEU,47_希腊,Greece,182_列支敦士登,Liechtenstein,0.0,0.0,,两球半/三球|2.5/3,输,小,胜
664006.0,650.0,2013/10/12 02:45,757.0,752.0,1-0,1-0,欧洲预选,WCPEU,47_希腊,Greece,28_斯洛伐克,Slovakia,0.0,0.0,,一球|1,走,小,胜
664008.0,650.0,2013/09/11 02:45,757.0,631.0,1-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,131_拉脱维亚,Latvia,1.0,1.0,,球半|1.5,输,小,胜
664010.0,650.0,2013/09/07 02:45,764.0,757.0,0-1,0-0,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,47_希腊,Greece,1.0,1.0,,受让球半|-1.5,输,小,胜
899710.0,41.0,2013/08/15 02:30,647.0,757.0,0-2,0-1,球会友谊,INT CF,29_奥地利,Austria,47_希腊,Greece,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
664015.0,650.0,2013/06/08 02:45,905.0,757.0,0-1,0-1,欧洲预选,WCPEU,147_立陶宛,Lithuania,47_希腊,Greece,0.0,0.0,,受让半球|-0.5,赢,小,胜
664018.0,650.0,2013/03/23 03:45,782.0,757.0,3-1,2-0,欧洲预选,WCPEU,38_波黑,Bosnia-Herzegovina,47_希腊,Greece,0.0,0.0,,,,大,负
813444.0,41.0,2013/02/07 03:30,757.0,648.0,0-0,0-0,球会友谊,INT CF,47_希腊,Greece,8_瑞士,Switzerland,0.0,0.0,,,,小,平
798611.0,41.0,2012/11/15 03:45,630.0,757.0,0-1,0-1,球会友谊,INT CF,32_爱尔兰,Ireland,47_希腊,Greece,0.0,0.0,,,,小,胜
664021.0,650.0,2012/10/17 02:30,752.0,757.0,0-1,0-0,欧洲预选,WCPEU,28_斯洛伐克,Slovakia,47_希腊,Greece,0.0,0.0,,,,小,胜
664022.0,650.0,2012/10/13 02:45,757.0,782.0,0-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,小,平
664026.0,650.0,2012/09/12 02:45,757.0,905.0,2-0,0-0,欧洲预选,WCPEU,47_希腊,Greece,147_立陶宛,Lithuania,0.0,0.0,,,,小,胜
664030.0,650.0,2012/09/08 02:30,631.0,757.0,1-2,1-0,欧洲预选,WCPEU,131_拉脱维亚,Latvia,47_希腊,Greece,0.0,0.0,,,,大,胜
755594.0,41.0,2012/08/16 02:00,640.0,757.0,2-3,1-2,球会友谊,INT CF,58_挪威,Norway,47_希腊,Greece,0.0,0.0,,,,大,胜
710651.0,67.0,2012/06/23 02:45,650.0,757.0,4-2,1-0,欧洲杯,EURO  Cup,1_德国,Germany,47_希腊,Greece,0.0,0.0,,,,大,负
655625.0,67.0,2012/06/17 02:45,757.0,746.0,1-0,1-0,欧洲杯,EURO  Cup,47_希腊,Greece,62_俄罗斯,Russia,0.0,0.0,,,,小,胜
655622.0,67.0,2012/06/12 23:59,757.0,747.0,1-2,0-2,欧洲杯,EURO  Cup,47_希腊,Greece,48_捷克,Czech,0.0,0.0,,,,大,负
655620.0,67.0,2012/06/08 23:59,637.0,757.0,1-1,1-0,欧洲杯,EURO  Cup,7_波兰,Poland,47_希腊,Greece,1.0,1.0,,,,走,平
706491.0,41.0,2012/06/01 02:30,757.0,748.0,1-0,1-0,球会友谊,INT CF,47_希腊,Greece,90_阿美尼亚,Armenia,0.0,0.0,,,,小,胜
705892.0,41.0,2012/05/27 02:30,757.0,632.0,1-1,1-0,球会友谊,INT CF,47_希腊,Greece,64_斯洛文尼亚,Slovenia,1.0,0.0,,,,小,平
674060.0,41.0,2012/03/01 03:30,757.0,645.0,1-1,1-1,球会友谊,INT CF,47_希腊,Greece,5_比利时,Belgium,0.0,1.0,,,,小,平
647415.0,41.0,2011/11/16 03:30,757.0,635.0,1-3,1-1,球会友谊,INT CF,47_希腊,Greece,40_罗马尼亚,Romania,0.0,0.0,,,,大,负
646680.0,41.0,2011/11/12 03:30,757.0,746.0,1-1,0-1,球会友谊,INT CF,47_希腊,Greece,62_俄罗斯,Russia,0.0,0.0,,,,小,平
429549.0,67.0,2011/10/12 01:00,901.0,757.0,1-2,1-0,欧洲杯,EURO  Cup,104_格鲁吉亚,Georgia,47_希腊,Greece,0.0,0.0,,,,大,胜
429546.0,67.0,2011/10/08 02:45,757.0,768.0,2-0,0-0,欧洲杯,EURO  Cup,47_希腊,Greece,15_克罗地亚,Croatia,0.0,0.0,,,,小,胜
429544.0,67.0,2011/09/07 02:30,631.0,757.0,1-1,1-0,欧洲杯,EURO  Cup,131_拉脱维亚,Latvia,47_希腊,Greece,0.0,0.0,,,,走,平
429540.0,67.0,2011/09/02 21:05,760.0,757.0,0-1,0-0,欧洲杯,EURO  Cup,99_以色列,Israel,47_希腊,Greece,0.0,0.0,,,,小,胜
598660.0,41.0,2011/08/11 03:00,782.0,757.0,0-0,0-0,球会友谊,INT CF,38_波黑,Bosnia-Herzegovina,47_希腊,Greece,0.0,0.0,,,,小,平
558168.0,41.0,2011/06/08 08:05,779.0,757.0,1-1,0-1,球会友谊,INT CF,68_厄瓜多尔,Ecuador,47_希腊,Greece,0.0,0.0,,,,小,平
