赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502124.0,1864.0,2018/11/20 03:45,747.0,752.0,,,欧国联,UEFA  NL,48_捷克,Czech,28_斯洛伐克,Slovakia,0.0,0.0,,,,,
1502122.0,1864.0,2018/10/17 02:45,634.0,747.0,,,欧国联,UEFA  NL,35_乌克兰,Ukraine,48_捷克,Czech,0.0,0.0,,,,,
1502121.0,1864.0,2018/10/13 21:00,752.0,747.0,,,欧国联,UEFA  NL,28_斯洛伐克,Slovakia,48_捷克,Czech,0.0,0.0,,,,,
1502119.0,1864.0,2018/09/07 02:45,747.0,634.0,,,欧国联,UEFA  NL,48_捷克,Czech,35_乌克兰,Ukraine,0.0,0.0,,,,,
1543757.0,1366.0,2018/06/06 21:00,747.0,789.0,1-0,1-0,国际友谊,INT FRL,48_捷克,Czech,51_尼日利亚,Nigeria,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1543742.0,1366.0,2018/06/01 19:00,913.0,747.0,4-0,1-0,国际友谊,INT FRL,36_澳大利亚,Australia,48_捷克,Czech,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1524407.0,1726.0,2018/03/26 15:35,896.0,747.0,1-4,1-0,中国杯,China Cup,70_中国,China,48_捷克,Czech,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1518984.0,1726.0,2018/03/23 19:35,767.0,747.0,2-0,2-0,中国杯,China Cup,22_乌拉圭,Uruguay,48_捷克,Czech,0.0,0.0,,半球|0.5,输,小,负
1477176.0,1366.0,2017/11/12 00:30,904.0,747.0,0-1,0-1,国际友谊,INT FRL,103_卡塔尔,Qatar,48_捷克,Czech,0.0,0.0,,受让半球|-0.5,赢,小,胜
1476865.0,1366.0,2017/11/08 22:45,756.0,747.0,1-2,0-1,国际友谊,INT FRL,20_冰岛,Iceland,48_捷克,Czech,0.0,0.0,,平手|0,赢,大,胜
1198469.0,650.0,2017/10/09 02:45,747.0,907.0,5-0,3-0,欧洲预选,WCPEU,48_捷克,Czech,204_圣马力诺,San Marino,0.0,0.0,,5.5球|5.5,输,小,胜
1198464.0,650.0,2017/10/05 23:59,758.0,747.0,1-2,0-1,欧洲预选,WCPEU,118_阿塞拜疆,Azerbaijan,48_捷克,Czech,0.0,0.0,,受让半球|-0.5,赢,大,胜
1198462.0,650.0,2017/09/05 02:45,759.0,747.0,2-0,2-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,48_捷克,Czech,0.0,0.0,,平手|0,输,走,负
1198458.0,650.0,2017/09/02 02:45,747.0,650.0,1-2,0-1,欧洲预选,WCPEU,48_捷克,Czech,1_德国,Germany,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1198456.0,650.0,2017/06/11 02:45,640.0,747.0,1-1,0-1,欧洲预选,WCPEU,58_挪威,Norway,48_捷克,Czech,0.0,0.0,,平手|0,走,小,平
1390584.0,1366.0,2017/06/06 02:45,645.0,747.0,2-1,1-1,国际友谊,INT FRL,5_比利时,Belgium,48_捷克,Czech,0.0,0.0,,一球|1,走,大,负
1198453.0,650.0,2017/03/26 23:59,907.0,747.0,0-6,0-5,欧洲预选,WCPEU,204_圣马力诺,San Marino,48_捷克,Czech,0.0,0.0,,受让三球半/四球|-3.5/-4,赢,大,胜
1371252.0,1366.0,2017/03/23 01:00,747.0,905.0,3-0,0-0,国际友谊,INT FRL,48_捷克,Czech,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,赢,大,胜
1328252.0,1366.0,2016/11/16 03:30,747.0,638.0,1-1,1-1,国际友谊,INT FRL,48_捷克,Czech,12_丹麦,Denmark,0.0,0.0,,平手|0,走,小,平
1198450.0,650.0,2016/11/12 03:45,747.0,640.0,2-1,1-0,欧洲预选,WCPEU,48_捷克,Czech,58_挪威,Norway,0.0,0.0,,半球|0.5,赢,大,胜
1198448.0,650.0,2016/10/12 02:45,747.0,758.0,0-0,0-0,欧洲预选,WCPEU,48_捷克,Czech,118_阿塞拜疆,Azerbaijan,0.0,0.0,,球半|1.5,输,小,平
1198445.0,650.0,2016/10/09 02:45,650.0,747.0,3-0,1-0,欧洲预选,WCPEU,1_德国,Germany,48_捷克,Czech,0.0,0.0,,两球|2,输,走,负
1198442.0,650.0,2016/09/05 02:45,747.0,759.0,0-0,0-0,欧洲预选,WCPEU,48_捷克,Czech,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球/一球|0.5/1,输,小,平
1305626.0,1366.0,2016/09/01 01:15,747.0,748.0,3-0,2-0,国际友谊,INT FRL,48_捷克,Czech,90_阿美尼亚,Armenia,0.0,0.0,,一球|1,赢,大,胜
1201936.0,67.0,2016/06/22 03:00,747.0,762.0,0-2,0-1,欧洲杯,EURO  Cup,48_捷克,Czech,41_土耳其,Turkey,0.0,0.0,,平手|0,输,小,负
1201939.0,67.0,2016/06/17 23:59,747.0,768.0,2-2,0-1,欧洲杯,EURO  Cup,48_捷克,Czech,15_克罗地亚,Croatia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1201873.0,67.0,2016/06/13 21:00,772.0,747.0,1-0,0-0,欧洲杯,EURO  Cup,6_西班牙,Spain,48_捷克,Czech,0.0,0.0,,一球|1,走,小,负
1244106.0,1366.0,2016/06/05 21:10,747.0,898.0,1-2,0-2,国际友谊,INT FRL,48_捷克,Czech,59_韩国,Korea Republic,1.0,0.0,,半球|0.5,输,大,负
1243479.0,1366.0,2016/06/01 23:59,747.0,746.0,2-1,0-1,国际友谊,INT FRL,48_捷克,Czech,62_俄罗斯,Russia,0.0,0.0,,平手|0,赢,大,胜
1243462.0,1366.0,2016/05/27 23:59,747.0,755.0,6-0,3-0,国际友谊,INT FRL,48_捷克,Czech,185_马耳他,Malta,0.0,0.0,,两球|2,赢,大,胜
1229361.0,1366.0,2016/03/30 02:30,644.0,747.0,1-1,1-1,国际友谊,INT FRL,18_瑞典,Sweden,48_捷克,Czech,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1228603.0,1366.0,2016/03/25 03:45,747.0,641.0,0-1,0-1,国际友谊,INT FRL,48_捷克,Czech,32_苏格兰,Scotland,0.0,0.0,,半球/一球|0.5/1,输,小,负
1196949.0,1366.0,2015/11/18 03:45,637.0,747.0,3-1,2-1,国际友谊,INT FRL,7_波兰,Poland,48_捷克,Czech,0.0,0.0,,平手/半球|0/0.5,输,大,负
1196015.0,1366.0,2015/11/14 03:30,747.0,642.0,4-1,1-0,国际友谊,INT FRL,48_捷克,Czech,37_塞尔维亚,Serbia,0.0,0.0,,半球|0.5,赢,大,胜
974900.0,67.0,2015/10/14 02:45,646.0,747.0,2-3,0-2,欧洲杯,EURO  Cup,21_荷兰,Netherlands,48_捷克,Czech,0.0,1.0,,一球/球半|1/1.5,赢,大,胜
974903.0,67.0,2015/10/11 02:45,747.0,762.0,0-2,0-0,欧洲杯,EURO  Cup,48_捷克,Czech,41_土耳其,Turkey,0.0,0.0,,平手/半球|0/0.5,输,小,负
974907.0,67.0,2015/09/06 23:59,631.0,747.0,1-2,0-2,欧洲杯,EURO  Cup,131_拉脱维亚,Latvia,48_捷克,Czech,0.0,0.0,,受让一球|-1,走,大,胜
974910.0,67.0,2015/09/04 02:45,747.0,763.0,2-1,0-1,欧洲杯,EURO  Cup,48_捷克,Czech,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,球半/两球|1.5/2,输,走,胜
974913.0,67.0,2015/06/13 02:45,756.0,747.0,2-1,0-0,欧洲杯,EURO  Cup,20_冰岛,Iceland,48_捷克,Czech,0.0,0.0,,平手|0,输,大,负
