赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1548653.0,1366.0,2018/06/09 23:59,642.0,773.0,5-1,4-0,国际友谊,INT FRL,37_塞尔维亚,Serbia,49_玻利维亚,Bolivia,0.0,0.0,,球半|1.5,输,大,负
1543771.0,1366.0,2018/06/07 20:10,898.0,773.0,0-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,赢,小,平
1543285.0,1366.0,2018/05/29 06:55,797.0,773.0,3-0,1-0,国际友谊,INT FRL,25_美国,USA,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,输,大,负
1521483.0,1366.0,2018/03/27 08:00,17976.0,773.0,1-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,49_玻利维亚,Bolivia,1.0,2.0,,,,,负
1520451.0,1366.0,2018/03/24 08:00,17976.0,773.0,1-1,1-0,国际友谊,INT FRL,84_库拉索,Curacao,49_玻利维亚,Bolivia,0.0,0.0,,,,,平
1197772.0,652.0,2017/10/11 07:30,767.0,773.0,4-2,2-1,南美预选,WCPSA,22_乌拉圭,Uruguay,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,赢,大,负
1197768.0,652.0,2017/10/06 04:00,773.0,778.0,0-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1197759.0,652.0,2017/09/06 04:00,773.0,780.0,1-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,10_智利,Chile,1.0,0.0,,受让半球|-0.5,赢,小,胜
1197755.0,652.0,2017/09/01 10:15,774.0,773.0,2-1,0-0,南美预选,WCPSA,11_秘鲁,Peru,49_玻利维亚,Bolivia,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1391062.0,1366.0,2017/06/08 05:00,773.0,5091.0,3-2,1-2,国际友谊,INT FRL,49_玻利维亚,Bolivia,115_尼加拉瓜,Nicaragua,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1389644.0,1366.0,2017/06/03 08:30,5091.0,773.0,0-1,0-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,49_玻利维亚,Bolivia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1197749.0,652.0,2017/03/29 04:00,773.0,766.0,2-0,1-0,南美预选,WCPSA,49_玻利维亚,Bolivia,4_阿根廷,Argentina,0.0,0.0,,受让半球|-0.5,赢,小,胜
1197745.0,652.0,2017/03/24 04:30,775.0,773.0,1-0,0-0,南美预选,WCPSA,13_哥伦比亚,Colombia,49_玻利维亚,Bolivia,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1197740.0,652.0,2016/11/16 04:00,773.0,776.0,1-0,0-0,南美预选,WCPSA,49_玻利维亚,Bolivia,31_巴拉圭,Paraguay,1.0,0.0,,平手|0,赢,小,胜
1197735.0,652.0,2016/11/11 07:45,777.0,773.0,5-0,2-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,输,大,负
1197731.0,652.0,2016/10/12 04:00,773.0,779.0,2-2,2-0,南美预选,WCPSA,49_玻利维亚,Bolivia,68_厄瓜多尔,Ecuador,0.0,1.0,,受让半球|-0.5,赢,大,平
1197728.0,652.0,2016/10/07 08:45,778.0,773.0,5-0,4-0,南美预选,WCPSA,2_巴西,Brazil,49_玻利维亚,Bolivia,0.0,0.0,,两球半|2.5,输,大,负
1197719.0,652.0,2016/09/07 07:30,780.0,773.0,3-0,0-0,南美预选,WCPSA,10_智利,Chile,49_玻利维亚,Bolivia,0.0,0.0,,两球|2,输,小,负
1197716.0,652.0,2016/09/02 04:00,773.0,774.0,0-3,1-0,南美预选,WCPSA,49_玻利维亚,Bolivia,11_秘鲁,Peru,0.0,0.0,,平手/半球|0/0.5,输,大,负
1223672.0,224.0,2016/06/15 10:20,766.0,773.0,3-0,3-0,美洲杯,AMEC,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,输,小,负
1223669.0,224.0,2016/06/11 07:00,780.0,773.0,2-1,0-0,美洲杯,AMEC,10_智利,Chile,49_玻利维亚,Bolivia,0.0,0.0,,球半|1.5,赢,大,负
1223668.0,224.0,2016/06/07 07:00,798.0,773.0,2-1,1-0,美洲杯,AMEC,53_巴拿马,Panama,49_玻利维亚,Bolivia,0.0,0.0,,平手|0,输,大,负
1243468.0,1366.0,2016/05/29 08:00,797.0,773.0,4-0,2-0,国际友谊,INT FRL,25_美国,USA,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,输,大,负
1197710.0,652.0,2016/03/30 07:30,766.0,773.0,2-0,2-0,南美预选,WCPSA,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球|2,走,小,负
1197705.0,652.0,2016/03/25 04:00,773.0,775.0,2-3,0-2,南美预选,WCPSA,49_玻利维亚,Bolivia,13_哥伦比亚,Colombia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1190057.0,652.0,2015/11/18 07:00,776.0,773.0,2-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,49_玻利维亚,Bolivia,1.0,0.0,,一球/球半|1/1.5,赢,大,负
1190049.0,652.0,2015/11/13 04:00,773.0,777.0,4-2,3-1,南美预选,WCPSA,49_玻利维亚,Bolivia,52_委内瑞拉,Venezuela,0.0,1.0,,半球/一球|0.5/1,赢,大,胜
1190044.0,652.0,2015/10/14 05:00,779.0,773.0,2-0,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,49_玻利维亚,Bolivia,0.0,0.0,,球半/两球|1.5/2,输,小,负
1190039.0,652.0,2015/10/09 04:00,773.0,767.0,0-2,0-1,南美预选,WCPSA,49_玻利维亚,Bolivia,22_乌拉圭,Uruguay,1.0,0.0,,平手|0,输,小,负
1180835.0,1366.0,2015/09/05 08:30,766.0,773.0,7-0,3-0,国际友谊,INT FRL,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1133234.0,224.0,2015/06/26 07:30,773.0,774.0,1-3,0-2,美洲杯,AMEC,49_玻利维亚,Bolivia,11_秘鲁,Peru,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1109149.0,224.0,2015/06/20 07:30,780.0,773.0,5-0,2-0,美洲杯,AMEC,10_智利,Chile,49_玻利维亚,Bolivia,0.0,0.0,,球半|1.5,输,大,负
1109152.0,224.0,2015/06/16 05:00,779.0,773.0,2-3,0-3,美洲杯,AMEC,68_厄瓜多尔,Ecuador,49_玻利维亚,Bolivia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1109153.0,224.0,2015/06/13 07:30,819.0,773.0,0-0,0-0,美洲杯,AMEC,17_墨西哥,Mexico,49_玻利维亚,Bolivia,0.0,0.0,,一球/球半|1/1.5,赢,小,平
