赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1483047.0,75.0,2018/06/30 22:00,649.0,766.0,,,世界杯,World Cup,9_法国,France,4_阿根廷,Argentina,0.0,0.0,,,,,
1482846.0,75.0,2018/06/27 02:00,789.0,766.0,1-2,0-1,世界杯,World Cup,51_尼日利亚,Nigeria,4_阿根廷,Argentina,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,胜
1482843.0,75.0,2018/06/22 02:00,766.0,768.0,0-3,0-0,世界杯,World Cup,4_阿根廷,Argentina,15_克罗地亚,Croatia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1482841.0,75.0,2018/06/16 21:00,766.0,756.0,1-1,1-1,世界杯,World Cup,4_阿根廷,Argentina,20_冰岛,Iceland,0.0,0.0,,一球/球半|1/1.5,输,小,平
1543734.0,1366.0,2018/05/30 07:10,766.0,909.0,4-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,87_海地,Haiti,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1521505.0,1366.0,2018/03/28 03:30,772.0,766.0,6-1,2-1,国际友谊,INT FRL,6_西班牙,Spain,4_阿根廷,Argentina,0.0,0.0,,平手/半球|0/0.5,输,大,负
1521022.0,1366.0,2018/03/24 03:45,766.0,771.0,2-0,0-0,国际友谊,INT FRL,4_阿根廷,Argentina,14_意大利,Italy,0.0,0.0,,半球|0.5,赢,小,胜
1477395.0,1366.0,2017/11/15 00:30,766.0,789.0,2-4,2-1,国际友谊,INT FRL,4_阿根廷,Argentina,51_尼日利亚,Nigeria,0.0,0.0,,一球/球半|1/1.5,输,大,负
1476841.0,1366.0,2017/11/11 21:00,746.0,766.0,0-1,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1197770.0,652.0,2017/10/11 07:30,779.0,766.0,1-3,1-2,南美预选,WCPSA,68_厄瓜多尔,Ecuador,4_阿根廷,Argentina,0.0,0.0,,受让一球/球半|-1/-1.5,赢,大,胜
1197764.0,652.0,2017/10/06 07:30,766.0,774.0,0-0,0-0,南美预选,WCPSA,4_阿根廷,Argentina,11_秘鲁,Peru,0.0,0.0,,球半/两球|1.5/2,输,小,平
1197760.0,652.0,2017/09/06 07:30,766.0,777.0,1-1,0-0,南美预选,WCPSA,4_阿根廷,Argentina,52_委内瑞拉,Venezuela,0.0,0.0,,两球半/三球|2.5/3,输,小,平
1197757.0,652.0,2017/09/01 07:00,767.0,766.0,0-0,0-0,南美预选,WCPSA,22_乌拉圭,Uruguay,4_阿根廷,Argentina,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1392396.0,1366.0,2017/06/13 20:00,892.0,766.0,0-6,0-2,国际友谊,INT FRL,173_新加坡,Singapore,4_阿根廷,Argentina,0.0,0.0,,受让5.25球|-5.25,赢,大,胜
1390548.0,1366.0,2017/06/09 18:05,778.0,766.0,0-1,0-1,国际友谊,INT FRL,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,平手|0,赢,小,胜
1197749.0,652.0,2017/03/29 04:00,773.0,766.0,2-0,1-0,南美预选,WCPSA,49_玻利维亚,Bolivia,4_阿根廷,Argentina,0.0,0.0,,受让半球|-0.5,输,小,负
1197746.0,652.0,2017/03/24 07:30,766.0,780.0,1-0,1-0,南美预选,WCPSA,4_阿根廷,Argentina,10_智利,Chile,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1197741.0,652.0,2016/11/16 07:30,766.0,775.0,3-0,2-0,南美预选,WCPSA,4_阿根廷,Argentina,13_哥伦比亚,Colombia,0.0,0.0,,一球|1,赢,大,胜
1197738.0,652.0,2016/11/11 07:45,778.0,766.0,3-0,2-0,南美预选,WCPSA,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,半球|0.5,输,大,负
1197730.0,652.0,2016/10/12 07:30,766.0,776.0,0-1,0-1,南美预选,WCPSA,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,输,小,负
1197725.0,652.0,2016/10/07 10:15,774.0,766.0,2-2,0-1,南美预选,WCPSA,11_秘鲁,Peru,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,平
1197721.0,652.0,2016/09/07 07:25,777.0,766.0,2-2,1-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,4_阿根廷,Argentina,0.0,0.0,,受让一球|-1,输,大,平
1197718.0,652.0,2016/09/02 07:30,766.0,767.0,1-0,1-0,南美预选,WCPSA,4_阿根廷,Argentina,22_乌拉圭,Uruguay,1.0,0.0,,半球/一球|0.5/1,赢,小,胜
1252740.0,224.0,2016/06/27 08:00,766.0,780.0,0-0,0-0,美洲杯,AMEC,4_阿根廷,Argentina,10_智利,Chile,1.0,1.0,"90,0-0;;1,0-0;2-4;2",半球/一球|0.5/1,输,小,平
1248764.0,224.0,2016/06/22 09:00,797.0,766.0,0-4,0-2,美洲杯,AMEC,25_美国,USA,4_阿根廷,Argentina,0.0,0.0,,受让一球|-1,赢,大,胜
1247619.0,224.0,2016/06/19 07:00,766.0,777.0,4-1,2-0,美洲杯,AMEC,4_阿根廷,Argentina,52_委内瑞拉,Venezuela,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1223672.0,224.0,2016/06/15 10:20,766.0,773.0,3-0,3-0,美洲杯,AMEC,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,赢,小,胜
1223670.0,224.0,2016/06/11 09:30,766.0,798.0,5-0,1-0,美洲杯,AMEC,4_阿根廷,Argentina,53_巴拿马,Panama,0.0,1.0,,球半/两球|1.5/2,赢,大,胜
1223667.0,224.0,2016/06/07 10:00,766.0,780.0,2-1,0-0,美洲杯,AMEC,4_阿根廷,Argentina,10_智利,Chile,0.0,0.0,,半球|0.5,赢,大,胜
1243456.0,1366.0,2016/05/28 07:00,766.0,794.0,1-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,67_洪都拉斯,Honduras,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
1197710.0,652.0,2016/03/30 07:30,766.0,773.0,2-0,2-0,南美预选,WCPSA,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球|2,走,小,胜
1197704.0,652.0,2016/03/25 07:30,780.0,766.0,1-2,1-2,南美预选,WCPSA,10_智利,Chile,4_阿根廷,Argentina,0.0,0.0,,平手|0,赢,大,胜
1190054.0,652.0,2015/11/18 04:30,775.0,766.0,0-1,0-1,南美预选,WCPSA,13_哥伦比亚,Colombia,4_阿根廷,Argentina,0.0,0.0,,平手|0,赢,小,胜
1190052.0,652.0,2015/11/14 08:00,766.0,778.0,1-1,1-0,南美预选,WCPSA,4_阿根廷,Argentina,2_巴西,Brazil,0.0,1.0,,半球|0.5,输,小,平
1190046.0,652.0,2015/10/14 08:00,776.0,766.0,0-0,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,4_阿根廷,Argentina,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1190043.0,652.0,2015/10/09 08:00,766.0,779.0,0-2,0-0,南美预选,WCPSA,4_阿根廷,Argentina,68_厄瓜多尔,Ecuador,0.0,0.0,,球半|1.5,输,小,负
1182529.0,1366.0,2015/09/09 10:30,766.0,819.0,2-2,0-1,国际友谊,INT FRL,4_阿根廷,Argentina,17_墨西哥,Mexico,0.0,0.0,,一球|1,输,大,平
1180835.0,1366.0,2015/09/05 08:30,766.0,773.0,7-0,3-0,国际友谊,INT FRL,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1141610.0,224.0,2015/07/05 04:00,780.0,766.0,0-0,0-0,美洲杯,AMEC,10_智利,Chile,4_阿根廷,Argentina,0.0,0.0,"90,0-0;;1,0-0;4-1;1",受让平手/半球|-0/-0.5,输,小,平
1137769.0,224.0,2015/07/01 07:30,766.0,776.0,6-1,2-1,美洲杯,AMEC,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,赢,大,胜
1133233.0,224.0,2015/06/27 07:30,766.0,775.0,0-0,0-0,美洲杯,AMEC,4_阿根廷,Argentina,13_哥伦比亚,Colombia,0.0,0.0,"90,0-0;;;5-4;1",半球|0.5,输,小,平
1109155.0,224.0,2015/06/21 05:30,766.0,799.0,1-0,1-0,美洲杯,AMEC,4_阿根廷,Argentina,55_牙买加,Jamaica,0.0,0.0,,两球|2,输,小,胜
1109157.0,224.0,2015/06/17 07:30,766.0,767.0,1-0,0-0,美洲杯,AMEC,4_阿根廷,Argentina,22_乌拉圭,Uruguay,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1109159.0,224.0,2015/06/14 05:30,766.0,776.0,2-2,2-0,美洲杯,AMEC,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,输,大,平
1129015.0,1366.0,2015/06/07 07:05,766.0,773.0,5-0,3-0,国际友谊,INT FRL,4_阿根廷,Argentina,49_玻利维亚,Bolivia,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1109754.0,1366.0,2015/04/01 08:00,766.0,779.0,2-1,1-1,国际友谊,INT FRL,4_阿根廷,Argentina,68_厄瓜多尔,Ecuador,0.0,0.0,,一球|1,走,大,胜
1110164.0,1366.0,2015/03/29 04:30,796.0,766.0,0-2,0-0,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,4_阿根廷,Argentina,0.0,0.0,,受让两球半|-2.5,输,小,胜
1069711.0,1366.0,2014/11/19 03:45,766.0,765.0,0-1,0-0,国际友谊,INT FRL,4_阿根廷,Argentina,3_葡萄牙,Portugal,0.0,0.0,,半球|0.5,输,小,负
1068344.0,1366.0,2014/11/13 03:45,766.0,768.0,2-1,0-1,国际友谊,INT FRL,4_阿根廷,Argentina,15_克罗地亚,Croatia,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1065964.0,1366.0,2014/10/14 20:00,888.0,766.0,0-7,0-3,国际友谊,INT FRL,144_中国香港,Hong Kong,4_阿根廷,Argentina,0.0,0.0,,受让四球半/五球|-4.5/-5,赢,大,胜
1063922.0,1366.0,2014/10/11 20:10,778.0,766.0,2-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,平手|0,输,小,负
1050189.0,1366.0,2014/09/04 02:45,650.0,766.0,2-4,0-2,国际友谊,INT FRL,1_德国,Germany,4_阿根廷,Argentina,0.0,0.0,,半球|0.5,赢,大,胜
1001687.0,75.0,2014/07/14 03:00,650.0,766.0,0-0,0-0,世界杯,World Cup,1_德国,Germany,4_阿根廷,Argentina,0.0,0.0,"90,0-0;;1,1-0;;1",平手/半球|0/0.5,赢,小,平
999210.0,75.0,2014/07/10 04:00,766.0,646.0,0-0,0-0,世界杯,World Cup,4_阿根廷,Argentina,21_荷兰,Netherlands,0.0,0.0,"90,0-0;;1,0-0;4-2;1",平手|0,走,小,平
996526.0,75.0,2014/07/06 00:00,766.0,645.0,1-0,1-0,世界杯,World Cup,4_阿根廷,Argentina,5_比利时,Belgium,0.0,0.0,,半球|0.5,赢,小,胜
990754.0,75.0,2014/07/02 00:00,766.0,648.0,0-0,0-0,世界杯,World Cup,4_阿根廷,Argentina,8_瑞士,Switzerland,0.0,0.0,"90,0-0;;1,1-0;;1",一球|1,输,小,平
940561.0,75.0,2014/06/26 00:00,789.0,766.0,2-3,1-2,世界杯,World Cup,51_尼日利亚,Nigeria,4_阿根廷,Argentina,0.0,0.0,,受让球半|-1.5,输,大,胜
940559.0,75.0,2014/06/22 00:00,766.0,783.0,1-0,0-0,世界杯,World Cup,4_阿根廷,Argentina,34_伊朗,Iran,0.0,0.0,,两球|2,输,小,胜
940557.0,75.0,2014/06/16 06:00,766.0,782.0,2-1,1-0,世界杯,World Cup,4_阿根廷,Argentina,38_波黑,Bosnia-Herzegovina,0.0,0.0,,一球/球半|1/1.5,输,大,胜
985122.0,1366.0,2014/06/08 02:50,766.0,632.0,2-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,64_斯洛文尼亚,Slovenia,0.0,0.0,,球半|1.5,赢,小,胜
984649.0,1366.0,2014/06/05 06:15,766.0,912.0,3-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球半/三球|2.5/3,赢,小,胜
959544.0,1366.0,2014/03/06 03:00,635.0,766.0,0-0,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
936609.0,41.0,2013/11/19 09:30,766.0,782.0,2-0,1-0,球会友谊,INT CF,4_阿根廷,Argentina,38_波黑,Bosnia-Herzegovina,0.0,0.0,,一球|1,赢,小,胜
936500.0,41.0,2013/11/16 09:00,766.0,779.0,0-0,0-0,球会友谊,INT CF,4_阿根廷,Argentina,68_厄瓜多尔,Ecuador,0.0,0.0,,一球|1,输,小,平
649565.0,652.0,2013/10/16 07:30,767.0,766.0,3-2,2-2,南美预选,WCPSA,22_乌拉圭,Uruguay,4_阿根廷,Argentina,0.0,0.0,,平手/半球|0/0.5,输,大,负
649562.0,652.0,2013/10/12 07:00,766.0,774.0,3-1,2-1,南美预选,WCPSA,4_阿根廷,Argentina,11_秘鲁,Peru,0.0,0.0,,两球|2,走,大,胜
649557.0,652.0,2013/09/11 09:40,776.0,766.0,2-5,1-2,南美预选,WCPSA,31_巴拉圭,Paraguay,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
899730.0,41.0,2013/08/15 02:45,771.0,766.0,1-2,0-1,球会友谊,INT CF,14_意大利,Italy,4_阿根廷,Argentina,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
850624.0,41.0,2013/06/15 10:00,801.0,766.0,0-4,0-3,球会友谊,INT CF,128_危地马拉,Guatemala,4_阿根廷,Argentina,0.0,0.0,,受让球半|-1.5,赢,大,胜
649548.0,652.0,2013/06/12 05:00,779.0,766.0,1-1,1-1,南美预选,WCPSA,68_厄瓜多尔,Ecuador,4_阿根廷,Argentina,0.0,1.0,,平手|0,走,小,平
649545.0,652.0,2013/06/08 06:00,766.0,775.0,0-0,0-0,南美预选,WCPSA,4_阿根廷,Argentina,13_哥伦比亚,Colombia,1.0,1.0,,一球|1,输,小,平
649540.0,652.0,2013/03/27 04:00,773.0,766.0,1-1,1-1,南美预选,WCPSA,49_玻利维亚,Bolivia,4_阿根廷,Argentina,0.0,0.0,,,,小,平
649536.0,652.0,2013/03/23 08:00,766.0,777.0,3-0,2-0,南美预选,WCPSA,4_阿根廷,Argentina,52_委内瑞拉,Venezuela,0.0,0.0,,,,小,胜
813446.0,41.0,2013/02/07 03:30,644.0,766.0,2-3,1-3,球会友谊,INT CF,18_瑞典,Sweden,4_阿根廷,Argentina,0.0,0.0,,,,大,胜
801971.0,41.0,2012/11/22 08:00,766.0,778.0,2-1,0-0,球会友谊,INT CF,4_阿根廷,Argentina,2_巴西,Brazil,0.0,0.0,"90,2-1;3-3;;3-4;2",,,大,胜
798603.0,41.0,2012/11/15 01:00,891.0,766.0,0-0,0-0,球会友谊,INT CF,65_沙特阿拉伯,Saudi Arabia,4_阿根廷,Argentina,0.0,0.0,,,,小,平
649533.0,652.0,2012/10/17 08:05,780.0,766.0,1-2,0-2,南美预选,WCPSA,10_智利,Chile,4_阿根廷,Argentina,0.0,0.0,,,,大,胜
649529.0,652.0,2012/10/13 08:00,766.0,767.0,3-0,0-0,南美预选,WCPSA,4_阿根廷,Argentina,22_乌拉圭,Uruguay,0.0,0.0,,,,大,胜
782616.0,41.0,2012/09/20 08:50,778.0,766.0,2-1,1-1,球会友谊,INT CF,2_巴西,Brazil,4_阿根廷,Argentina,0.0,0.0,,,,大,负
649527.0,652.0,2012/09/12 09:25,774.0,766.0,1-1,1-1,南美预选,WCPSA,11_秘鲁,Peru,4_阿根廷,Argentina,0.0,0.0,,,,小,平
649521.0,652.0,2012/09/08 07:10,766.0,776.0,3-1,2-1,南美预选,WCPSA,4_阿根廷,Argentina,31_巴拉圭,Paraguay,0.0,0.0,,,,大,胜
755588.0,41.0,2012/08/16 02:45,650.0,766.0,1-3,0-1,球会友谊,INT CF,1_德国,Germany,4_阿根廷,Argentina,1.0,0.0,,,,大,胜
708950.0,41.0,2012/06/10 03:00,766.0,778.0,4-3,2-1,球会友谊,INT CF,4_阿根廷,Argentina,2_巴西,Brazil,1.0,1.0,,,,大,胜
649515.0,652.0,2012/06/03 06:30,766.0,779.0,4-0,3-0,南美预选,WCPSA,4_阿根廷,Argentina,68_厄瓜多尔,Ecuador,0.0,0.0,,,,大,胜
