赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1477182.0,1366.0,2017/11/13 22:00,777.0,783.0,0-1,0-0,国际友谊,INT FRL,52_委内瑞拉,Venezuela,34_伊朗,Iran,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1197769.0,652.0,2017/10/11 07:30,776.0,777.0,0-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,52_委内瑞拉,Venezuela,1.0,1.0,,球半|1.5,赢,小,胜
1197767.0,652.0,2017/10/06 05:00,777.0,767.0,0-0,0-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,22_乌拉圭,Uruguay,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1197760.0,652.0,2017/09/06 07:30,766.0,777.0,1-1,0-0,南美预选,WCPSA,4_阿根廷,Argentina,52_委内瑞拉,Venezuela,0.0,0.0,,两球半/三球|2.5/3,赢,小,平
1197756.0,652.0,2017/09/01 05:00,777.0,775.0,0-0,0-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1391091.0,1366.0,2017/06/09 08:30,779.0,777.0,1-1,1-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,52_委内瑞拉,Venezuela,0.0,1.0,,半球|0.5,赢,小,平
1389656.0,1366.0,2017/06/04 10:10,797.0,777.0,1-1,0-1,国际友谊,INT FRL,25_美国,USA,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1197750.0,652.0,2017/03/29 06:00,780.0,777.0,3-1,3-0,南美预选,WCPSA,10_智利,Chile,52_委内瑞拉,Venezuela,0.0,0.0,,球半/两球|1.5/2,输,大,负
1197744.0,652.0,2017/03/24 07:30,777.0,774.0,2-2,2-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,11_秘鲁,Peru,0.0,0.0,,平手/半球|0/0.5,输,大,平
1197739.0,652.0,2016/11/16 05:00,779.0,777.0,3-0,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,52_委内瑞拉,Venezuela,0.0,0.0,,一球/球半|1/1.5,输,大,负
1197735.0,652.0,2016/11/11 07:45,777.0,773.0,5-0,2-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,赢,大,胜
1197733.0,652.0,2016/10/12 08:30,777.0,778.0,0-2,0-1,南美预选,WCPSA,52_委内瑞拉,Venezuela,2_巴西,Brazil,0.0,0.0,,受让球半|-1.5,输,小,负
1197727.0,652.0,2016/10/07 07:00,767.0,777.0,3-0,1-0,南美预选,WCPSA,22_乌拉圭,Uruguay,52_委内瑞拉,Venezuela,0.0,1.0,,球半|1.5,输,大,负
1197721.0,652.0,2016/09/07 07:25,777.0,766.0,2-2,1-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,4_阿根廷,Argentina,0.0,0.0,,受让一球|-1,赢,大,平
1197715.0,652.0,2016/09/02 04:30,775.0,777.0,2-0,1-0,南美预选,WCPSA,13_哥伦比亚,Colombia,52_委内瑞拉,Venezuela,0.0,2.0,,一球|1,输,小,负
1247619.0,224.0,2016/06/19 07:00,766.0,777.0,4-1,2-0,美洲杯,AMEC,4_阿根廷,Argentina,52_委内瑞拉,Venezuela,0.0,0.0,,一球/球半|1/1.5,输,大,负
1223665.0,224.0,2016/06/14 08:00,819.0,777.0,1-1,0-1,美洲杯,AMEC,17_墨西哥,Mexico,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1223664.0,224.0,2016/06/10 07:30,767.0,777.0,0-1,0-1,美洲杯,AMEC,22_乌拉圭,Uruguay,52_委内瑞拉,Venezuela,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1223662.0,224.0,2016/06/06 05:00,777.0,799.0,1-0,1-0,美洲杯,AMEC,52_委内瑞拉,Venezuela,55_牙买加,Jamaica,0.0,1.0,,平手|0,赢,小,胜
1243644.0,1366.0,2016/06/02 08:30,801.0,777.0,1-1,0-0,国际友谊,INT FRL,128_危地马拉,Guatemala,52_委内瑞拉,Venezuela,0.0,0.0,,受让一球|-1,输,小,平
