赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482864.0,75.0,2018/06/29 02:00,798.0,823.0,,,世界杯,World Cup,53_巴拿马,Panama,23_突尼斯,Tunisia,0.0,0.0,,,,,
1482862.0,75.0,2018/06/24 20:00,744.0,798.0,6-1,5-0,世界杯,World Cup,16_英格兰,England,53_巴拿马,Panama,0.0,0.0,,球半/两球|1.5/2,输,大,负
1482859.0,75.0,2018/06/18 23:00,645.0,798.0,3-0,0-0,世界杯,World Cup,5_比利时,Belgium,53_巴拿马,Panama,0.0,0.0,,球半/两球|1.5/2,输,大,负
1543773.0,1366.0,2018/06/07 01:00,640.0,798.0,1-0,1-0,国际友谊,INT FRL,58_挪威,Norway,53_巴拿马,Panama,0.0,0.0,,半球|0.5,输,小,负
1543282.0,1366.0,2018/05/30 09:00,798.0,759.0,0-0,0-0,国际友谊,INT FRL,53_巴拿马,Panama,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,输,小,平
1534095.0,1366.0,2018/04/18 07:30,912.0,798.0,0-1,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,,平手|0,赢,小,胜
1521493.0,1366.0,2018/03/28 01:00,648.0,798.0,6-0,4-0,国际友谊,INT FRL,8_瑞士,Switzerland,53_巴拿马,Panama,0.0,0.0,,球半|1.5,输,大,负
1518983.0,1366.0,2018/03/23 03:00,638.0,798.0,1-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,53_巴拿马,Panama,0.0,1.0,,一球/球半|1/1.5,赢,小,负
1477411.0,1366.0,2017/11/15 03:45,7384.0,798.0,1-1,0-0,国际友谊,INT FRL,19_威尔士,Wales,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1476834.0,1366.0,2017/11/10 02:30,783.0,798.0,2-1,2-1,国际友谊,INT FRL,34_伊朗,Iran,53_巴拿马,Panama,0.0,0.0,,平手/半球|0/0.5,输,大,负
1451455.0,41.0,2017/10/25 07:00,7296.0,798.0,0-5,0-3,球会友谊,INT CF,159_格瑞那达,Grenada,53_巴拿马,Panama,0.0,0.0,,,,,胜
1327141.0,653.0,2017/10/11 08:00,798.0,914.0,2-1,0-1,北美预选,WCPCA,53_巴拿马,Panama,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球|0.5,赢,大,胜
1327145.0,653.0,2017/10/07 07:35,797.0,798.0,4-0,3-0,北美预选,WCPCA,25_美国,USA,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,输,大,负
1327146.0,653.0,2017/09/06 10:05,798.0,912.0,3-0,1-0,北美预选,WCPCA,53_巴拿马,Panama,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1327149.0,653.0,2017/09/02 09:30,819.0,798.0,1-0,0-0,北美预选,WCPCA,17_墨西哥,Mexico,53_巴拿马,Panama,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1420191.0,232.0,2017/07/20 06:15,914.0,798.0,1-0,0-0,美金杯,CGC,27_哥斯达黎加,Costa Rica,53_巴拿马,Panama,0.0,0.0,,半球|0.5,输,小,负
1406486.0,232.0,2017/07/16 04:35,798.0,16239.0,3-0,1-0,美金杯,CGC,53_巴拿马,Panama,220_弱鸡,Martinique,0.0,0.0,,一球|1,赢,大,胜
1406484.0,232.0,2017/07/13 06:35,5091.0,798.0,1-2,0-0,美金杯,CGC,115_尼加拉瓜,Nicaragua,53_巴拿马,Panama,0.0,0.0,,受让球半|-1.5,输,大,胜
1406483.0,232.0,2017/07/09 04:45,797.0,798.0,1-1,0-0,美金杯,CGC,25_美国,USA,53_巴拿马,Panama,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1327152.0,653.0,2017/06/14 09:35,798.0,794.0,2-2,1-1,北美预选,WCPCA,53_巴拿马,Panama,67_洪都拉斯,Honduras,0.0,0.0,,半球|0.5,输,大,平
1327157.0,653.0,2017/06/09 10:00,914.0,798.0,0-0,0-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,53_巴拿马,Panama,1.0,0.0,,半球/一球|0.5/1,赢,小,平
1327158.0,653.0,2017/03/29 10:05,798.0,797.0,1-1,1-1,北美预选,WCPCA,53_巴拿马,Panama,25_美国,USA,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1327163.0,653.0,2017/03/25 07:00,912.0,798.0,1-0,1-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,,平手|0,输,小,负
1339708.0,424.0,2017/01/23 05:05,798.0,914.0,1-0,0-0,中美杯,UNCAFNC,53_巴拿马,Panama,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,赢,小,胜
