赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502159.0,1864.0,2018/11/19 03:45,745.0,736.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,68_芬兰,Finland,0.0,0.0,,,,,
1502157.0,1864.0,2018/11/16 03:45,745.0,636.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502156.0,1864.0,2018/10/16 02:45,636.0,745.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,54_匈牙利,Hungary,0.0,0.0,,,,,
1502154.0,1864.0,2018/10/13 02:45,757.0,745.0,,,欧国联,UEFA  NL,47_希腊,Greece,54_匈牙利,Hungary,0.0,0.0,,,,,
1502152.0,1864.0,2018/09/12 02:45,745.0,757.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,47_希腊,Greece,0.0,0.0,,,,,
1502149.0,1864.0,2018/09/08 23:59,736.0,745.0,,,欧国联,UEFA  NL,68_芬兰,Finland,54_匈牙利,Hungary,0.0,0.0,,,,,
1543785.0,1366.0,2018/06/09 23:30,745.0,913.0,1-2,0-0,国际友谊,INT FRL,54_匈牙利,Hungary,36_澳大利亚,Australia,0.0,0.0,,平手|0,输,大,负
1543744.0,1366.0,2018/06/07 01:00,750.0,745.0,1-1,1-1,国际友谊,INT FRL,93_白俄罗斯,Belarus,54_匈牙利,Hungary,0.0,0.0,,平手|0,走,小,平
1521496.0,1366.0,2018/03/28 02:00,745.0,641.0,0-1,0-0,国际友谊,INT FRL,54_匈牙利,Hungary,32_苏格兰,Scotland,0.0,0.0,,平手|0,输,小,负
1519560.0,1366.0,2018/03/24 02:00,745.0,763.0,2-3,1-3,国际友谊,INT FRL,54_匈牙利,Hungary,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,一球/球半|1/1.5,输,大,负
1477407.0,1366.0,2017/11/15 03:15,745.0,914.0,1-0,1-0,国际友谊,INT FRL,54_匈牙利,Hungary,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,赢,小,胜
1476836.0,1366.0,2017/11/10 03:00,749.0,745.0,2-1,1-1,国际友谊,INT FRL,84_卢森堡,Luxembourg,54_匈牙利,Hungary,0.0,1.0,,受让一球/球半|-1/-1.5,输,大,负
1198439.0,650.0,2017/10/11 02:45,745.0,754.0,1-0,0-0,欧洲预选,WCPEU,54_匈牙利,Hungary,97_法罗群岛,Faroe Islands,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1198435.0,650.0,2017/10/08 02:45,648.0,745.0,5-2,3-0,欧洲预选,WCPEU,8_瑞士,Switzerland,54_匈牙利,Hungary,0.0,0.0,,球半|1.5,输,大,负
1198432.0,650.0,2017/09/04 02:45,745.0,765.0,0-1,0-0,欧洲预选,WCPEU,54_匈牙利,Hungary,3_葡萄牙,Portugal,1.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1198428.0,650.0,2017/09/01 02:45,745.0,631.0,3-1,2-1,欧洲预选,WCPEU,54_匈牙利,Hungary,131_拉脱维亚,Latvia,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1198425.0,650.0,2017/06/10 02:45,894.0,745.0,1-0,1-0,欧洲预选,WCPEU,136_安道尔,Andorra,54_匈牙利,Hungary,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,负
