赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1536291.0,1366.0,2018/04/29 07:00,8028.0,799.0,0-2,0-1,国际友谊,INT FRL,139_安提瓜和巴布达,Antigua   Barbuda,55_牙买加,Jamaica,1.0,0.0,,,,,胜
1536800.0,1366.0,2018/04/27 08:00,821.0,799.0,1-3,0-3,国际友谊,INT FRL,110_圣基茨和尼维斯,St. Kitts and Nevis,55_牙买加,Jamaica,0.0,0.0,,,,,胜
1521480.0,1366.0,2018/03/26 06:15,799.0,8028.0,1-1,0-0,国际友谊,INT FRL,55_牙买加,Jamaica,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,平
1495978.0,1366.0,2018/01/30 19:00,799.0,898.0,2-2,1-0,国际友谊,INT FRL,55_牙买加,Jamaica,59_韩国,Korea Republic,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1469159.0,1366.0,2017/10/08 01:15,891.0,799.0,5-2,3-1,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,55_牙买加,Jamaica,0.0,0.0,,半球/一球|0.5/1,输,大,负
1452538.0,1366.0,2017/09/03 07:10,795.0,799.0,2-0,2-0,国际友谊,INT FRL,95_加拿大,Canada,55_牙买加,Jamaica,1.0,0.0,,平手/半球|0/0.5,输,小,负
1449130.0,1366.0,2017/08/25 08:00,912.0,799.0,1-2,1-1,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,55_牙买加,Jamaica,0.0,0.0,,平手|0,赢,大,胜
1426650.0,232.0,2017/07/27 09:50,797.0,799.0,2-1,1-0,美金杯,CGC,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球|1,走,大,负
1424394.0,232.0,2017/07/24 09:00,819.0,799.0,0-1,0-0,美金杯,CGC,17_墨西哥,Mexico,55_牙买加,Jamaica,0.0,0.0,,一球|1,赢,小,胜
1420193.0,232.0,2017/07/21 07:30,799.0,795.0,2-1,1-0,美金杯,CGC,55_牙买加,Jamaica,95_加拿大,Canada,0.0,0.0,,平手|0,赢,大,胜
1406492.0,232.0,2017/07/17 06:05,799.0,796.0,1-1,0-1,美金杯,CGC,55_牙买加,Jamaica,90_萨尔瓦多,El Salvador,0.0,0.0,,平手/半球|0/0.5,输,小,平
1406491.0,232.0,2017/07/14 10:30,819.0,799.0,0-0,0-0,美金杯,CGC,17_墨西哥,Mexico,55_牙买加,Jamaica,0.0,0.0,,球半|1.5,赢,小,平
1406488.0,232.0,2017/07/10 07:05,17976.0,799.0,0-2,0-0,美金杯,CGC,84_库拉索,Curacao,55_牙买加,Jamaica,0.0,0.0,,受让半球|-0.5,赢,小,胜
1402895.0,188.0,2017/06/26 07:30,799.0,17976.0,1-2,0-1,美加杯,CGC CZ,55_牙买加,Jamaica,84_库拉索,Curacao,0.0,0.0,,,,,负
1398252.0,188.0,2017/06/23 06:00,799.0,20412.0,1-1,0-1,美加杯,CGC CZ,55_牙买加,Jamaica,220_弱鸡,French Guiana,1.0,0.0,"90,1-1;;1,1-1;4-2;1",,,,平
1392395.0,1366.0,2017/06/14 08:30,774.0,799.0,3-1,2-0,国际友谊,INT FRL,11_秘鲁,Peru,55_牙买加,Jamaica,0.0,0.0,,一球|1,输,大,负
1354402.0,1366.0,2017/02/17 09:40,794.0,799.0,0-1,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,55_牙买加,Jamaica,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1349538.0,1366.0,2017/02/04 08:30,797.0,799.0,1-0,0-0,国际友谊,INT FRL,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1320727.0,188.0,2016/11/14 07:00,799.0,8027.0,1-0,1-0,美加杯,CGC CZ,55_牙买加,Jamaica,160_苏利南共和国,Suriname,1.0,0.0,,,,,胜
1320729.0,188.0,2016/10/12 08:00,8029.0,799.0,2-2,2-0,美加杯,CGC CZ,164_圭亚那,Guyana,55_牙买加,Jamaica,1.0,0.0,"90,2-2;;1,2-4;;2",,,,平
1196384.0,653.0,2016/09/07 09:30,799.0,909.0,0-2,0-0,北美预选,WCPCA,55_牙买加,Jamaica,87_海地,Haiti,0.0,0.0,,一球|1,输,小,负
1196381.0,653.0,2016/09/03 09:30,798.0,799.0,2-0,1-0,北美预选,WCPCA,53_巴拿马,Panama,55_牙买加,Jamaica,0.0,0.0,,半球/一球|0.5/1,输,走,负
1223666.0,224.0,2016/06/14 10:20,767.0,799.0,3-0,1-0,美洲杯,AMEC,22_乌拉圭,Uruguay,55_牙买加,Jamaica,0.0,0.0,,一球/球半|1/1.5,输,大,负
1223663.0,224.0,2016/06/10 10:00,819.0,799.0,2-0,1-0,美洲杯,AMEC,17_墨西哥,Mexico,55_牙买加,Jamaica,0.0,0.0,,一球/球半|1/1.5,输,小,负
1223662.0,224.0,2016/06/06 05:00,777.0,799.0,1-0,1-0,美洲杯,AMEC,52_委内瑞拉,Venezuela,55_牙买加,Jamaica,0.0,1.0,,平手|0,输,小,负
1243476.0,1366.0,2016/05/28 07:40,780.0,799.0,1-2,0-1,国际友谊,INT FRL,10_智利,Chile,55_牙买加,Jamaica,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1196379.0,653.0,2016/03/30 10:00,914.0,799.0,3-0,2-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,55_牙买加,Jamaica,0.0,0.0,,半球/一球|0.5/1,输,大,负
1196378.0,653.0,2016/03/26 08:00,799.0,914.0,1-1,1-0,北美预选,WCPCA,55_牙买加,Jamaica,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手|0,走,走,平
1196375.0,653.0,2015/11/18 08:05,909.0,799.0,0-1,0-0,北美预选,WCPCA,87_海地,Haiti,55_牙买加,Jamaica,0.0,0.0,,平手|0,赢,小,胜
1196357.0,653.0,2015/11/14 10:05,799.0,798.0,0-2,0-1,北美预选,WCPCA,55_牙买加,Jamaica,53_巴拿马,Panama,0.0,0.0,,平手/半球|0/0.5,输,走,负
1192298.0,1366.0,2015/10/13 19:00,898.0,799.0,3-0,1-0,国际友谊,INT FRL,59_韩国,Korea Republic,55_牙买加,Jamaica,0.0,0.0,,一球|1,输,大,负
1183612.0,653.0,2015/09/09 09:30,5091.0,799.0,0-2,0-1,北美预选,WCPCA,115_尼加拉瓜,Nicaragua,55_牙买加,Jamaica,0.0,1.0,,受让球半/两球|-1.5/-2,赢,小,胜
1183616.0,653.0,2015/09/05 09:00,799.0,5091.0,2-3,0-2,北美预选,WCPCA,55_牙买加,Jamaica,115_尼加拉瓜,Nicaragua,0.0,0.0,,两球|2,输,大,负
1155582.0,232.0,2015/07/27 08:05,799.0,819.0,1-3,0-1,美金杯,CGC,55_牙买加,Jamaica,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1152446.0,232.0,2015/07/23 06:00,797.0,799.0,1-2,0-2,美金杯,CGC,25_美国,USA,55_牙买加,Jamaica,0.0,0.0,,一球|1,赢,大,胜
1149812.0,232.0,2015/07/19 08:00,799.0,909.0,1-0,1-0,美金杯,CGC,55_牙买加,Jamaica,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1129120.0,232.0,2015/07/15 06:00,799.0,796.0,1-0,0-0,美金杯,CGC,55_牙买加,Jamaica,90_萨尔瓦多,El Salvador,1.0,0.0,,半球|0.5,赢,小,胜
1143937.0,232.0,2015/07/12 06:30,795.0,799.0,0-1,0-0,美金杯,CGC,95_加拿大,Canada,55_牙买加,Jamaica,0.0,0.0,,平手|0,赢,小,胜
1129116.0,232.0,2015/07/09 08:10,914.0,799.0,2-2,2-1,美金杯,CGC,27_哥斯达黎加,Costa Rica,55_牙买加,Jamaica,0.0,0.0,,半球|0.5,赢,大,平
1109155.0,224.0,2015/06/21 05:30,766.0,799.0,1-0,1-0,美洲杯,AMEC,4_阿根廷,Argentina,55_牙买加,Jamaica,0.0,0.0,,两球|2,赢,小,负
1109158.0,224.0,2015/06/17 05:00,776.0,799.0,1-0,1-0,美洲杯,AMEC,31_巴拉圭,Paraguay,55_牙买加,Jamaica,0.0,0.0,,半球/一球|0.5/1,输,小,负
1109160.0,224.0,2015/06/14 03:00,767.0,799.0,1-0,0-0,美洲杯,AMEC,22_乌拉圭,Uruguay,55_牙买加,Jamaica,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1111139.0,1366.0,2015/03/31 09:00,799.0,1991.0,3-0,3-0,国际友谊,INT FRL,55_牙买加,Jamaica,181_古巴,cuba,0.0,0.0,,一球|1,赢,大,胜
1110713.0,1366.0,2015/03/28 09:00,799.0,777.0,2-1,1-1,国际友谊,INT FRL,55_牙买加,Jamaica,52_委内瑞拉,Venezuela,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1070725.0,188.0,2014/11/19 09:00,799.0,912.0,0-0,0-0,美加杯,CGC CZ,55_牙买加,Jamaica,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,"90,0-0;;1,0-0;4-3;1",,,,平
1069082.0,188.0,2014/11/17 09:00,799.0,909.0,2-0,2-0,美加杯,CGC CZ,55_牙买加,Jamaica,87_海地,Haiti,0.0,0.0,,,,,胜
1069079.0,188.0,2014/11/15 09:00,799.0,8028.0,3-0,2-0,美加杯,CGC CZ,55_牙买加,Jamaica,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
1069078.0,188.0,2014/11/13 09:00,799.0,16239.0,1-1,1-1,美加杯,CGC CZ,55_牙买加,Jamaica,220_弱鸡,Martinique,0.0,0.0,,,,,平
1062987.0,1366.0,2014/10/10 18:25,903.0,799.0,1-0,1-0,国际友谊,INT FRL,56_日本,Japan,55_牙买加,Jamaica,0.0,0.0,,球半|1.5,赢,小,负
