赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542743.0,95.0,2019/01/18 01:00,875.0,903.0,,,亚洲杯,AFC,77_乌兹别克,Uzbekistan,56_日本,Japan,0.0,0.0,,,,,
1542741.0,95.0,2019/01/13 22:00,903.0,902.0,,,亚洲杯,AFC,56_日本,Japan,101_阿曼,Oman,0.0,0.0,,,,,
1542738.0,95.0,2019/01/09 22:00,825.0,903.0,,,亚洲杯,AFC,114_土库曼斯坦,Turkmenistan,56_日本,Japan,0.0,0.0,,,,,
1482869.0,75.0,2018/06/28 22:00,903.0,637.0,,,世界杯,World Cup,56_日本,Japan,7_波兰,Poland,0.0,0.0,,,,,
1482867.0,75.0,2018/06/24 23:00,903.0,815.0,2-2,1-1,世界杯,World Cup,56_日本,Japan,24_塞内加尔,Senegal,0.0,0.0,,平手|0,走,大,平
1482866.0,75.0,2018/06/19 20:00,775.0,903.0,1-2,1-1,世界杯,World Cup,13_哥伦比亚,Colombia,56_日本,Japan,1.0,0.0,,半球|0.5,赢,大,胜
1543817.0,1366.0,2018/06/12 21:05,776.0,903.0,2-4,1-0,国际友谊,INT FRL,31_巴拉圭,Paraguay,56_日本,Japan,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1543777.0,1366.0,2018/06/09 01:00,648.0,903.0,2-0,1-0,国际友谊,INT FRL,8_瑞士,Switzerland,56_日本,Japan,0.0,0.0,,半球/一球|0.5/1,输,小,负
1543287.0,1366.0,2018/05/30 18:25,903.0,810.0,0-2,0-1,国际友谊,INT FRL,56_日本,Japan,50_加纳,Ghana,0.0,0.0,,半球|0.5,输,小,负
1521486.0,1366.0,2018/03/27 20:20,903.0,634.0,1-2,1-1,国际友谊,INT FRL,56_日本,Japan,35_乌克兰,Ukraine,0.0,0.0,,平手|0,输,大,负
1519565.0,1366.0,2018/03/23 20:20,903.0,817.0,1-1,0-1,国际友谊,INT FRL,56_日本,Japan,71_马里,Mali,0.0,0.0,,半球|0.5,输,走,平
1482731.0,53.0,2017/12/16 18:15,903.0,898.0,1-4,1-3,东亚杯,EASTC,56_日本,Japan,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,输,大,负
1482729.0,53.0,2017/12/12 18:20,903.0,896.0,2-1,0-0,东亚杯,EASTC,56_日本,Japan,70_中国,China,0.0,0.0,,一球/球半|1/1.5,输,大,胜
1481973.0,53.0,2017/12/09 18:15,903.0,876.0,1-0,0-0,东亚杯,EASTC,56_日本,Japan,119_朝鲜,Korea DPR,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1477415.0,1366.0,2017/11/15 03:45,645.0,903.0,1-0,0-0,国际友谊,INT FRL,5_比利时,Belgium,56_日本,Japan,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1476823.0,1366.0,2017/11/10 20:00,903.0,778.0,1-3,0-3,国际友谊,INT FRL,56_日本,Japan,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1468367.0,220.0,2017/10/10 18:30,903.0,909.0,3-3,2-1,麒麟杯,KIR Cup,56_日本,Japan,87_海地,Haiti,0.0,0.0,,球半/两球|1.5/2,输,大,平
1466906.0,220.0,2017/10/06 18:20,903.0,2363.0,2-1,0-0,麒麟杯,KIR Cup,56_日本,Japan,120_新西兰,New Zealand,0.0,0.0,,球半/两球|1.5/2,输,走,胜
1237358.0,648.0,2017/09/06 01:30,891.0,903.0,1-0,0-0,亚洲预选,FIFA WCQL,65_沙特阿拉伯,Saudi Arabia,56_日本,Japan,0.0,0.0,,平手/半球|0/0.5,输,小,负
1237361.0,648.0,2017/08/31 18:35,903.0,913.0,2-0,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,36_澳大利亚,Australia,0.0,0.0,,半球|0.5,赢,小,胜
1430706.0,1366.0,2017/07/31 05:15,903.0,913.0,2-4,1-3,国际友谊,INT FRL,56_日本,Japan,36_澳大利亚,Australia,0.0,0.0,,,,,负
1430307.0,1366.0,2017/07/28 07:15,778.0,903.0,1-1,0-0,国际友谊,INT FRL,2_巴西,Brazil,56_日本,Japan,0.0,0.0,,,,,平
1237369.0,648.0,2017/06/13 20:25,874.0,903.0,1-1,0-1,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,56_日本,Japan,0.0,0.0,,受让一球|-1,输,小,平
1391067.0,220.0,2017/06/07 18:25,903.0,899.0,1-1,0-0,麒麟杯,KIR Cup,56_日本,Japan,76_叙利亚,Syrian,0.0,0.0,,两球半|2.5,输,小,平
1237375.0,648.0,2017/03/28 18:35,903.0,886.0,4-0,2-0,亚洲预选,FIFA WCQL,56_日本,Japan,129_泰国,Thailand,0.0,0.0,,两球半|2.5,赢,大,胜
1237379.0,648.0,2017/03/23 23:30,887.0,903.0,0-2,0-1,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,56_日本,Japan,0.0,0.0,,受让半球|-0.5,赢,小,胜
1237385.0,648.0,2016/11/15 18:35,903.0,891.0,2-1,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,65_沙特阿拉伯,Saudi Arabia,0.0,1.0,,一球/球半|1/1.5,输,大,胜
1327399.0,1366.0,2016/11/11 18:20,903.0,902.0,4-0,2-0,国际友谊,INT FRL,56_日本,Japan,101_阿曼,Oman,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1237392.0,648.0,2016/10/11 17:00,913.0,903.0,1-1,0-1,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,56_日本,Japan,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1237398.0,648.0,2016/10/06 18:35,903.0,874.0,2-1,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,82_伊拉克,Iraq,0.0,0.0,,球半|1.5,输,大,胜
1237405.0,648.0,2016/09/06 20:15,886.0,903.0,0-2,0-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,56_日本,Japan,1.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1237411.0,648.0,2016/09/01 18:35,903.0,887.0,1-2,1-1,亚洲预选,FIFA WCQL,56_日本,Japan,78_阿联酋,United Arab Emirates,0.0,0.0,,球半|1.5,输,大,负
