赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502171.0,1864.0,2018/11/20 03:45,753.0,640.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,58_挪威,Norway,0.0,0.0,,,,,
1502170.0,1864.0,2018/11/17 03:45,632.0,640.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,58_挪威,Norway,0.0,0.0,,,,,
1502168.0,1864.0,2018/10/17 02:45,640.0,769.0,,,欧国联,UEFA  NL,58_挪威,Norway,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1502165.0,1864.0,2018/10/13 23:59,640.0,632.0,,,欧国联,UEFA  NL,58_挪威,Norway,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502163.0,1864.0,2018/09/09 23:59,769.0,640.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,58_挪威,Norway,0.0,0.0,,,,,
1502162.0,1864.0,2018/09/07 02:45,640.0,753.0,,,欧国联,UEFA  NL,58_挪威,Norway,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1543773.0,1366.0,2018/06/07 01:00,640.0,798.0,1-0,1-0,国际友谊,INT FRL,58_挪威,Norway,53_巴拿马,Panama,0.0,0.0,,半球|0.5,赢,小,胜
1543748.0,1366.0,2018/06/03 04:00,756.0,640.0,2-3,1-1,国际友谊,INT FRL,20_冰岛,Iceland,58_挪威,Norway,0.0,0.0,,半球|0.5,赢,大,胜
1521484.0,1366.0,2018/03/27 01:00,761.0,640.0,0-1,0-0,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,58_挪威,Norway,0.0,0.0,,平手|0,赢,小,胜
1518986.0,1366.0,2018/03/24 01:00,640.0,913.0,4-1,1-1,国际友谊,INT FRL,58_挪威,Norway,36_澳大利亚,Australia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1477404.0,1366.0,2017/11/15 01:00,752.0,640.0,1-0,0-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,58_挪威,Norway,0.0,0.0,,半球|0.5,输,小,负
1476840.0,1366.0,2017/11/12 01:30,770.0,640.0,2-0,1-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,58_挪威,Norway,0.0,0.0,,平手|0,输,小,负
1198467.0,650.0,2017/10/09 02:45,640.0,759.0,1-0,0-0,欧洲预选,WCPEU,58_挪威,Norway,25_北爱尔兰,Northern Ireland,0.0,0.0,,平手|0,赢,小,胜
1198465.0,650.0,2017/10/06 02:45,907.0,640.0,0-8,0-4,欧洲预选,WCPEU,204_圣马力诺,San Marino,58_挪威,Norway,0.0,0.0,,受让三球|-3,赢,大,胜
1198463.0,650.0,2017/09/05 02:45,650.0,640.0,6-0,4-0,欧洲预选,WCPEU,1_德国,Germany,58_挪威,Norway,0.0,0.0,,两球|2,输,大,负
1198459.0,650.0,2017/09/02 02:45,640.0,758.0,2-0,1-0,欧洲预选,WCPEU,58_挪威,Norway,118_阿塞拜疆,Azerbaijan,0.0,1.0,,半球/一球|0.5/1,赢,小,胜
1392397.0,1366.0,2017/06/14 01:45,640.0,644.0,1-1,1-0,国际友谊,INT FRL,58_挪威,Norway,18_瑞典,Sweden,0.0,0.0,,平手|0,走,小,平
1198456.0,650.0,2017/06/11 02:45,640.0,747.0,1-1,0-1,欧洲预选,WCPEU,58_挪威,Norway,48_捷克,Czech,0.0,0.0,,平手|0,走,小,平
1198454.0,650.0,2017/03/27 02:45,759.0,640.0,2-0,2-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,58_挪威,Norway,0.0,0.0,,半球|0.5,输,走,负
