赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542725.0,95.0,2019/01/17 01:00,898.0,896.0,,,亚洲杯,AFC,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,,,,
1542722.0,95.0,2019/01/11 22:00,885.0,898.0,,,亚洲杯,AFC,116_吉尔吉斯斯坦,Kyrgyzstan,59_韩国,Korea Republic,0.0,0.0,,,,,
1542720.0,95.0,2019/01/07 17:00,898.0,1562.0,,,亚洲杯,AFC,59_韩国,Korea Republic,123_菲律宾,Philippines,0.0,0.0,,,,,
1482857.0,75.0,2018/06/27 22:00,898.0,650.0,,,世界杯,World Cup,59_韩国,Korea Republic,1_德国,Germany,0.0,0.0,,,,,
1482856.0,75.0,2018/06/23 23:00,898.0,819.0,1-2,0-1,世界杯,World Cup,59_韩国,Korea Republic,17_墨西哥,Mexico,0.0,0.0,,受让半球|-0.5,输,大,负
1482854.0,75.0,2018/06/18 20:00,644.0,898.0,1-0,0-0,世界杯,World Cup,18_瑞典,Sweden,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,输,小,负
1543815.0,1366.0,2018/06/11 21:30,898.0,815.0,0-2,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,24_塞内加尔,Senegal,0.0,0.0,,受让半球|-0.5,输,走,负
1543771.0,1366.0,2018/06/07 20:10,898.0,773.0,0-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,49_玻利维亚,Bolivia,0.0,0.0,,一球|1,输,小,平
1543772.0,1366.0,2018/06/01 19:00,898.0,782.0,1-3,1-2,国际友谊,INT FRL,59_韩国,Korea Republic,38_波黑,Bosnia-Herzegovina,0.0,0.0,,半球|0.5,输,大,负
1543730.0,1366.0,2018/05/28 19:00,898.0,794.0,2-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1521500.0,1366.0,2018/03/28 02:45,637.0,898.0,3-2,2-0,国际友谊,INT FRL,7_波兰,Poland,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,输,大,负
1518996.0,1366.0,2018/03/24 22:00,759.0,898.0,2-1,1-1,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,59_韩国,Korea Republic,0.0,0.0,,平手|0,输,大,负
1495980.0,1366.0,2018/02/03 22:30,631.0,898.0,0-1,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,胜
1495978.0,1366.0,2018/01/30 19:00,799.0,898.0,2-2,1-0,国际友谊,INT FRL,55_牙买加,Jamaica,59_韩国,Korea Republic,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,平
1495977.0,1366.0,2018/01/27 21:00,751.0,898.0,0-1,0-0,国际友谊,INT FRL,166_摩尔多瓦,Moldova,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,胜
1482731.0,53.0,2017/12/16 18:15,903.0,898.0,1-4,1-3,东亚杯,EASTC,56_日本,Japan,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1482728.0,53.0,2017/12/12 15:30,876.0,898.0,0-1,0-0,东亚杯,EASTC,119_朝鲜,Korea DPR,59_韩国,Korea Republic,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1481972.0,53.0,2017/12/09 15:30,898.0,896.0,2-2,2-1,东亚杯,EASTC,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,半球|0.5,输,大,平
1477402.0,1366.0,2017/11/14 19:00,898.0,642.0,1-1,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,37_塞尔维亚,Serbia,0.0,0.0,,平手|0,走,小,平
1477013.0,1366.0,2017/11/10 19:00,898.0,775.0,2-1,1-0,国际友谊,INT FRL,59_韩国,Korea Republic,13_哥伦比亚,Colombia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1468704.0,1366.0,2017/10/10 21:30,898.0,813.0,1-3,0-2,国际友谊,INT FRL,59_韩国,Korea Republic,39_摩洛哥,Morocco,0.0,0.0,,平手/半球|0/0.5,输,大,负
1468499.0,1366.0,2017/10/07 22:00,746.0,898.0,4-2,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,输,大,负
1237354.0,648.0,2017/09/05 23:00,875.0,898.0,0-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,59_韩国,Korea Republic,0.0,0.0,,平手|0,走,小,平
1237364.0,648.0,2017/08/31 20:00,898.0,783.0,0-0,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,34_伊朗,Iran,0.0,1.0,,半球|0.5,输,小,平
1237366.0,648.0,2017/06/14 03:00,904.0,898.0,3-2,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,59_韩国,Korea Republic,0.0,0.0,,受让半球|-0.5,输,大,负
1391069.0,1366.0,2017/06/08 01:00,874.0,898.0,0-0,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,59_韩国,Korea Republic,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1237376.0,648.0,2017/03/28 19:00,898.0,899.0,1-0,1-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,76_叙利亚,Syrian,0.0,0.0,,球半|1.5,输,小,胜
1237382.0,648.0,2017/03/23 19:35,896.0,898.0,1-0,1-0,亚洲预选,FIFA WCQL,70_中国,China,59_韩国,Korea Republic,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1237387.0,648.0,2016/11/15 19:00,898.0,875.0,2-1,0-1,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,77_乌兹别克,Uzbekistan,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1327398.0,1366.0,2016/11/11 19:00,898.0,795.0,2-0,2-0,国际友谊,INT FRL,59_韩国,Korea Republic,95_加拿大,Canada,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1237390.0,648.0,2016/10/11 22:45,783.0,898.0,1-0,1-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,59_韩国,Korea Republic,0.0,0.0,,平手|0,输,小,负
1237399.0,648.0,2016/10/06 19:00,898.0,904.0,3-2,1-2,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,103_卡塔尔,Qatar,1.0,0.0,,球半|1.5,输,大,胜
1237401.0,648.0,2016/09/06 20:00,899.0,898.0,0-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,59_韩国,Korea Republic,0.0,0.0,,受让球半|-1.5,输,小,平
1237412.0,648.0,2016/09/01 19:00,898.0,896.0,3-2,1-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,一球|1,走,大,胜
1244106.0,1366.0,2016/06/05 21:10,747.0,898.0,1-2,0-2,国际友谊,INT FRL,48_捷克,Czech,59_韩国,Korea Republic,1.0,0.0,,半球|0.5,赢,大,胜
1243481.0,1366.0,2016/06/01 22:30,772.0,898.0,6-1,3-0,国际友谊,INT FRL,6_西班牙,Spain,59_韩国,Korea Republic,0.0,0.0,,球半|1.5,输,大,负
1124730.0,648.0,2016/03/29 22:00,898.0,895.0,3-0,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,174_科威特,Kuwait,0.0,0.0,,,,,胜
1229366.0,1366.0,2016/03/27 20:30,886.0,898.0,0-1,0-1,国际友谊,INT FRL,129_泰国,Thailand,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,胜
1124732.0,648.0,2016/03/24 19:00,898.0,897.0,1-0,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,84_黎巴嫩,Lebanon,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
1124733.0,648.0,2015/11/17 20:00,880.0,898.0,0-5,0-4,亚洲预选,FIFA WCQL,183_老挝,Laos,59_韩国,Korea Republic,0.0,0.0,,受让四球半|-4.5,赢,小,胜
1124735.0,648.0,2015/11/12 19:00,898.0,1563.0,4-0,2-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,140_缅甸联邦,Myanmar,0.0,0.0,,四球半/五球|4.5/5,输,小,胜
1192298.0,1366.0,2015/10/13 19:00,898.0,799.0,3-0,1-0,国际友谊,INT FRL,59_韩国,Korea Republic,55_牙买加,Jamaica,0.0,0.0,,一球|1,赢,大,胜
1124739.0,648.0,2015/10/08 22:55,895.0,898.0,0-1,0-1,亚洲预选,FIFA WCQL,174_科威特,Kuwait,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,胜
1124742.0,648.0,2015/09/08 22:00,897.0,898.0,0-3,0-2,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,59_韩国,Korea Republic,0.0,0.0,,受让球半|-1.5,赢,大,胜
1124744.0,648.0,2015/09/03 19:00,898.0,880.0,8-0,3-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,183_老挝,Laos,0.0,0.0,,四球半|4.5,赢,大,胜
1158306.0,53.0,2015/08/09 17:10,898.0,876.0,0-0,0-0,东亚杯,EASTC,59_韩国,Korea Republic,119_朝鲜,Korea DPR,0.0,0.0,,半球/一球|0.5/1,输,小,平
1158308.0,53.0,2015/08/05 18:20,903.0,898.0,1-1,1-1,东亚杯,EASTC,56_日本,Japan,59_韩国,Korea Republic,0.0,0.0,,平手|0,走,小,平
1158309.0,53.0,2015/08/02 21:00,896.0,898.0,0-2,0-1,东亚杯,EASTC,70_中国,China,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1124745.0,648.0,2015/06/16 20:00,1563.0,898.0,0-2,0-1,亚洲预选,FIFA WCQL,140_缅甸联邦,Myanmar,59_韩国,Korea Republic,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
1129057.0,1366.0,2015/06/11 17:20,898.0,887.0,3-0,1-0,国际友谊,INT FRL,59_韩国,Korea Republic,78_阿联酋,United Arab Emirates,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1109701.0,1366.0,2015/03/31 19:00,898.0,2363.0,1-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,120_新西兰,New Zealand,0.0,0.0,,球半|1.5,输,小,胜
1109372.0,1366.0,2015/03/27 19:00,898.0,875.0,1-1,1-1,国际友谊,INT FRL,59_韩国,Korea Republic,77_乌兹别克,Uzbekistan,0.0,0.0,,一球|1,输,小,平
1084824.0,95.0,2015/01/31 17:00,913.0,898.0,1-1,1-0,亚洲杯,AFC,36_澳大利亚,Australia,59_韩国,Korea Republic,0.0,0.0,"90,1-1;;1,2-1;;1",平手/半球|0/0.5,赢,走,平
1083531.0,95.0,2015/01/26 17:00,898.0,874.0,2-0,1-0,亚洲杯,AFC,59_韩国,Korea Republic,82_伊拉克,Iraq,0.0,0.0,,半球/一球|0.5/1,赢,走,胜
1081942.0,95.0,2015/01/22 15:30,898.0,875.0,0-0,0-0,亚洲杯,AFC,59_韩国,Korea Republic,77_乌兹别克,Uzbekistan,0.0,0.0,"90,0-0;;1,2-0;;1",半球|0.5,输,小,平
978735.0,95.0,2015/01/17 17:00,913.0,898.0,0-1,0-1,亚洲杯,AFC,36_澳大利亚,Australia,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,赢,小,胜
978732.0,95.0,2015/01/13 15:00,895.0,898.0,0-1,0-1,亚洲杯,AFC,174_科威特,Kuwait,59_韩国,Korea Republic,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
978731.0,95.0,2015/01/10 13:00,898.0,902.0,1-0,1-0,亚洲杯,AFC,59_韩国,Korea Republic,101_阿曼,Oman,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1078307.0,1366.0,2015/01/04 17:00,891.0,898.0,0-2,0-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,59_韩国,Korea Republic,0.0,0.0,,受让半球|-0.5,赢,小,胜
1069734.0,1366.0,2014/11/18 20:55,783.0,898.0,1-0,0-0,国际友谊,INT FRL,34_伊朗,Iran,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,输,小,负
1068353.0,1366.0,2014/11/14 22:30,881.0,898.0,0-1,0-1,国际友谊,INT FRL,113_约旦,Jordan,59_韩国,Korea Republic,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1064535.0,1366.0,2014/10/14 19:00,898.0,914.0,1-3,1-1,国际友谊,INT FRL,59_韩国,Korea Republic,27_哥斯达黎加,Costa Rica,0.0,0.0,,平手/半球|0/0.5,输,大,负
1062986.0,1366.0,2014/10/10 19:00,898.0,776.0,2-0,2-0,国际友谊,INT FRL,59_韩国,Korea Republic,31_巴拉圭,Paraguay,0.0,0.0,,半球|0.5,赢,小,胜
1053241.0,1366.0,2014/09/08 19:00,898.0,767.0,0-1,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,22_乌拉圭,Uruguay,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1051067.0,1366.0,2014/09/05 19:00,898.0,777.0,3-1,1-1,国际友谊,INT FRL,59_韩国,Korea Republic,52_委内瑞拉,Venezuela,0.0,0.0,,半球|0.5,赢,大,胜
940573.0,75.0,2014/06/27 04:00,898.0,645.0,0-1,0-0,世界杯,World Cup,59_韩国,Korea Republic,5_比利时,Belgium,0.0,1.0,,受让半球/一球|-0.5/-1,输,小,负
940572.0,75.0,2014/06/23 03:00,898.0,18406.0,2-4,0-3,世界杯,World Cup,59_韩国,Korea Republic,57_阿尔及利亚,Algeria,0.0,0.0,,平手/半球|0/0.5,输,大,负
940570.0,75.0,2014/06/18 06:00,746.0,898.0,1-1,0-0,世界杯,World Cup,62_俄罗斯,Russia,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,赢,走,平
985127.0,1366.0,2014/06/10 07:00,898.0,810.0,0-4,0-2,国际友谊,INT FRL,59_韩国,Korea Republic,50_加纳,Ghana,0.0,0.0,,平手|0,输,大,负
983701.0,1366.0,2014/05/28 19:00,898.0,823.0,0-1,0-1,国际友谊,INT FRL,59_韩国,Korea Republic,23_突尼斯,Tunisia,0.0,0.0,,半球|0.5,输,小,负
959555.0,1366.0,2014/03/06 01:00,757.0,898.0,0-2,0-1,国际友谊,INT FRL,47_希腊,Greece,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
951555.0,1366.0,2014/02/02 06:00,797.0,898.0,2-0,1-0,国际友谊,INT FRL,25_美国,USA,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,输,小,负
950565.0,1366.0,2014/01/30 10:10,819.0,898.0,4-0,2-0,国际友谊,INT FRL,17_墨西哥,Mexico,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,输,大,负
948233.0,1366.0,2014/01/26 09:00,914.0,898.0,0-1,0-1,国际友谊,INT FRL,27_哥斯达黎加,Costa Rica,59_韩国,Korea Republic,2.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
936614.0,41.0,2013/11/19 22:00,746.0,898.0,2-1,1-1,球会友谊,INT CF,62_俄罗斯,Russia,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,输,大,负
936514.0,41.0,2013/11/15 19:00,898.0,648.0,2-1,0-1,球会友谊,INT CF,59_韩国,Korea Republic,8_瑞士,Switzerland,0.0,0.0,,平手|0,赢,大,胜
930983.0,41.0,2013/10/15 19:00,898.0,817.0,3-1,1-1,球会友谊,INT CF,59_韩国,Korea Republic,71_马里,Mali,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
930688.0,41.0,2013/10/12 19:00,898.0,778.0,0-2,0-1,球会友谊,INT CF,59_韩国,Korea Republic,2_巴西,Brazil,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
918505.0,41.0,2013/09/10 19:00,898.0,768.0,1-2,0-0,球会友谊,INT CF,59_韩国,Korea Republic,15_克罗地亚,Croatia,0.0,0.0,,半球|0.5,输,大,负
918502.0,41.0,2013/09/06 19:00,898.0,909.0,4-1,1-1,球会友谊,INT CF,59_韩国,Korea Republic,87_海地,Haiti,0.0,1.0,,球半|1.5,赢,大,胜
899721.0,41.0,2013/08/14 19:00,898.0,774.0,0-0,0-0,球会友谊,INT CF,59_韩国,Korea Republic,11_秘鲁,Peru,0.0,0.0,,半球|0.5,输,小,平
877122.0,53.0,2013/07/28 19:00,898.0,903.0,1-2,1-1,东亚杯,EASTC,59_韩国,Korea Republic,56_日本,Japan,0.0,0.0,,平手/半球|0/0.5,输,大,负
877119.0,53.0,2013/07/24 19:00,898.0,896.0,0-0,0-0,东亚杯,EASTC,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,半球/一球|0.5/1,输,小,平
877117.0,53.0,2013/07/20 18:00,898.0,913.0,0-0,0-0,东亚杯,EASTC,59_韩国,Korea Republic,36_澳大利亚,Australia,0.0,0.0,,半球|0.5,输,小,平
706879.0,648.0,2013/06/18 20:00,898.0,783.0,0-1,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,34_伊朗,Iran,0.0,0.0,,平手|0,输,小,负
706878.0,648.0,2013/06/11 19:00,898.0,875.0,1-0,1-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,77_乌兹别克,Uzbekistan,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
706876.0,648.0,2013/06/05 01:30,897.0,898.0,1-1,1-0,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,59_韩国,Korea Republic,1.0,0.0,,受让球半|-1.5,输,小,平
706874.0,648.0,2013/03/26 19:00,898.0,904.0,2-1,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,103_卡塔尔,Qatar,0.0,0.0,,,,大,胜
813439.0,41.0,2013/02/06 22:00,768.0,898.0,4-0,2-0,球会友谊,INT CF,15_克罗地亚,Croatia,59_韩国,Korea Republic,0.0,0.0,,,,大,负
798599.0,41.0,2012/11/14 18:00,898.0,913.0,1-2,1-1,球会友谊,INT CF,59_韩国,Korea Republic,36_澳大利亚,Australia,0.0,0.0,,,,大,负
706870.0,648.0,2012/10/17 00:30,783.0,898.0,1-0,0-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,59_韩国,Korea Republic,1.0,0.0,,,,小,负
706868.0,648.0,2012/09/11 21:00,875.0,898.0,2-2,1-1,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,59_韩国,Korea Republic,0.0,0.0,,,,大,平
