赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502106.0,1864.0,2018/11/19 03:45,648.0,645.0,,,欧国联,UEFA  NL,8_瑞士,Switzerland,5_比利时,Belgium,0.0,0.0,,,,,
1502105.0,1864.0,2018/11/16 03:45,645.0,756.0,,,欧国联,UEFA  NL,5_比利时,Belgium,20_冰岛,Iceland,0.0,0.0,,,,,
1502103.0,1864.0,2018/10/13 02:45,645.0,648.0,,,欧国联,UEFA  NL,5_比利时,Belgium,8_瑞士,Switzerland,0.0,0.0,,,,,
1502102.0,1864.0,2018/09/12 02:45,756.0,645.0,,,欧国联,UEFA  NL,20_冰岛,Iceland,5_比利时,Belgium,0.0,0.0,,,,,
1482863.0,75.0,2018/06/29 02:00,744.0,645.0,,,世界杯,World Cup,16_英格兰,England,5_比利时,Belgium,0.0,0.0,,,,,
1482861.0,75.0,2018/06/23 20:00,645.0,823.0,5-2,3-1,世界杯,World Cup,5_比利时,Belgium,23_突尼斯,Tunisia,0.0,0.0,,球半|1.5,赢,大,胜
1482859.0,75.0,2018/06/18 23:00,645.0,798.0,3-0,0-0,世界杯,World Cup,5_比利时,Belgium,53_巴拿马,Panama,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1543816.0,1366.0,2018/06/12 02:45,645.0,914.0,4-1,2-1,国际友谊,INT FRL,5_比利时,Belgium,27_哥斯达黎加,Costa Rica,0.0,0.0,,两球|2,赢,大,胜
1543745.0,1366.0,2018/06/07 02:45,645.0,735.0,3-0,2-0,国际友谊,INT FRL,5_比利时,Belgium,30_埃及,Egypt,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1543746.0,1366.0,2018/06/03 02:45,645.0,765.0,0-0,0-0,国际友谊,INT FRL,5_比利时,Belgium,3_葡萄牙,Portugal,0.0,0.0,,半球|0.5,输,小,平
1521499.0,1366.0,2018/03/28 02:45,645.0,891.0,4-0,2-0,国际友谊,INT FRL,5_比利时,Belgium,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,两球|2,赢,大,胜
1477415.0,1366.0,2017/11/15 03:45,645.0,903.0,1-0,0-0,国际友谊,INT FRL,5_比利时,Belgium,56_日本,Japan,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1476825.0,1366.0,2017/11/11 03:45,645.0,819.0,3-3,1-1,国际友谊,INT FRL,5_比利时,Belgium,17_墨西哥,Mexico,0.0,0.0,,一球|1,输,大,平
1198609.0,650.0,2017/10/11 02:45,645.0,753.0,4-0,1-0,欧洲预选,WCPEU,5_比利时,Belgium,92_塞浦路斯,Cyprus,0.0,0.0,,两球半|2.5,赢,大,胜
1198606.0,650.0,2017/10/07 23:59,782.0,645.0,3-4,2-1,欧洲预选,WCPEU,38_波黑,Bosnia-Herzegovina,5_比利时,Belgium,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1198605.0,650.0,2017/09/04 02:45,757.0,645.0,1-2,0-0,欧洲预选,WCPEU,47_希腊,Greece,5_比利时,Belgium,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1311352.0,650.0,2017/09/01 02:45,645.0,5877.0,9-0,6-0,欧洲预选,WCPEU,5_比利时,Belgium,220_弱鸡,Gibraltar,1.0,1.0,,6.5球|6.5,赢,大,胜
1198600.0,650.0,2017/06/10 02:45,636.0,645.0,0-2,0-1,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,5_比利时,Belgium,1.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
1390584.0,1366.0,2017/06/06 02:45,645.0,747.0,2-1,1-1,国际友谊,INT FRL,5_比利时,Belgium,48_捷克,Czech,0.0,0.0,,一球|1,走,大,胜
1371833.0,1366.0,2017/03/28 23:59,746.0,645.0,3-3,1-3,国际友谊,INT FRL,62_俄罗斯,Russia,5_比利时,Belgium,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,平
1198599.0,650.0,2017/03/26 03:45,645.0,757.0,1-1,0-0,欧洲预选,WCPEU,5_比利时,Belgium,47_希腊,Greece,0.0,2.0,,一球/球半|1/1.5,输,小,平
1198596.0,650.0,2016/11/14 03:45,645.0,636.0,8-1,3-1,欧洲预选,WCPEU,5_比利时,Belgium,88_爱沙尼亚,Estonia,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1327395.0,1366.0,2016/11/10 03:45,646.0,645.0,1-1,1-0,国际友谊,INT FRL,21_荷兰,Netherlands,5_比利时,Belgium,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
