赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502147.0,1864.0,2018/11/18 03:45,761.0,641.0,,,欧国联,UEFA  NL,60_阿尔巴尼亚,Albania,32_苏格兰,Scotland,0.0,0.0,,,,,
1502146.0,1864.0,2018/10/15 02:45,760.0,761.0,,,欧国联,UEFA  NL,99_以色列,Israel,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1502144.0,1864.0,2018/09/11 02:45,641.0,761.0,,,欧国联,UEFA  NL,32_苏格兰,Scotland,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1502143.0,1864.0,2018/09/08 02:45,761.0,760.0,,,欧国联,UEFA  NL,60_阿尔巴尼亚,Albania,99_以色列,Israel,0.0,0.0,,,,,
1547464.0,1366.0,2018/06/13 23:59,634.0,761.0,推迟,,国际友谊,INT FRL,35_乌克兰,Ukraine,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1543810.0,1366.0,2018/06/03 22:00,761.0,634.0,1-4,0-3,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,35_乌克兰,Ukraine,0.0,0.0,,受让半球|-0.5,输,大,负
1545725.0,1366.0,2018/05/30 02:00,761.0,5764.0,0-3,0-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,178_科索沃,Kosovo,0.0,0.0,,半球|0.5,输,大,负
1521484.0,1366.0,2018/03/27 01:00,761.0,640.0,0-1,0-0,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,58_挪威,Norway,0.0,0.0,,平手|0,输,小,负
1477399.0,1366.0,2017/11/14 01:30,762.0,761.0,2-3,0-2,国际友谊,INT FRL,41_土耳其,Turkey,60_阿尔巴尼亚,Albania,0.0,1.0,,一球|1,赢,大,胜
1198589.0,650.0,2017/10/10 02:45,761.0,771.0,0-1,0-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,14_意大利,Italy,0.0,0.0,,受让一球|-1,走,小,负
1198586.0,650.0,2017/10/07 02:45,772.0,761.0,3-0,3-0,欧洲预选,WCPEU,6_西班牙,Spain,60_阿尔巴尼亚,Albania,0.0,0.0,,两球半/三球|2.5/3,输,小,负
1198583.0,650.0,2017/09/06 02:45,770.0,761.0,1-1,0-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,60_阿尔巴尼亚,Albania,0.0,0.0,,平手|0,走,走,平
1198578.0,650.0,2017/09/02 23:59,761.0,764.0,2-0,0-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
1198577.0,650.0,2017/06/12 02:45,760.0,761.0,0-3,0-2,欧洲预选,WCPEU,99_以色列,Israel,60_阿尔巴尼亚,Albania,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1391052.0,1366.0,2017/06/05 01:00,749.0,761.0,2-1,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,60_阿尔巴尼亚,Albania,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1372102.0,1366.0,2017/03/28 23:59,761.0,782.0,1-2,0-2,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,38_波黑,Bosnia-Herzegovina,0.0,0.0,,平手|0,输,大,负
1198574.0,650.0,2017/03/25 03:45,771.0,761.0,2-0,1-0,欧洲预选,WCPEU,14_意大利,Italy,60_阿尔巴尼亚,Albania,0.0,0.0,,球半/两球|1.5/2,输,小,负
1198569.0,650.0,2016/11/13 03:45,761.0,760.0,0-3,0-1,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,99_以色列,Israel,2.0,0.0,,平手/半球|0/0.5,输,大,负
1198567.0,650.0,2016/10/10 02:45,761.0,772.0,0-2,0-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,6_西班牙,Spain,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,负
1198565.0,650.0,2016/10/07 02:45,764.0,761.0,0-2,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,60_阿尔巴尼亚,Albania,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1198561.0,650.0,2016/09/06 20:00,761.0,770.0,2-1,1-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,赢,大,胜
1306156.0,1366.0,2016/09/01 02:40,761.0,813.0,0-0,0-0,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,39_摩洛哥,Morocco,0.0,0.0,,平手|0,走,小,平
1201887.0,67.0,2016/06/20 03:00,635.0,761.0,0-1,0-1,欧洲杯,EURO  Cup,40_罗马尼亚,Romania,60_阿尔巴尼亚,Albania,0.0,0.0,,半球|0.5,赢,小,胜
1201888.0,67.0,2016/06/16 03:00,649.0,761.0,2-0,0-0,欧洲杯,EURO  Cup,9_法国,France,60_阿尔巴尼亚,Albania,0.0,0.0,,球半/两球|1.5/2,输,小,负
1201867.0,67.0,2016/06/11 21:00,648.0,761.0,1-0,1-0,欧洲杯,EURO  Cup,8_瑞士,Switzerland,60_阿尔巴尼亚,Albania,0.0,1.0,,半球/一球|0.5/1,输,小,负
1244096.0,1366.0,2016/06/04 02:30,761.0,634.0,1-3,1-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,35_乌克兰,Ukraine,0.0,0.0,,受让半球|-0.5,输,大,负
1243455.0,1366.0,2016/05/29 23:30,761.0,904.0,3-1,2-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,103_卡塔尔,Qatar,0.0,0.0,,半球|0.5,赢,大,胜
1229354.0,1366.0,2016/03/30 02:15,749.0,761.0,0-2,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,60_阿尔巴尼亚,Albania,1.0,0.0,,受让一球|-1,赢,小,胜
1228658.0,1366.0,2016/03/27 00:30,647.0,761.0,2-1,2-0,国际友谊,INT FRL,29_奥地利,Austria,60_阿尔巴尼亚,Albania,0.0,1.0,,一球/球半|1/1.5,赢,大,负
1197966.0,1366.0,2015/11/17 03:00,761.0,901.0,2-2,0-1,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,104_格鲁吉亚,Georgia,0.0,0.0,,半球/一球|0.5/1,输,大,平
1197792.0,41.0,2015/11/13 21:10,5764.0,761.0,2-2,0-0,球会友谊,INT CF,178_科索沃,Kosovo,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,平
975188.0,67.0,2015/10/11 23:59,748.0,761.0,0-3,0-2,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,60_阿尔巴尼亚,Albania,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
975191.0,67.0,2015/10/09 02:45,761.0,642.0,0-2,0-0,欧洲杯,EURO  Cup,60_阿尔巴尼亚,Albania,37_塞尔维亚,Serbia,0.0,0.0,,平手/半球|0/0.5,输,走,负
975192.0,67.0,2015/09/08 02:45,761.0,765.0,0-1,0-0,欧洲杯,EURO  Cup,60_阿尔巴尼亚,Albania,3_葡萄牙,Portugal,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
975195.0,67.0,2015/09/05 02:45,638.0,761.0,0-0,0-0,欧洲杯,EURO  Cup,12_丹麦,Denmark,60_阿尔巴尼亚,Albania,0.0,0.0,,一球|1,赢,小,平
1154045.0,41.0,2015/07/23 00:30,14503.0,761.0,1-1,0-1,球会友谊,INT CF,220_弱鸡,Favoritner AC,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,平
1129055.0,1366.0,2015/06/13 23:59,761.0,649.0,1-0,1-0,国际友谊,INT FRL,60_阿尔巴尼亚,Albania,9_法国,France,0.0,0.0,,受让一球|-1,赢,小,胜
975199.0,67.0,2015/03/29 23:59,761.0,748.0,2-1,0-1,欧洲杯,EURO  Cup,60_阿尔巴尼亚,Albania,90_阿美尼亚,Armenia,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1069735.0,1366.0,2014/11/19 03:45,771.0,761.0,1-0,0-0,国际友谊,INT FRL,14_意大利,Italy,60_阿尔巴尼亚,Albania,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1068350.0,1366.0,2014/11/15 03:45,649.0,761.0,1-1,0-1,国际友谊,INT FRL,9_法国,France,60_阿尔巴尼亚,Albania,0.0,0.0,,球半/两球|1.5/2,赢,小,平
975202.0,67.0,2014/10/15 02:45,642.0,761.0,0-3,0-0,欧洲杯,EURO  Cup,37_塞尔维亚,Serbia,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,胜
975204.0,67.0,2014/10/12 02:45,761.0,638.0,1-1,1-0,欧洲杯,EURO  Cup,60_阿尔巴尼亚,Albania,12_丹麦,Denmark,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
975206.0,67.0,2014/09/08 02:45,765.0,761.0,0-1,0-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,60_阿尔巴尼亚,Albania,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
