赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393609.0,93.0,2018/11/13 23:00,809.0,922.0,,,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,116_卢旺达,Rwanda,0.0,0.0,,,,,
1393606.0,93.0,2018/10/16 23:00,812.0,809.0,,,非洲杯,CAF NC,66_几内亚,Guinea,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393604.0,93.0,2018/09/11 23:00,8025.0,809.0,,,非洲杯,CAF NC,121_中非共和国,Central African Republic,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393601.0,93.0,2018/09/07 23:00,922.0,809.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393602.0,93.0,2018/09/03 23:00,809.0,8025.0,,,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1522284.0,1366.0,2018/03/28 02:00,809.0,751.0,2-1,2-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,166_摩尔多瓦,Moldova,0.0,0.0,,球半/两球|1.5/2,输,走,胜
1521476.0,1366.0,2018/03/25 02:00,816.0,809.0,2-2,1-2,国际友谊,INT FRL,127_多哥,Togo,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,平
1490665.0,1052.0,2018/01/23 03:00,802.0,809.0,0-0,0-0,非国锦标,CAF SC,73_乌干达,Uganda,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手|0,走,小,平
1490663.0,1052.0,2018/01/19 00:30,809.0,807.0,0-2,0-1,非国锦标,CAF SC,61_科特迪瓦,Cote D Ivoire,72_赞比亚,Zambia,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,负
1490661.0,1052.0,2018/01/15 00:30,809.0,4494.0,0-1,0-0,非国锦标,CAF SC,61_科特迪瓦,Cote D Ivoire,111_纳米比亚,Namibia,0.0,0.0,,半球|0.5,输,小,负
1327121.0,651.0,2017/11/12 01:30,809.0,813.0,0-2,0-2,非洲预选,WCPAF,61_科特迪瓦,Cote D Ivoire,39_摩洛哥,Morocco,0.0,0.0,,平手/半球|0/0.5,输,走,负
1327118.0,651.0,2017/10/07 03:00,817.0,809.0,0-0,0-0,非洲预选,WCPAF,71_马里,Mali,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1464548.0,1023.0,2017/09/20 02:00,815.0,809.0,0-0,0-0,西非杯,WAFU,24_塞内加尔,Senegal,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,平
1463072.0,1023.0,2017/09/17 23:00,5302.0,809.0,0-0,0-0,西非杯,WAFU,106_尼日尔,Niger,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,平
1462971.0,1023.0,2017/09/16 02:00,809.0,808.0,0-1,0-1,西非杯,WAFU,61_科特迪瓦,Cote D Ivoire,81_贝宁,Benin,0.0,0.0,,,,,负
1461254.0,1023.0,2017/09/12 23:00,809.0,816.0,0-0,0-0,西非杯,WAFU,61_科特迪瓦,Cote D Ivoire,127_多哥,Togo,0.0,0.0,"90,0-0;;;4-3;1",,,,平
1456915.0,651.0,2017/09/06 01:30,809.0,788.0,1-2,0-2,非洲预选,WCPAF,61_科特迪瓦,Cote D Ivoire,93_加蓬,Gabon,0.0,1.0,,一球/球半|1/1.5,输,大,负
1327114.0,651.0,2017/09/02 23:59,788.0,809.0,0-3,0-0,非洲预选,WCPAF,93_加蓬,Gabon,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手|0,赢,大,胜
1445281.0,1052.0,2017/08/19 23:59,809.0,5302.0,1-0,0-0,非国锦标,CAF SC,61_科特迪瓦,Cote D Ivoire,106_尼日尔,Niger,0.0,0.0,,,,,胜
1425273.0,1052.0,2017/08/13 23:59,5302.0,809.0,2-1,1-1,非国锦标,CAF SC,106_尼日尔,Niger,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,负
1392567.0,93.0,2017/06/11 02:00,809.0,812.0,2-3,1-1,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,66_几内亚,Guinea,0.0,0.0,,一球|1,输,大,负
1391050.0,1366.0,2017/06/05 01:30,646.0,809.0,5-0,3-0,国际友谊,INT FRL,21_荷兰,Netherlands,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,半球|0.5,输,大,负
1391620.0,1366.0,2017/06/01 02:30,809.0,808.0,1-1,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,81_贝宁,Benin,0.0,0.0,,一球/球半|1/1.5,输,小,平
1372187.0,1366.0,2017/03/28 02:05,809.0,815.0,1-1,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,24_塞内加尔,Senegal,0.0,0.0,,平手|0,走,走,平
1370940.0,1366.0,2017/03/24 23:59,746.0,809.0,0-2,0-1,国际友谊,INT FRL,62_俄罗斯,Russia,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,半球|0.5,赢,小,胜
1337477.0,93.0,2017/01/25 03:00,813.0,809.0,1-0,0-0,非洲杯,CAF NC,39_摩洛哥,Morocco,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球|-0.5,输,小,负
1337480.0,93.0,2017/01/20 23:59,809.0,811.0,2-2,1-2,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,半球|0.5,输,大,平
1337482.0,93.0,2017/01/16 23:59,809.0,816.0,0-0,0-0,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,127_多哥,Togo,0.0,0.0,,一球/球半|1/1.5,输,小,平
1339029.0,1366.0,2017/01/11 21:00,809.0,802.0,3-0,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,73_乌干达,Uganda,0.0,0.0,,一球|1,赢,大,胜
1339031.0,1366.0,2017/01/08 20:45,644.0,809.0,1-2,1-1,国际友谊,INT FRL,18_瑞典,Sweden,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1336235.0,1366.0,2016/12/27 02:00,809.0,14862.0,0-0,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,106_津巴布韦,Zimbabwe,0.0,0.0,,一球|1,输,小,平
1333071.0,1366.0,2016/11/30 23:00,809.0,817.0,0-1,0-1,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,71_马里,Mali,0.0,0.0,,平手/半球|0/0.5,输,小,负
1332643.0,1366.0,2016/11/29 01:30,816.0,809.0,0-1,0-0,国际友谊,INT FRL,127_多哥,Togo,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球|-0.5,赢,小,胜
1332416.0,1366.0,2016/11/27 01:00,809.0,5302.0,0-0,0-0,国际友谊,INT FRL,61_科特迪瓦,Cote D Ivoire,106_尼日尔,Niger,0.0,0.0,,一球|1,输,小,平
1328251.0,1366.0,2016/11/16 04:00,649.0,809.0,0-0,0-0,国际友谊,INT FRL,9_法国,France,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,球半|1.5,赢,小,平
1327113.0,651.0,2016/11/13 04:00,813.0,809.0,0-0,0-0,非洲预选,WCPAF,39_摩洛哥,Morocco,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1318806.0,651.0,2016/10/09 02:00,809.0,817.0,3-1,3-1,非洲预选,WCPAF,61_科特迪瓦,Cote D Ivoire,71_马里,Mali,0.0,0.0,,一球|1,赢,大,胜
1129683.0,93.0,2016/09/04 02:00,809.0,5290.0,1-1,1-0,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,98_塞拉利昂,Sierra Leone,0.0,0.0,,两球/两球半|2/2.5,输,小,平
1244107.0,93.0,2016/06/05 01:30,809.0,788.0,2-1,0-0,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,93_加蓬,Gabon,0.0,0.0,,一球|1,走,大,胜
1242616.0,1366.0,2016/05/20 23:59,745.0,809.0,0-0,0-0,国际友谊,INT FRL,54_匈牙利,Hungary,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手|0,走,小,平
1129681.0,93.0,2016/03/30 02:00,792.0,809.0,1-1,1-1,非洲杯,CAF NC,124_苏丹,Sudan,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让一球|-1,输,小,平
1129680.0,93.0,2016/03/26 00:30,809.0,792.0,1-0,1-0,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,124_苏丹,Sudan,0.0,0.0,,两球|2,输,小,胜
1215019.0,1052.0,2016/02/07 21:00,812.0,809.0,1-2,0-2,非国锦标,CAF SC,66_几内亚,Guinea,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球|-0.5,赢,大,胜
1212088.0,1052.0,2016/02/04 22:00,817.0,809.0,1-0,0-0,非国锦标,CAF SC,71_马里,Mali,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,平手|0,输,小,负
1209617.0,1052.0,2016/01/30 23:59,793.0,809.0,0-0,0-0,非国锦标,CAF SC,45_喀麦隆,Cameroon,61_科特迪瓦,Cote D Ivoire,0.0,0.0,"90,0-0;;1,0-3;;2",平手|0,走,小,平
