赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502130.0,1864.0,2018/11/21 03:45,644.0,746.0,,,欧国联,UEFA  NL,18_瑞典,Sweden,62_俄罗斯,Russia,0.0,0.0,,,,,
1502128.0,1864.0,2018/10/15 23:59,746.0,762.0,,,欧国联,UEFA  NL,62_俄罗斯,Russia,41_土耳其,Turkey,0.0,0.0,,,,,
1502127.0,1864.0,2018/10/12 02:45,746.0,644.0,,,欧国联,UEFA  NL,62_俄罗斯,Russia,18_瑞典,Sweden,0.0,0.0,,,,,
1502125.0,1864.0,2018/09/08 02:45,762.0,746.0,,,欧国联,UEFA  NL,41_土耳其,Turkey,62_俄罗斯,Russia,0.0,0.0,,,,,
1483048.0,75.0,2018/07/01 22:00,746.0,772.0,,,世界杯,World Cup,62_俄罗斯,Russia,6_西班牙,Spain,0.0,0.0,,,,,
1483061.0,75.0,2018/06/25 22:00,746.0,767.0,0-3,0-2,世界杯,World Cup,62_俄罗斯,Russia,22_乌拉圭,Uruguay,1.0,0.0,,平手|0,输,大,负
1482825.0,75.0,2018/06/20 02:00,746.0,735.0,3-1,0-0,世界杯,World Cup,62_俄罗斯,Russia,30_埃及,Egypt,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1482823.0,75.0,2018/06/14 23:00,746.0,891.0,5-0,2-0,世界杯,World Cup,62_俄罗斯,Russia,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1543750.0,1366.0,2018/06/05 23:59,746.0,762.0,1-1,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,41_土耳其,Turkey,0.0,0.0,,半球|0.5,输,小,平
1543738.0,1366.0,2018/05/31 02:45,647.0,746.0,1-0,1-0,国际友谊,INT FRL,29_奥地利,Austria,62_俄罗斯,Russia,0.0,0.0,,平手|0,输,小,负
1521489.0,1366.0,2018/03/27 23:50,746.0,649.0,1-3,0-1,国际友谊,INT FRL,62_俄罗斯,Russia,9_法国,France,0.0,0.0,,受让一球|-1,输,大,负
1520453.0,1366.0,2018/03/23 23:59,746.0,778.0,0-3,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,2_巴西,Brazil,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1477409.0,1366.0,2017/11/15 02:45,746.0,772.0,3-3,1-2,国际友谊,INT FRL,62_俄罗斯,Russia,6_西班牙,Spain,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,平
1476841.0,1366.0,2017/11/11 21:00,746.0,766.0,0-1,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,4_阿根廷,Argentina,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1468705.0,1366.0,2017/10/10 23:59,746.0,783.0,1-1,0-0,国际友谊,INT FRL,62_俄罗斯,Russia,34_伊朗,Iran,0.0,0.0,,半球|0.5,输,小,平
1468499.0,1366.0,2017/10/07 22:00,746.0,898.0,4-2,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,赢,大,胜
