赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393657.0,93.0,2018/11/13 23:00,790.0,5296.0,,,非洲杯,CAF NC,63_佛得角,Cape Verde,145_莱索托,Lesotho,0.0,0.0,,,,,
1393654.0,93.0,2018/10/16 23:00,802.0,790.0,,,非洲杯,CAF NC,73_乌干达,Uganda,63_佛得角,Cape Verde,0.0,0.0,,,,,
1393652.0,93.0,2018/09/11 23:00,4937.0,790.0,,,非洲杯,CAF NC,146_坦桑尼亚,Tanzania,63_佛得角,Cape Verde,0.0,0.0,,,,,
1393649.0,93.0,2018/09/07 23:00,5296.0,790.0,,,非洲杯,CAF NC,145_莱索托,Lesotho,63_佛得角,Cape Verde,0.0,0.0,,,,,
1393650.0,93.0,2018/09/03 23:00,790.0,4937.0,,,非洲杯,CAF NC,63_佛得角,Cape Verde,146_坦桑尼亚,Tanzania,0.0,0.0,,,,,
1547463.0,1366.0,2018/06/03 23:00,894.0,790.0,0-0,0-0,国际友谊,INT FRL,136_安道尔,Andorra,63_佛得角,Cape Verde,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1546809.0,1366.0,2018/06/02 05:25,18406.0,790.0,2-3,2-1,国际友谊,INT FRL,57_阿尔及利亚,Algeria,63_佛得角,Cape Verde,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1327129.0,651.0,2017/11/15 03:30,791.0,790.0,4-0,1-0,非洲预选,WCPAF,44_布基纳法索,Burkina Faso,63_佛得角,Cape Verde,0.0,0.0,,平手/半球|0/0.5,输,大,负
1470366.0,1366.0,2017/10/10 22:10,790.0,5292.0,0-1,0-1,国际友谊,INT FRL,63_佛得角,Cape Verde,108_莫桑比克,Mozambique,0.0,0.0,,,,,负
1327127.0,651.0,2017/10/08 01:30,790.0,815.0,0-2,0-0,非洲预选,WCPAF,63_佛得角,Cape Verde,24_塞内加尔,Senegal,0.0,0.0,,受让半球|-0.5,输,走,负
1461255.0,1023.0,2017/09/13 02:00,808.0,790.0,2-0,0-0,西非杯,WAFU,81_贝宁,Benin,63_佛得角,Cape Verde,0.0,0.0,,,,,负
1456792.0,651.0,2017/09/06 01:00,803.0,790.0,1-2,0-0,非洲预选,WCPAF,78_南非,South Africa,63_佛得角,Cape Verde,0.0,0.0,,一球|1,赢,大,胜
1327123.0,651.0,2017/09/02 02:30,790.0,803.0,2-1,2-1,非洲预选,WCPAF,63_佛得角,Cape Verde,78_南非,South Africa,0.0,1.0,,平手|0,赢,大,胜
1392561.0,93.0,2017/06/12 01:30,790.0,802.0,0-1,0-0,非洲杯,CAF NC,63_佛得角,Cape Verde,73_乌干达,Uganda,0.0,0.0,,半球|0.5,输,小,负
1372757.0,1366.0,2017/03/29 02:00,749.0,790.0,0-2,0-2,国际友谊,INT FRL,84_卢森堡,Luxembourg,63_佛得角,Cape Verde,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1327122.0,651.0,2016/11/13 01:00,790.0,791.0,0-2,0-2,非洲预选,WCPAF,63_佛得角,Cape Verde,44_布基纳法索,Burkina Faso,0.0,0.0,,平手/半球|0/0.5,输,走,负
1318808.0,651.0,2016/10/09 04:00,815.0,790.0,2-0,1-0,非洲预选,WCPAF,24_塞内加尔,Senegal,63_佛得角,Cape Verde,0.0,0.0,,一球|1,输,小,负
1129652.0,93.0,2016/09/04 01:00,790.0,734.0,0-1,0-0,非洲杯,CAF NC,63_佛得角,Cape Verde,89_利比亚,Libya,0.0,1.0,,球半|1.5,输,小,负
1129651.0,93.0,2016/06/04 23:30,18477.0,790.0,1-2,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,63_佛得角,Cape Verde,0.0,0.0,,,,,胜
1129649.0,93.0,2016/03/30 03:00,813.0,790.0,2-0,0-0,非洲杯,CAF NC,39_摩洛哥,Morocco,63_佛得角,Cape Verde,0.0,1.0,,一球|1,输,小,负
1129646.0,93.0,2016/03/27 01:00,790.0,813.0,0-1,0-1,非洲杯,CAF NC,63_佛得角,Cape Verde,39_摩洛哥,Morocco,0.0,0.0,,平手/半球|0/0.5,输,小,负
1196506.0,651.0,2015/11/18 03:00,790.0,921.0,2-0,1-0,非洲预选,WCPAF,63_佛得角,Cape Verde,105_肯尼亚,Kenya,0.0,0.0,,一球|1,赢,小,胜
1196537.0,651.0,2015/11/13 21:00,921.0,790.0,1-0,1-0,非洲预选,WCPAF,105_肯尼亚,Kenya,63_佛得角,Cape Verde,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1129644.0,93.0,2015/09/07 01:00,734.0,790.0,1-2,0-0,非洲杯,CAF NC,89_利比亚,Libya,63_佛得角,Cape Verde,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1129642.0,93.0,2015/06/14 01:00,790.0,18477.0,7-1,4-0,非洲杯,CAF NC,63_佛得角,Cape Verde,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,两球|2,赢,大,胜
1110171.0,1366.0,2015/04/01 03:45,765.0,790.0,0-2,0-2,国际友谊,INT FRL,3_葡萄牙,Portugal,63_佛得角,Cape Verde,1.0,0.0,,球半|1.5,赢,小,胜
1077107.0,93.0,2015/01/27 02:00,807.0,790.0,0-0,0-0,非洲杯,CAF NC,72_赞比亚,Zambia,63_佛得角,Cape Verde,0.0,0.0,,平手|0,走,小,平
1077105.0,93.0,2015/01/23 03:00,811.0,790.0,0-0,0-0,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,63_佛得角,Cape Verde,0.0,0.0,,平手|0,走,小,平
1077104.0,93.0,2015/01/19 03:00,790.0,823.0,1-1,0-0,非洲杯,CAF NC,63_佛得角,Cape Verde,23_突尼斯,Tunisia,0.0,0.0,,受让半球|-0.5,赢,走,平
1079539.0,1366.0,2015/01/10 23:59,790.0,806.0,3-2,0-2,国际友谊,INT FRL,63_佛得角,Cape Verde,96_刚果,Congo,0.0,0.0,,平手|0,赢,大,胜
1053883.0,93.0,2014/11/19 23:59,807.0,790.0,1-0,0-0,非洲杯,CAF NC,72_赞比亚,Zambia,63_佛得角,Cape Verde,0.0,0.0,,半球|0.5,输,小,负
1053882.0,93.0,2014/11/16 01:00,790.0,5302.0,3-1,0-0,非洲杯,CAF NC,63_佛得角,Cape Verde,106_尼日尔,Niger,0.0,0.0,,一球|1,赢,大,胜
1053880.0,93.0,2014/10/16 01:30,790.0,5292.0,1-0,0-0,非洲杯,CAF NC,63_佛得角,Cape Verde,108_莫桑比克,Mozambique,0.0,0.0,,一球|1,走,小,胜
1053878.0,93.0,2014/10/11 21:30,5292.0,790.0,2-0,1-0,非洲杯,CAF NC,108_莫桑比克,Mozambique,63_佛得角,Cape Verde,0.0,0.0,,平手|0,输,小,负
1053875.0,93.0,2014/09/11 01:00,790.0,807.0,2-1,1-0,非洲杯,CAF NC,63_佛得角,Cape Verde,72_赞比亚,Zambia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1053874.0,93.0,2014/09/06 23:30,5302.0,790.0,1-3,1-3,非洲杯,CAF NC,106_尼日尔,Niger,63_佛得角,Cape Verde,0.0,0.0,,,,,胜
962608.0,1366.0,2014/03/06 02:30,749.0,790.0,0-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,63_佛得角,Cape Verde,0.0,0.0,,受让半球|-0.5,输,小,平
943866.0,41.0,2013/12/31 02:00,3727.0,790.0,4-1,3-1,球会友谊,INT CF,220_弱鸡,Catalunya,63_佛得角,Cape Verde,0.0,0.0,,,,,负
