赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502172.0,1864.0,2018/11/20 03:45,769.0,632.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502170.0,1864.0,2018/11/17 03:45,632.0,640.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,58_挪威,Norway,0.0,0.0,,,,,
1502167.0,1864.0,2018/10/17 02:45,632.0,753.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1502165.0,1864.0,2018/10/13 23:59,640.0,632.0,,,欧国联,UEFA  NL,58_挪威,Norway,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502164.0,1864.0,2018/09/10 02:45,753.0,632.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502161.0,1864.0,2018/09/07 02:45,632.0,769.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1543755.0,1366.0,2018/06/03 02:15,5282.0,632.0,0-2,0-1,国际友谊,INT FRL,46_黑山,Montenegro,64_斯洛文尼亚,Slovenia,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1521497.0,1366.0,2018/03/28 02:15,632.0,750.0,0-2,0-1,国际友谊,INT FRL,64_斯洛文尼亚,Slovenia,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,输,小,负
1519562.0,1366.0,2018/03/24 03:45,647.0,632.0,3-0,2-0,国际友谊,INT FRL,29_奥地利,Austria,64_斯洛文尼亚,Slovenia,0.0,0.0,,半球|0.5,输,大,负
1198557.0,650.0,2017/10/08 23:59,632.0,641.0,2-2,0-1,欧洲预选,WCPEU,64_斯洛文尼亚,Slovenia,32_苏格兰,Scotland,1.0,0.0,,平手|0,走,大,平
1198556.0,650.0,2017/10/06 02:45,744.0,632.0,1-0,0-0,欧洲预选,WCPEU,16_英格兰,England,64_斯洛文尼亚,Slovenia,0.0,0.0,,球半|1.5,赢,小,负
