赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542737.0,95.0,2019/01/17 22:00,891.0,904.0,,,亚洲杯,AFC,65_沙特阿拉伯,Saudi Arabia,103_卡塔尔,Qatar,0.0,0.0,,,,,
1542734.0,95.0,2019/01/12 20:00,897.0,891.0,,,亚洲杯,AFC,84_黎巴嫩,Lebanon,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,
1542732.0,95.0,2019/01/09 01:00,891.0,876.0,,,亚洲杯,AFC,65_沙特阿拉伯,Saudi Arabia,119_朝鲜,Korea DPR,0.0,0.0,,,,,
1482827.0,75.0,2018/06/25 22:00,891.0,735.0,2-1,1-1,世界杯,World Cup,65_沙特阿拉伯,Saudi Arabia,30_埃及,Egypt,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1482826.0,75.0,2018/06/20 23:00,767.0,891.0,1-0,1-0,世界杯,World Cup,22_乌拉圭,Uruguay,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,赢,小,负
1482823.0,75.0,2018/06/14 23:00,746.0,891.0,5-0,2-0,世界杯,World Cup,62_俄罗斯,Russia,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,一球/球半|1/1.5,输,大,负
1543749.0,1366.0,2018/06/09 01:30,650.0,891.0,2-1,2-0,国际友谊,INT FRL,1_德国,Germany,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,两球半|2.5,赢,小,负
1543778.0,1366.0,2018/06/04 02:10,891.0,774.0,0-3,0-2,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,11_秘鲁,Peru,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1543732.0,1366.0,2018/05/29 02:45,771.0,891.0,2-1,1-0,国际友谊,INT FRL,14_意大利,Italy,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,赢,大,负
1540991.0,1366.0,2018/05/16 01:30,891.0,757.0,2-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,47_希腊,Greece,0.0,1.0,,受让平手/半球|-0/-0.5,赢,走,胜
1540855.0,1366.0,2018/05/10 02:30,891.0,18406.0,2-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,57_阿尔及利亚,Algeria,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1521499.0,1366.0,2018/03/28 02:45,645.0,891.0,4-0,2-0,国际友谊,INT FRL,5_比利时,Belgium,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,两球|2,输,大,负
1521956.0,1366.0,2018/03/24 03:00,634.0,891.0,1-1,1-1,国际友谊,INT FRL,35_乌克兰,Ukraine,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1511480.0,1366.0,2018/02/28 23:59,874.0,891.0,4-1,1-0,国际友谊,INT FRL,82_伊拉克,Iraq,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,负
1511479.0,1366.0,2018/02/27 01:30,891.0,751.0,3-0,1-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,166_摩尔多瓦,Moldova,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1485911.0,161.0,2017/12/28 23:30,891.0,902.0,0-2,0-0,海湾运,GC,65_沙特阿拉伯,Saudi Arabia,101_阿曼,Oman,0.0,0.0,,平手/半球|0/0.5,输,走,负
1485908.0,161.0,2017/12/25 22:30,887.0,891.0,0-0,0-0,海湾运,GC,78_阿联酋,United Arab Emirates,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,半球|0.5,赢,小,平
1485906.0,161.0,2017/12/22 23:35,895.0,891.0,1-2,0-1,海湾运,GC,174_科威特,Kuwait,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1477180.0,1366.0,2017/11/14 01:00,769.0,891.0,1-0,0-0,国际友谊,INT FRL,42_保加利亚,Bulgaria,65_沙特阿拉伯,Saudi Arabia,0.0,1.0,,半球|0.5,输,小,负
1476827.0,1366.0,2017/11/11 04:45,765.0,891.0,3-0,1-0,国际友谊,INT FRL,3_葡萄牙,Portugal,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,球半|1.5,输,大,负
1477600.0,1366.0,2017/11/08 01:00,891.0,631.0,2-0,2-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,131_拉脱维亚,Latvia,0.0,0.0,,,,,胜
1470229.0,1366.0,2017/10/11 01:15,891.0,810.0,0-3,0-1,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,50_加纳,Ghana,0.0,0.0,,平手/半球|0/0.5,输,大,负
