赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393608.0,93.0,2018/11/13 23:00,8025.0,812.0,,,非洲杯,CAF NC,121_中非共和国,Central African Republic,66_几内亚,Guinea,0.0,0.0,,,,,
1393606.0,93.0,2018/10/16 23:00,812.0,809.0,,,非洲杯,CAF NC,66_几内亚,Guinea,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,,,,
1393605.0,93.0,2018/09/11 23:00,922.0,812.0,,,非洲杯,CAF NC,116_卢旺达,Rwanda,66_几内亚,Guinea,0.0,0.0,,,,,
1393600.0,93.0,2018/09/07 23:00,812.0,8025.0,,,非洲杯,CAF NC,66_几内亚,Guinea,121_中非共和国,Central African Republic,0.0,0.0,,,,,
1393603.0,93.0,2018/09/03 23:00,812.0,922.0,,,非洲杯,CAF NC,66_几内亚,Guinea,116_卢旺达,Rwanda,0.0,0.0,,,,,
1524747.0,1366.0,2018/03/25 01:00,5281.0,812.0,2-0,0-0,国际友谊,INT FRL,100_毛里塔尼亚,Mauritania,66_几内亚,Guinea,0.0,1.0,,,,,负
1490660.0,1052.0,2018/01/22 03:00,5281.0,812.0,0-1,0-1,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,66_几内亚,Guinea,0.0,0.0,,受让半球|-0.5,赢,小,胜
1490657.0,1052.0,2018/01/18 00:30,813.0,812.0,3-1,1-1,非国锦标,CAF SC,39_摩洛哥,Morocco,66_几内亚,Guinea,0.0,0.0,,一球/球半|1/1.5,输,大,负
1490656.0,1052.0,2018/01/14 22:30,812.0,792.0,1-2,0-1,非国锦标,CAF SC,66_几内亚,Guinea,124_苏丹,Sudan,0.0,0.0,,平手/半球|0/0.5,输,大,负
1327099.0,651.0,2017/11/12 01:30,811.0,812.0,3-1,0-0,非洲预选,WCPAF,43_刚果民主共和国,Democratic Rep Congo,66_几内亚,Guinea,0.0,0.0,,一球/球半|1/1.5,输,大,负
1445283.0,1052.0,2017/11/05 23:59,812.0,815.0,5-0,3-0,非国锦标,CAF SC,66_几内亚,Guinea,24_塞内加尔,Senegal,0.0,0.0,,,,,胜
1327097.0,651.0,2017/10/08 01:00,812.0,823.0,1-4,1-1,非洲预选,WCPAF,66_几内亚,Guinea,23_突尼斯,Tunisia,1.0,0.0,,受让半球|-0.5,输,大,负
1464397.0,1023.0,2017/09/19 02:00,812.0,817.0,1-1,1-0,西非杯,WAFU,66_几内亚,Guinea,71_马里,Mali,0.0,0.0,,,,,平
1464038.0,1023.0,2017/09/16 23:00,812.0,789.0,0-0,0-0,西非杯,WAFU,66_几内亚,Guinea,51_尼日利亚,Nigeria,0.0,0.0,,,,,平
1462960.0,1023.0,2017/09/15 02:00,810.0,812.0,2-0,0-0,西非杯,WAFU,50_加纳,Ghana,66_几内亚,Guinea,0.0,0.0,,,,,负
1462961.0,1023.0,2017/09/14 23:00,817.0,812.0,0-0,0-0,西非杯,WAFU,71_马里,Mali,66_几内亚,Guinea,0.0,0.0,,,,,平
1460567.0,1023.0,2017/09/11 02:00,812.0,6680.0,2-1,2-1,西非杯,WAFU,66_几内亚,Guinea,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,胜
1327096.0,651.0,2017/09/05 03:00,734.0,812.0,1-0,1-0,非洲预选,WCPAF,89_利比亚,Libya,66_几内亚,Guinea,1.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1327093.0,651.0,2017/09/01 01:00,812.0,734.0,3-2,2-0,非洲预选,WCPAF,66_几内亚,Guinea,89_利比亚,Libya,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1445280.0,1052.0,2017/08/16 01:30,815.0,812.0,3-1,1-0,非国锦标,CAF SC,24_塞内加尔,Senegal,66_几内亚,Guinea,0.0,0.0,,,,,负
1380950.0,1052.0,2017/07/23 00:30,812.0,6680.0,7-0,2-0,非国锦标,CAF SC,66_几内亚,Guinea,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,胜
