赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502159.0,1864.0,2018/11/19 03:45,745.0,736.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,68_芬兰,Finland,0.0,0.0,,,,,
1502158.0,1864.0,2018/11/16 03:45,757.0,736.0,,,欧国联,UEFA  NL,47_希腊,Greece,68_芬兰,Finland,0.0,0.0,,,,,
1502155.0,1864.0,2018/10/16 02:45,736.0,757.0,,,欧国联,UEFA  NL,68_芬兰,Finland,47_希腊,Greece,0.0,0.0,,,,,
1502153.0,1864.0,2018/10/13 02:45,636.0,736.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,68_芬兰,Finland,0.0,0.0,,,,,
1502151.0,1864.0,2018/09/12 02:45,736.0,636.0,,,欧国联,UEFA  NL,68_芬兰,Finland,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502149.0,1864.0,2018/09/08 23:59,736.0,745.0,,,欧国联,UEFA  NL,68_芬兰,Finland,54_匈牙利,Hungary,0.0,0.0,,,,,
1543752.0,1366.0,2018/06/09 23:59,736.0,750.0,2-0,1-0,国际友谊,INT FRL,68_芬兰,Finland,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1543765.0,1366.0,2018/06/06 01:30,635.0,736.0,2-0,1-0,国际友谊,INT FRL,40_罗马尼亚,Romania,68_芬兰,Finland,0.0,0.0,,半球/一球|0.5/1,输,小,负
1521482.0,1366.0,2018/03/26 23:59,736.0,755.0,5-0,3-0,国际友谊,INT FRL,68_芬兰,Finland,185_马耳他,Malta,0.0,0.0,,两球|2,赢,大,胜
1519559.0,1366.0,2018/03/23 23:59,736.0,770.0,0-0,0-0,国际友谊,INT FRL,68_芬兰,Finland,73_马其顿,FYR Macedonia,0.0,0.0,,平手|0,走,小,平
1490679.0,1366.0,2018/01/11 20:30,881.0,736.0,1-2,0-1,国际友谊,INT FRL,113_约旦,Jordan,68_芬兰,Finland,0.0,0.0,,受让半球|-0.5,赢,大,胜
1476831.0,1366.0,2017/11/10 01:00,736.0,636.0,3-0,2-0,国际友谊,INT FRL,68_芬兰,Finland,88_爱沙尼亚,Estonia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1198628.0,650.0,2017/10/10 02:45,736.0,762.0,2-2,0-0,欧洲预选,WCPEU,68_芬兰,Finland,41_土耳其,Turkey,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1198626.0,650.0,2017/10/07 02:45,768.0,736.0,1-1,0-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,68_芬兰,Finland,0.0,0.0,,两球|2,赢,小,平
1311358.0,650.0,2017/09/06 02:45,5764.0,736.0,0-1,0-0,欧洲预选,WCPEU,178_科索沃,Kosovo,68_芬兰,Finland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198622.0,650.0,2017/09/02 23:59,736.0,756.0,1-0,1-0,欧洲预选,WCPEU,68_芬兰,Finland,20_冰岛,Iceland,0.0,1.0,,受让半球|-0.5,赢,小,胜
1198620.0,650.0,2017/06/11 23:59,736.0,634.0,1-2,0-0,欧洲预选,WCPEU,68_芬兰,Finland,35_乌克兰,Ukraine,0.0,0.0,,受让半球|-0.5,输,大,负
1391068.0,1366.0,2017/06/07 23:59,736.0,764.0,1-1,1-0,国际友谊,INT FRL,68_芬兰,Finland,182_列支敦士登,Liechtenstein,0.0,0.0,,两球半/三球|2.5/3,输,小,平
1372105.0,1366.0,2017/03/29 02:45,647.0,736.0,1-1,0-0,国际友谊,INT FRL,29_奥地利,Austria,68_芬兰,Finland,0.0,0.0,,一球|1,赢,小,平
1198618.0,650.0,2017/03/25 01:00,762.0,736.0,2-0,2-0,欧洲预选,WCPEU,41_土耳其,Turkey,68_芬兰,Finland,0.0,0.0,,一球/球半|1/1.5,输,小,负
1339634.0,1366.0,2017/01/13 23:00,31688.0,736.0,2-0,1-0,国际友谊,INT FRL,220_弱鸡,Slovenia B,68_芬兰,Finland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1339138.0,1366.0,2017/01/09 22:00,813.0,736.0,0-1,0-1,国际友谊,INT FRL,39_摩洛哥,Morocco,68_芬兰,Finland,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
