赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502117.0,1864.0,2018/11/16 03:45,768.0,772.0,,,欧国联,UEFA  NL,15_克罗地亚,Croatia,6_西班牙,Spain,0.0,0.0,,,,,
1502116.0,1864.0,2018/10/16 02:45,772.0,744.0,,,欧国联,UEFA  NL,6_西班牙,Spain,16_英格兰,England,0.0,0.0,,,,,
1502114.0,1864.0,2018/09/12 02:45,772.0,768.0,,,欧国联,UEFA  NL,6_西班牙,Spain,15_克罗地亚,Croatia,0.0,0.0,,,,,
1502113.0,1864.0,2018/09/09 02:45,744.0,772.0,,,欧国联,UEFA  NL,16_英格兰,England,6_西班牙,Spain,0.0,0.0,,,,,
1483048.0,75.0,2018/07/01 22:00,746.0,772.0,,,世界杯,World Cup,62_俄罗斯,Russia,6_西班牙,Spain,0.0,0.0,,,,,
1482834.0,75.0,2018/06/26 02:00,772.0,813.0,2-2,1-1,世界杯,World Cup,6_西班牙,Spain,39_摩洛哥,Morocco,0.0,0.0,,一球/球半|1/1.5,输,大,平
1482832.0,75.0,2018/06/21 02:00,783.0,772.0,0-1,0-0,世界杯,World Cup,34_伊朗,Iran,6_西班牙,Spain,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,胜
1482830.0,75.0,2018/06/16 02:00,765.0,772.0,3-3,2-1,世界杯,World Cup,3_葡萄牙,Portugal,6_西班牙,Spain,0.0,0.0,,受让半球|-0.5,输,大,平
1543781.0,1366.0,2018/06/10 02:45,823.0,772.0,0-1,0-0,国际友谊,INT FRL,23_突尼斯,Tunisia,6_西班牙,Spain,0.0,0.0,,受让球半|-1.5,输,小,胜
1543784.0,1366.0,2018/06/04 03:00,772.0,648.0,1-1,1-0,国际友谊,INT FRL,6_西班牙,Spain,8_瑞士,Switzerland,0.0,0.0,,球半|1.5,输,小,平
1521505.0,1366.0,2018/03/28 03:30,772.0,766.0,6-1,2-1,国际友谊,INT FRL,6_西班牙,Spain,4_阿根廷,Argentina,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1520432.0,1366.0,2018/03/24 03:45,650.0,772.0,1-1,1-1,国际友谊,INT FRL,1_德国,Germany,6_西班牙,Spain,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1477409.0,1366.0,2017/11/15 02:45,746.0,772.0,3-3,1-2,国际友谊,INT FRL,62_俄罗斯,Russia,6_西班牙,Spain,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,平
1477178.0,1366.0,2017/11/12 04:30,772.0,914.0,5-0,2-0,国际友谊,INT FRL,6_西班牙,Spain,27_哥斯达黎加,Costa Rica,0.0,0.0,,两球|2,赢,大,胜
1198587.0,650.0,2017/10/10 02:45,760.0,772.0,0-1,0-0,欧洲预选,WCPEU,99_以色列,Israel,6_西班牙,Spain,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
