赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542725.0,95.0,2019/01/17 01:00,898.0,896.0,,,亚洲杯,AFC,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,,,,
1542723.0,95.0,2019/01/12 01:00,896.0,1562.0,,,亚洲杯,AFC,70_中国,China,123_菲律宾,Philippines,0.0,0.0,,,,,
1542721.0,95.0,2019/01/07 19:30,896.0,885.0,,,亚洲杯,AFC,70_中国,China,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,
1543780.0,1366.0,2018/06/02 19:30,886.0,896.0,0-2,0-1,国际友谊,INT FRL,129_泰国,Thailand,70_中国,China,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1545127.0,1366.0,2018/05/26 19:35,896.0,1563.0,1-0,1-0,国际友谊,INT FRL,70_中国,China,140_缅甸联邦,Myanmar,0.0,0.0,,两球半|2.5,输,小,胜
1524407.0,1726.0,2018/03/26 15:35,896.0,747.0,1-4,1-0,中国杯,China Cup,70_中国,China,48_捷克,Czech,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1518978.0,1726.0,2018/03/22 19:35,896.0,7384.0,0-6,0-4,中国杯,China Cup,70_中国,China,19_威尔士,Wales,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1482730.0,53.0,2017/12/16 15:30,896.0,876.0,1-1,1-0,东亚杯,EASTC,70_中国,China,119_朝鲜,Korea DPR,0.0,0.0,,平手/半球|0/0.5,输,小,平
1482729.0,53.0,2017/12/12 18:20,903.0,896.0,2-1,0-0,东亚杯,EASTC,56_日本,Japan,70_中国,China,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1481972.0,53.0,2017/12/09 15:30,898.0,896.0,2-2,2-1,东亚杯,EASTC,59_韩国,Korea Republic,70_中国,China,0.0,0.0,,半球|0.5,赢,大,平
1477403.0,1366.0,2017/11/14 19:35,896.0,775.0,0-4,0-1,国际友谊,INT FRL,70_中国,China,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1476838.0,1366.0,2017/11/10 19:35,896.0,642.0,0-2,0-1,国际友谊,INT FRL,70_中国,China,37_塞尔维亚,Serbia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1237355.0,648.0,2017/09/05 23:00,904.0,896.0,1-2,0-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,70_中国,China,0.0,1.0,,平手|0,赢,大,胜
1237363.0,648.0,2017/08/31 20:00,896.0,875.0,1-0,0-0,亚洲预选,FIFA WCQL,70_中国,China,77_乌兹别克,Uzbekistan,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1237367.0,648.0,2017/06/13 21:45,899.0,896.0,2-2,1-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,70_中国,China,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,平
1391066.0,1366.0,2017/06/07 19:35,896.0,1562.0,8-1,3-1,国际友谊,INT FRL,70_中国,China,123_菲律宾,Philippines,0.0,0.0,,球半|1.5,赢,大,胜
1237371.0,648.0,2017/03/28 20:00,783.0,896.0,1-0,0-0,亚洲预选,FIFA WCQL,34_伊朗,Iran,70_中国,China,0.0,0.0,,一球|1,走,小,负
1237382.0,648.0,2017/03/23 19:35,896.0,898.0,1-0,1-0,亚洲预选,FIFA WCQL,70_中国,China,59_韩国,Korea Republic,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1341520.0,1726.0,2017/01/14 15:35,896.0,768.0,1-1,0-1,中国杯,China Cup,70_中国,China,15_克罗地亚,Croatia,0.0,0.0,"90,1-1;;;4-3;1",受让半球/一球|-0.5/-1,赢,小,平
1338847.0,1726.0,2017/01/10 20:00,896.0,756.0,0-2,0-0,中国杯,China Cup,70_中国,China,20_冰岛,Iceland,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1237388.0,648.0,2016/11/15 19:35,896.0,904.0,0-0,0-0,亚洲预选,FIFA WCQL,70_中国,China,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,输,小,平
1328542.0,41.0,2016/11/08 20:00,896.0,16667.0,5-0,3-0,球会友谊,INT CF,70_中国,China,220_弱鸡,Wuhan ZALL,0.0,0.0,,,,,胜
