赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393551.0,93.0,2018/11/16 23:00,20868.0,817.0,,,非洲杯,CAF NC,153_南苏丹,South Sudan,71_马里,Mali,0.0,0.0,,,,,
1393559.0,93.0,2018/11/13 23:00,817.0,20868.0,,,非洲杯,CAF NC,71_马里,Mali,153_南苏丹,South Sudan,0.0,0.0,,,,,
1393557.0,93.0,2018/10/16 23:00,788.0,817.0,,,非洲杯,CAF NC,93_加蓬,Gabon,71_马里,Mali,0.0,0.0,,,,,
1393554.0,93.0,2018/09/11 23:00,5294.0,817.0,,,非洲杯,CAF NC,143_布隆迪,Burundi,71_马里,Mali,0.0,0.0,,,,,
1393552.0,93.0,2018/09/03 23:00,817.0,5294.0,,,非洲杯,CAF NC,71_马里,Mali,143_布隆迪,Burundi,0.0,0.0,,,,,
1519565.0,1366.0,2018/03/23 20:20,903.0,817.0,1-1,0-1,国际友谊,INT FRL,56_日本,Japan,71_马里,Mali,0.0,0.0,,半球|0.5,赢,走,平
1327120.0,651.0,2017/11/11 22:30,788.0,817.0,0-0,0-0,非洲预选,WCPAF,93_加蓬,Gabon,71_马里,Mali,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1327118.0,651.0,2017/10/07 03:00,817.0,809.0,0-0,0-0,非洲预选,WCPAF,71_马里,Mali,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1464397.0,1023.0,2017/09/19 02:00,812.0,817.0,1-1,1-0,西非杯,WAFU,66_几内亚,Guinea,71_马里,Mali,0.0,0.0,,,,,平
1462973.0,1023.0,2017/09/17 02:00,810.0,817.0,1-0,0-0,西非杯,WAFU,50_加纳,Ghana,71_马里,Mali,0.0,0.0,,,,,负
1462961.0,1023.0,2017/09/14 23:00,817.0,812.0,0-0,0-0,西非杯,WAFU,71_马里,Mali,66_几内亚,Guinea,0.0,0.0,,,,,平
1461013.0,1023.0,2017/09/11 23:00,817.0,5281.0,3-1,1-1,西非杯,WAFU,71_马里,Mali,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,胜
1456916.0,651.0,2017/09/06 03:00,817.0,813.0,0-0,0-0,非洲预选,WCPAF,71_马里,Mali,39_摩洛哥,Morocco,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1327115.0,651.0,2017/09/02 04:00,813.0,817.0,6-0,2-0,非洲预选,WCPAF,39_摩洛哥,Morocco,71_马里,Mali,0.0,2.0,,一球|1,输,大,负
1443881.0,1052.0,2017/08/20 00:30,817.0,5281.0,0-1,0-1,非国锦标,CAF SC,71_马里,Mali,100_毛里塔尼亚,Mauritania,1.0,0.0,,,,,负
1443875.0,1052.0,2017/08/13 01:00,5281.0,817.0,2-2,2-2,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,71_马里,Mali,0.0,0.0,,,,,平
1380952.0,1052.0,2017/07/23 01:00,817.0,5039.0,4-0,0-0,非国锦标,CAF SC,71_马里,Mali,163_冈比亚,Gambia,0.0,0.0,,,,,胜
1380947.0,1052.0,2017/07/16 00:30,5039.0,817.0,0-0,0-0,非国锦标,CAF SC,163_冈比亚,Gambia,71_马里,Mali,0.0,0.0,,,,,平
1392570.0,93.0,2017/06/11 03:00,817.0,788.0,2-1,0-1,非洲杯,CAF NC,71_马里,Mali,93_加蓬,Gabon,0.0,0.0,,半球|0.5,赢,大,胜
1337483.0,93.0,2017/01/26 03:00,802.0,817.0,1-1,0-0,非洲杯,CAF NC,73_乌干达,Uganda,71_马里,Mali,0.0,0.0,,受让半球|-0.5,输,走,平
1337486.0,93.0,2017/01/21 23:59,810.0,817.0,1-0,1-0,非洲杯,CAF NC,50_加纳,Ghana,71_马里,Mali,0.0,0.0,,平手/半球|0/0.5,输,小,负
1337487.0,93.0,2017/01/18 03:00,817.0,735.0,0-0,0-0,非洲杯,CAF NC,71_马里,Mali,30_埃及,Egypt,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1338907.0,41.0,2017/01/07 19:00,817.0,791.0,1-2,0-1,球会友谊,INT CF,71_马里,Mali,44_布基纳法索,Burkina Faso,0.0,0.0,,,,,负
1333766.0,41.0,2016/12/03 23:30,817.0,815.0,0-1,0-0,球会友谊,INT CF,71_马里,Mali,24_塞内加尔,Senegal,0.0,0.0,,,,,负
