赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393646.0,93.0,2018/11/13 23:00,807.0,4494.0,,,非洲杯,CAF NC,72_赞比亚,Zambia,111_纳米比亚,Namibia,0.0,0.0,,,,,
1393644.0,93.0,2018/10/16 23:00,5292.0,807.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,72_赞比亚,Zambia,0.0,0.0,,,,,
1393642.0,93.0,2018/09/11 23:00,6680.0,807.0,,,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,72_赞比亚,Zambia,0.0,0.0,,,,,
1393638.0,93.0,2018/09/07 23:00,4494.0,807.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,72_赞比亚,Zambia,0.0,0.0,,,,,
1393641.0,93.0,2018/09/03 23:00,807.0,6680.0,,,非洲杯,CAF NC,72_赞比亚,Zambia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1549037.0,1311.0,2018/06/09 21:00,807.0,14862.0,2-2,1-1,南非洲杯,SACC,72_赞比亚,Zambia,106_津巴布韦,Zimbabwe,0.0,0.0,"90,2-2;;1,2-4;;2",平手/半球|0/0.5,输,大,平
1548477.0,1311.0,2018/06/06 23:00,807.0,5295.0,1-0,1-0,南非洲杯,SACC,72_赞比亚,Zambia,109_马达加斯加,Madagascar,0.0,1.0,,平手/半球|0/0.5,赢,小,胜
1546996.0,1311.0,2018/06/02 21:00,807.0,4494.0,0-0,0-0,南非洲杯,SACC,72_赞比亚,Zambia,111_纳米比亚,Namibia,0.0,0.0,"90,0-0;;;4-3;1",平手/半球|0/0.5,输,小,平
1524213.0,1366.0,2018/03/24 23:00,807.0,803.0,0-2,0-1,国际友谊,INT FRL,72_赞比亚,Zambia,78_南非,South Africa,0.0,0.0,,平手/半球|0/0.5,输,小,负
1522065.0,1366.0,2018/03/21 23:59,807.0,14862.0,2-2,0-0,国际友谊,INT FRL,72_赞比亚,Zambia,106_津巴布韦,Zimbabwe,0.0,0.0,"90,2-2;;;5-4;1",平手/半球|0/0.5,输,大,平
1496261.0,1052.0,2018/01/28 03:30,807.0,792.0,0-1,0-1,非国锦标,CAF SC,72_赞比亚,Zambia,124_苏丹,Sudan,0.0,0.0,,平手/半球|0/0.5,输,小,负
1490666.0,1052.0,2018/01/23 03:00,4494.0,807.0,1-1,1-1,非国锦标,CAF SC,111_纳米比亚,Namibia,72_赞比亚,Zambia,0.0,0.0,,受让半球|-0.5,输,走,平
1490663.0,1052.0,2018/01/19 00:30,809.0,807.0,0-2,0-1,非国锦标,CAF SC,61_科特迪瓦,Cote D Ivoire,72_赞比亚,Zambia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,走,胜
1490662.0,1052.0,2018/01/15 03:30,807.0,802.0,3-1,1-1,非国锦标,CAF SC,72_赞比亚,Zambia,73_乌干达,Uganda,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1327111.0,651.0,2017/11/11 21:00,807.0,793.0,2-2,1-1,非洲预选,WCPAF,72_赞比亚,Zambia,45_喀麦隆,Cameroon,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1327109.0,651.0,2017/10/07 23:59,789.0,807.0,1-0,0-0,非洲预选,WCPAF,51_尼日利亚,Nigeria,72_赞比亚,Zambia,0.0,0.0,,一球|1,走,小,负
1453636.0,651.0,2017/09/06 03:30,18406.0,807.0,0-1,0-0,非洲预选,WCPAF,57_阿尔及利亚,Algeria,72_赞比亚,Zambia,0.0,0.0,,一球|1,赢,小,胜
1327105.0,651.0,2017/09/02 21:00,807.0,18406.0,3-1,2-0,非洲预选,WCPAF,72_赞比亚,Zambia,57_阿尔及利亚,Algeria,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
