赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502231.0,1864.0,2018/11/20 03:45,770.0,5877.0,,,欧国联,UEFA  NL,73_马其顿,FYR Macedonia,220_弱鸡,Gibraltar,0.0,0.0,,,,,
1502230.0,1864.0,2018/11/17 03:45,764.0,770.0,,,欧国联,UEFA  NL,182_列支敦士登,Liechtenstein,73_马其顿,FYR Macedonia,0.0,0.0,,,,,
1502227.0,1864.0,2018/10/16 23:59,748.0,770.0,,,欧国联,UEFA  NL,90_阿美尼亚,Armenia,73_马其顿,FYR Macedonia,0.0,0.0,,,,,
1502226.0,1864.0,2018/10/14 02:45,770.0,764.0,,,欧国联,UEFA  NL,73_马其顿,FYR Macedonia,182_列支敦士登,Liechtenstein,0.0,0.0,,,,,
1502223.0,1864.0,2018/09/09 23:59,770.0,748.0,,,欧国联,UEFA  NL,73_马其顿,FYR Macedonia,90_阿美尼亚,Armenia,0.0,0.0,,,,,
1502221.0,1864.0,2018/09/07 02:45,5877.0,770.0,,,欧国联,UEFA  NL,220_弱鸡,Gibraltar,73_马其顿,FYR Macedonia,0.0,0.0,,,,,
1521491.0,1366.0,2018/03/27 23:59,758.0,770.0,1-1,1-1,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,73_马其顿,FYR Macedonia,0.0,0.0,,受让平手/半球|-0/-0.5,输,走,平
1519559.0,1366.0,2018/03/23 23:59,736.0,770.0,0-0,0-0,国际友谊,INT FRL,68_芬兰,Finland,73_马其顿,FYR Macedonia,0.0,0.0,,平手|0,走,小,平
1476840.0,1366.0,2017/11/12 01:30,770.0,640.0,2-0,1-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,58_挪威,Norway,0.0,0.0,,平手|0,赢,小,胜
1198588.0,650.0,2017/10/10 02:45,770.0,764.0,4-0,2-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1198584.0,650.0,2017/10/07 02:45,771.0,770.0,1-1,1-0,欧洲预选,WCPEU,14_意大利,Italy,73_马其顿,FYR Macedonia,0.0,0.0,,两球半|2.5,赢,小,平
1198583.0,650.0,2017/09/06 02:45,770.0,761.0,1-1,0-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,60_阿尔巴尼亚,Albania,0.0,0.0,,平手|0,走,走,平
1198579.0,650.0,2017/09/03 02:45,760.0,770.0,0-1,0-0,欧洲预选,WCPEU,99_以色列,Israel,73_马其顿,FYR Macedonia,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1198576.0,650.0,2017/06/12 02:45,770.0,772.0,1-2,0-2,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,6_西班牙,Spain,0.0,0.0,,受让两球|-2,赢,走,负
1391048.0,1366.0,2017/06/06 01:45,770.0,762.0,0-0,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,41_土耳其,Turkey,0.0,0.0,,受让半球|-0.5,赢,小,平
1372103.0,1366.0,2017/03/28 23:59,770.0,750.0,3-0,1-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,赢,大,胜
1198572.0,650.0,2017/03/25 03:45,764.0,770.0,0-3,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,73_马其顿,FYR Macedonia,0.0,0.0,,受让一球|-1,赢,大,胜
1198571.0,650.0,2016/11/13 03:45,772.0,770.0,4-0,1-0,欧洲预选,WCPEU,6_西班牙,Spain,73_马其顿,FYR Macedonia,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1198568.0,650.0,2016/10/10 02:45,770.0,771.0,2-3,0-1,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,14_意大利,Italy,0.0,0.0,,受让球半|-1.5,赢,大,负
1198564.0,650.0,2016/10/07 02:45,770.0,760.0,1-2,0-2,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,99_以色列,Israel,0.0,1.0,,平手|0,输,大,负
1198561.0,650.0,2016/09/06 20:00,761.0,770.0,2-1,1-0,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,输,大,负
1244111.0,1366.0,2016/06/03 01:00,770.0,783.0,1-3,1-2,国际友谊,INT FRL,73_马其顿,FYR Macedonia,34_伊朗,Iran,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1243457.0,1366.0,2016/05/29 23:00,758.0,770.0,1-3,0-2,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,73_马其顿,FYR Macedonia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1229358.0,1366.0,2016/03/30 01:00,770.0,769.0,0-2,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,42_保加利亚,Bulgaria,0.0,0.0,,平手|0,输,走,负
1229364.0,1366.0,2016/03/24 01:00,632.0,770.0,1-0,0-0,国际友谊,INT FRL,64_斯洛文尼亚,Slovenia,73_马其顿,FYR Macedonia,0.0,0.0,,一球|1,走,小,负
1197907.0,1366.0,2015/11/17 20:00,770.0,897.0,0-1,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,84_黎巴嫩,Lebanon,0.0,0.0,,一球|1,输,小,负
1196763.0,1366.0,2015/11/13 01:00,770.0,5282.0,4-1,3-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,46_黑山,Montenegro,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
974966.0,67.0,2015/10/13 02:45,750.0,770.0,0-0,0-0,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,赢,小,平
974969.0,67.0,2015/10/10 02:45,770.0,634.0,0-2,0-0,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,35_乌克兰,Ukraine,0.0,0.0,,受让一球|-1,输,小,负
974971.0,67.0,2015/09/09 02:45,770.0,772.0,0-1,0-1,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,6_西班牙,Spain,0.0,0.0,,受让两球|-2,赢,小,负
974974.0,67.0,2015/09/05 23:59,749.0,770.0,1-0,0-0,欧洲杯,EURO  Cup,84_卢森堡,Luxembourg,73_马其顿,FYR Macedonia,0.0,0.0,,受让半球|-0.5,输,小,负
974977.0,67.0,2015/06/15 02:45,752.0,770.0,2-1,2-0,欧洲杯,EURO  Cup,28_斯洛伐克,Slovakia,73_马其顿,FYR Macedonia,0.0,1.0,,球半|1.5,赢,大,负
1110169.0,1366.0,2015/03/31 03:00,770.0,913.0,0-0,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,36_澳大利亚,Australia,0.0,0.0,,受让半球|-0.5,赢,小,平
974981.0,67.0,2015/03/28 03:45,770.0,750.0,1-2,1-1,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,输,大,负
974983.0,67.0,2014/11/16 03:45,770.0,752.0,0-2,0-2,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,28_斯洛伐克,Slovakia,0.0,0.0,,受让半球|-0.5,输,小,负
974987.0,67.0,2014/10/12 23:59,634.0,770.0,1-0,1-0,欧洲杯,EURO  Cup,35_乌克兰,Ukraine,73_马其顿,FYR Macedonia,0.0,0.0,,一球/球半|1/1.5,赢,小,负
974989.0,67.0,2014/10/10 02:45,770.0,749.0,3-2,1-2,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,84_卢森堡,Luxembourg,0.0,0.0,,一球/球半|1/1.5,输,大,胜
974992.0,67.0,2014/09/09 02:45,772.0,770.0,5-1,3-1,欧洲杯,EURO  Cup,6_西班牙,Spain,73_马其顿,FYR Macedonia,0.0,0.0,,两球半|2.5,输,大,负
987054.0,1366.0,2014/06/22 16:00,896.0,770.0,0-0,0-0,国际友谊,INT FRL,70_中国,China,73_马其顿,FYR Macedonia,0.0,0.0,,半球/一球|0.5/1,赢,小,平
986961.0,1366.0,2014/06/18 19:35,896.0,770.0,2-0,0-0,国际友谊,INT FRL,70_中国,China,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,输,小,负
984720.0,1366.0,2014/05/31 01:00,904.0,770.0,0-0,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,73_马其顿,FYR Macedonia,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
983694.0,1366.0,2014/05/27 01:00,770.0,793.0,0-2,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,45_喀麦隆,Cameroon,0.0,0.0,,受让半球|-0.5,输,小,负
959545.0,1366.0,2014/03/06 02:00,770.0,631.0,2-1,1-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,131_拉脱维亚,Latvia,0.0,0.0,,半球|0.5,赢,大,胜
930992.0,650.0,2013/10/16 02:30,642.0,770.0,5-1,3-0,欧洲预选,WCPEU,37_塞尔维亚,Serbia,73_马其顿,FYR Macedonia,0.0,0.0,,一球/球半|1/1.5,输,大,负
663840.0,650.0,2013/10/12 02:45,7384.0,770.0,1-0,0-0,欧洲预选,WCPEU,19_威尔士,Wales,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,输,小,负
663842.0,650.0,2013/09/11 02:30,770.0,641.0,1-2,0-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,32_苏格兰,Scotland,0.0,0.0,,平手|0,输,大,负
663844.0,650.0,2013/09/07 01:00,770.0,7384.0,2-1,1-1,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,19_威尔士,Wales,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
899720.0,41.0,2013/08/15 02:45,770.0,769.0,2-0,0-0,球会友谊,INT CF,73_马其顿,FYR Macedonia,42_保加利亚,Bulgaria,0.0,0.0,,平手|0,赢,小,胜
849927.0,41.0,2013/06/12 01:00,640.0,770.0,2-0,1-0,球会友谊,INT CF,58_挪威,Norway,73_马其顿,FYR Macedonia,0.0,1.0,,一球|1,输,小,负
848933.0,41.0,2013/06/04 01:00,644.0,770.0,1-0,1-0,球会友谊,INT CF,18_瑞典,Sweden,73_马其顿,FYR Macedonia,0.0,0.0,,球半|1.5,赢,小,负
663850.0,650.0,2013/03/27 03:45,645.0,770.0,1-0,0-0,欧洲预选,WCPEU,5_比利时,Belgium,73_马其顿,FYR Macedonia,0.0,0.0,,,,小,负
663853.0,650.0,2013/03/23 03:45,770.0,645.0,0-2,0-1,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,5_比利时,Belgium,0.0,0.0,,,,小,负
813449.0,41.0,2013/02/07 02:30,770.0,638.0,3-0,3-0,球会友谊,INT CF,73_马其顿,FYR Macedonia,12_丹麦,Denmark,0.0,0.0,,,,大,胜
805498.0,41.0,2012/12/15 00:15,637.0,770.0,4-1,2-0,球会友谊,INT CF,7_波兰,Poland,73_马其顿,FYR Macedonia,0.0,0.0,,,,大,负
798719.0,41.0,2012/11/15 01:00,770.0,632.0,3-2,2-0,球会友谊,INT CF,73_马其顿,FYR Macedonia,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,大,胜
663856.0,650.0,2012/10/17 02:30,770.0,642.0,1-0,0-0,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,37_塞尔维亚,Serbia,0.0,1.0,,,,小,胜
663857.0,650.0,2012/10/13 02:30,770.0,768.0,1-2,1-1,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,15_克罗地亚,Croatia,0.0,0.0,,,,大,负
663860.0,650.0,2012/09/12 03:00,641.0,770.0,1-1,1-1,欧洲预选,WCPEU,32_苏格兰,Scotland,73_马其顿,FYR Macedonia,0.0,0.0,,,,小,平
663865.0,650.0,2012/09/08 02:15,768.0,770.0,1-0,0-0,欧洲预选,WCPEU,15_克罗地亚,Croatia,73_马其顿,FYR Macedonia,0.0,0.0,,,,小,负
759162.0,41.0,2012/08/16 02:30,770.0,905.0,1-0,0-0,球会友谊,INT CF,73_马其顿,FYR Macedonia,147_立陶宛,Lithuania,0.0,0.0,,,,小,胜
707215.0,41.0,2012/05/30 01:00,804.0,770.0,0-0,0-0,球会友谊,INT CF,142_安哥拉,Angola,73_马其顿,FYR Macedonia,0.0,0.0,,,,小,平
