赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542719.0,95.0,2019/01/15 22:00,879.0,881.0,,,亚洲杯,AFC,75_巴勒斯坦,Palestine,113_约旦,Jordan,0.0,0.0,,,,,
1542717.0,95.0,2019/01/12 01:00,879.0,913.0,,,亚洲杯,AFC,75_巴勒斯坦,Palestine,36_澳大利亚,Australia,0.0,0.0,,,,,
1542715.0,95.0,2019/01/07 01:00,899.0,879.0,,,亚洲杯,AFC,76_叙利亚,Syrian,75_巴勒斯坦,Palestine,0.0,0.0,,,,,
1542174.0,1366.0,2018/05/11 23:59,895.0,879.0,2-0,1-0,国际友谊,INT FRL,174_科威特,Kuwait,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,输,走,负
1540905.0,1366.0,2018/05/08 18:15,874.0,879.0,0-0,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,75_巴勒斯坦,Palestine,0.0,0.0,,,,,平
1371545.0,95.0,2018/03/27 23:00,902.0,879.0,1-0,0-0,亚洲杯,AFC,101_阿曼,Oman,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,输,小,负
1519557.0,1366.0,2018/03/22 23:59,900.0,879.0,0-0,0-0,国际友谊,INT FRL,122_巴林,Bahrain,75_巴勒斯坦,Palestine,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1371544.0,95.0,2017/11/14 22:00,879.0,882.0,8-1,4-0,亚洲杯,AFC,75_巴勒斯坦,Palestine,150_马尔代夫,Maldives,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1371542.0,95.0,2017/10/10 22:00,879.0,7818.0,10-0,6-0,亚洲杯,AFC,75_巴勒斯坦,Palestine,188_不丹,Bhutan,0.0,0.0,,四球半/五球|4.5/5,赢,大,胜
1371539.0,95.0,2017/09/05 20:00,7818.0,879.0,0-2,0-0,亚洲杯,AFC,188_不丹,Bhutan,75_巴勒斯坦,Palestine,0.0,0.0,,受让四球/四球半|-4/-4.5,输,小,胜
1414996.0,41.0,2017/07/12 23:00,1902.0,879.0,1-0,0-0,球会友谊,INT CF,220_弱鸡,NA Hussein Dey,75_巴勒斯坦,Palestine,0.0,0.0,,,,,负
1371538.0,95.0,2017/06/14 04:00,879.0,902.0,2-1,2-1,亚洲杯,AFC,75_巴勒斯坦,Palestine,101_阿曼,Oman,0.0,0.0,,平手|0,赢,大,胜
1391055.0,1366.0,2017/06/07 03:00,900.0,879.0,0-2,0-0,国际友谊,INT FRL,122_巴林,Bahrain,75_巴勒斯坦,Palestine,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1371536.0,95.0,2017/03/28 23:59,882.0,879.0,0-3,0-0,亚洲杯,AFC,150_马尔代夫,Maldives,75_巴勒斯坦,Palestine,0.0,0.0,,受让半球|-0.5,赢,大,胜
1371327.0,1366.0,2017/03/22 23:00,877.0,879.0,0-1,0-0,国际友谊,INT FRL,138_也门,Yemen,75_巴勒斯坦,Palestine,0.0,0.0,,受让半球|-0.5,赢,小,胜
1329974.0,1366.0,2016/11/15 02:00,31116.0,879.0,0-0,0-0,国际友谊,INT FRL,220_弱鸡,Morocco B,75_巴勒斯坦,Palestine,0.0,0.0,,,,,平
1327397.0,1366.0,2016/11/10 23:30,897.0,879.0,1-1,1-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,75_巴勒斯坦,Palestine,0.0,1.0,,半球/一球|0.5/1,赢,小,平
1319015.0,1366.0,2016/10/05 21:00,884.0,879.0,3-3,1-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,75_巴勒斯坦,Palestine,0.0,0.0,,半球|0.5,赢,大,平
1306157.0,1366.0,2016/09/06 23:00,879.0,884.0,1-1,0-1,国际友谊,INT FRL,75_巴勒斯坦,Palestine,126_塔吉克斯坦,Tajikistan,0.0,0.0,,半球/一球|0.5/1,输,小,平
1124598.0,648.0,2016/03/29 22:00,879.0,1564.0,7-0,4-0,亚洲预选,FIFA WCQL,75_巴勒斯坦,Palestine,191_东帝汶,Timor Leste,0.0,0.0,,两球/两球半|2/2.5,赢,大,胜
1124599.0,648.0,2016/03/24 23:00,887.0,879.0,2-0,1-0,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,75_巴勒斯坦,Palestine,0.0,1.0,,球半/两球|1.5/2,输,小,负
