赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542718.0,95.0,2019/01/15 22:00,913.0,899.0,,,亚洲杯,AFC,36_澳大利亚,Australia,76_叙利亚,Syrian,0.0,0.0,,,,,
1542716.0,95.0,2019/01/10 22:00,881.0,899.0,,,亚洲杯,AFC,113_约旦,Jordan,76_叙利亚,Syrian,0.0,0.0,,,,,
1542715.0,95.0,2019/01/07 01:00,899.0,879.0,,,亚洲杯,AFC,76_叙利亚,Syrian,75_巴勒斯坦,Palestine,0.0,0.0,,,,,
1556808.0,1366.0,2018/06/23 23:15,899.0,2621.0,1-2,0-1,国际友谊,INT FRL,76_叙利亚,Syrian,220_弱鸡,NK Rudar Velenje,0.0,0.0,,,,,负
1521977.0,1366.0,2018/03/27 23:59,874.0,899.0,1-1,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,,,,平
1521861.0,1366.0,2018/03/24 23:59,904.0,899.0,2-2,0-0,国际友谊,INT FRL,103_卡塔尔,Qatar,76_叙利亚,Syrian,0.0,0.0,,平手|0,走,大,平
1477183.0,1366.0,2017/11/13 23:00,874.0,899.0,1-1,1-1,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1457567.0,648.0,2017/10/10 17:00,913.0,899.0,1-1,1-1,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,76_叙利亚,Syrian,0.0,1.0,"90,1-1;2-2;1,2-1;;1",球半|1.5,赢,小,平
1457566.0,648.0,2017/10/05 20:30,899.0,913.0,1-1,0-1,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,36_澳大利亚,Australia,0.0,0.0,,受让半球|-0.5,赢,小,平
1237353.0,648.0,2017/09/05 23:00,783.0,899.0,2-2,1-1,亚洲预选,FIFA WCQL,34_伊朗,Iran,76_叙利亚,Syrian,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1237359.0,648.0,2017/08/31 20:00,899.0,904.0,3-1,1-1,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,103_卡塔尔,Qatar,0.0,0.0,,平手|0,赢,大,胜
1452045.0,1366.0,2017/08/26 18:00,899.0,874.0,1-1,1-0,国际友谊,INT FRL,76_叙利亚,Syrian,82_伊拉克,Iraq,0.0,0.0,,,,,平
1449127.0,1366.0,2017/08/22 20:45,889.0,899.0,1-2,0-0,国际友谊,INT FRL,175_马来西亚,Malaysia,76_叙利亚,Syrian,0.0,0.0,,受让半球|-0.5,赢,大,胜
1237367.0,648.0,2017/06/13 21:45,899.0,896.0,2-2,1-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,70_中国,China,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,平
1391067.0,220.0,2017/06/07 18:25,903.0,899.0,1-1,0-0,麒麟杯,KIR Cup,56_日本,Japan,76_叙利亚,Syrian,0.0,0.0,,两球半|2.5,赢,小,平
1389643.0,1366.0,2017/06/03 02:30,902.0,899.0,1-1,0-0,国际友谊,INT FRL,101_阿曼,Oman,76_叙利亚,Syrian,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1237376.0,648.0,2017/03/28 19:00,898.0,899.0,1-0,1-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,76_叙利亚,Syrian,0.0,0.0,,球半|1.5,赢,小,负
1237377.0,648.0,2017/03/23 20:00,899.0,875.0,1-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,77_乌兹别克,Uzbekistan,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1237383.0,648.0,2016/11/15 20:45,899.0,783.0,0-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,34_伊朗,Iran,0.0,0.0,,受让一球|-1,赢,小,平
1327404.0,1366.0,2016/11/09 20:00,899.0,892.0,2-0,0-0,国际友谊,INT FRL,76_叙利亚,Syrian,173_新加坡,Singapore,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1237391.0,648.0,2016/10/11 23:59,904.0,899.0,1-0,1-0,亚洲预选,FIFA WCQL,103_卡塔尔,Qatar,76_叙利亚,Syrian,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1237400.0,648.0,2016/10/06 19:35,896.0,899.0,0-1,0-0,亚洲预选,FIFA WCQL,70_中国,China,76_叙利亚,Syrian,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1237401.0,648.0,2016/09/06 20:00,899.0,898.0,0-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,59_韩国,Korea Republic,0.0,0.0,,受让球半|-1.5,赢,小,平
1237408.0,648.0,2016/09/01 23:00,875.0,899.0,1-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,76_叙利亚,Syrian,0.0,0.0,,半球/一球|0.5/1,输,小,负
1303721.0,1366.0,2016/08/27 20:00,884.0,899.0,0-0,0-0,国际友谊,INT FRL,126_塔吉克斯坦,Tajikistan,76_叙利亚,Syrian,0.0,0.0,,,,,平
1244937.0,1366.0,2016/06/05 18:00,899.0,887.0,1-0,0-0,国际友谊,INT FRL,76_叙利亚,Syrian,78_阿联酋,United Arab Emirates,0.0,0.0,,受让半球|-0.5,赢,小,胜
1244120.0,1366.0,2016/06/03 21:00,886.0,899.0,2-2,2-0,国际友谊,INT FRL,129_泰国,Thailand,76_叙利亚,Syrian,0.0,0.0,"90,2-2;;;7-6;1",半球|0.5,赢,大,平
1243499.0,1366.0,2016/05/31 19:00,883.0,899.0,2-0,2-0,国际友谊,INT FRL,112_越南,Vietnam,76_叙利亚,Syrian,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1124689.0,648.0,2016/03/29 18:30,903.0,899.0,5-0,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,76_叙利亚,Syrian,0.0,0.0,,球半/两球|1.5/2,输,大,负
1124692.0,648.0,2016/03/24 23:59,899.0,1565.0,6-0,2-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,172_柬埔寨,Cambodia,0.0,0.0,,四球/四球半|4/4.5,赢,大,胜
1228619.0,1366.0,2016/03/18 19:00,874.0,899.0,0-1,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,,,,胜
1124694.0,648.0,2015/11/17 20:00,892.0,899.0,1-2,0-1,亚洲预选,FIFA WCQL,173_新加坡,Singapore,76_叙利亚,Syrian,1.0,0.0,,受让一球|-1,走,大,胜
1124697.0,648.0,2015/10/13 23:59,899.0,6651.0,5-2,3-1,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,148_阿富汗,Afghanistan,0.0,0.0,,两球|2,赢,大,胜
1124699.0,648.0,2015/10/08 21:00,899.0,903.0,0-3,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,56_日本,Japan,0.0,0.0,,受让球半|-1.5,输,大,负
1191904.0,1366.0,2015/10/02 22:30,902.0,899.0,2-1,0-0,国际友谊,INT FRL,101_阿曼,Oman,76_叙利亚,Syrian,0.0,0.0,,,,,负
1192009.0,41.0,2015/10/02 21:45,892.0,899.0,2-1,1-0,球会友谊,INT CF,173_新加坡,Singapore,76_叙利亚,Syrian,0.0,0.0,,,,,负
1124702.0,648.0,2015/09/08 19:30,1565.0,899.0,0-6,0-4,亚洲预选,FIFA WCQL,172_柬埔寨,Cambodia,76_叙利亚,Syrian,0.0,0.0,,受让两球半|-2.5,赢,大,胜
1124703.0,648.0,2015/09/03 23:59,899.0,892.0,1-0,0-0,亚洲预选,FIFA WCQL,76_叙利亚,Syrian,173_新加坡,Singapore,0.0,0.0,,球半/两球|1.5/2,输,小,胜
