赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542743.0,95.0,2019/01/18 01:00,875.0,903.0,,,亚洲杯,AFC,77_乌兹别克,Uzbekistan,56_日本,Japan,0.0,0.0,,,,,
1542740.0,95.0,2019/01/13 19:00,875.0,825.0,,,亚洲杯,AFC,77_乌兹别克,Uzbekistan,114_土库曼斯坦,Turkmenistan,0.0,0.0,,,,,
1542739.0,95.0,2019/01/10 01:00,902.0,875.0,,,亚洲杯,AFC,101_阿曼,Oman,77_乌兹别克,Uzbekistan,0.0,0.0,,,,,
1543783.0,1366.0,2018/06/08 07:10,767.0,875.0,3-0,1-0,国际友谊,INT FRL,22_乌拉圭,Uruguay,77_乌兹别克,Uzbekistan,0.0,1.0,,两球/两球半|2/2.5,输,走,负
1546790.0,1366.0,2018/05/31 22:00,875.0,793.0,推迟,,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,45_喀麦隆,Cameroon,0.0,0.0,,,,,
1540992.0,1366.0,2018/05/20 00:30,783.0,875.0,1-0,1-0,国际友谊,INT FRL,34_伊朗,Iran,77_乌兹别克,Uzbekistan,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1521503.0,1366.0,2018/03/28 03:00,813.0,875.0,2-0,2-0,国际友谊,INT FRL,39_摩洛哥,Morocco,77_乌兹别克,Uzbekistan,0.0,0.0,,半球/一球|0.5/1,输,走,负
1520454.0,1366.0,2018/03/24 00:30,815.0,875.0,1-1,0-1,国际友谊,INT FRL,24_塞内加尔,Senegal,77_乌兹别克,Uzbekistan,0.0,0.0,,半球|0.5,赢,走,平
1477396.0,1366.0,2017/11/14 20:55,887.0,875.0,1-0,1-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,77_乌兹别克,Uzbekistan,1.0,0.0,,平手|0,输,小,负
1237354.0,648.0,2017/09/05 23:00,875.0,898.0,0-0,0-0,亚洲预选,FIFA WCQL,77_乌兹别克,Uzbekistan,59_韩国,Korea Republic,0.0,0.0,,平手|0,走,小,平
1237363.0,648.0,2017/08/31 20:00,896.0,875.0,1-0,0-0,亚洲预选,FIFA WCQL,70_中国,China,77_乌兹别克,Uzbekistan,0.0,0.0,,平手/半球|0/0.5,输,小,负
1451817.0,1366.0,2017/08/25 23:00,875.0,885.0,5-0,2-0,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,116_吉尔吉斯斯坦,Kyrgyzstan,0.0,0.0,,,,,胜
