赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542713.0,95.0,2019/01/15 01:00,887.0,886.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,129_泰国,Thailand,0.0,0.0,,,,,
1542711.0,95.0,2019/01/11 01:00,887.0,893.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,102_印度,India,0.0,0.0,,,,,
1542708.0,95.0,2019/01/06 01:00,887.0,900.0,,,亚洲杯,AFC,78_阿联酋,United Arab Emirates,122_巴林,Bahrain,0.0,0.0,,,,,
1523876.0,1366.0,2018/03/25 17:30,887.0,788.0,0-1,0-1,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,93_加蓬,Gabon,0.0,0.0,,平手/半球|0/0.5,输,小,负
1519556.0,1366.0,2018/03/22 17:30,752.0,887.0,2-1,2-0,国际友谊,INT FRL,28_斯洛伐克,Slovakia,78_阿联酋,United Arab Emirates,0.0,0.0,,球半|1.5,赢,大,负
1488140.0,161.0,2018/01/05 22:30,902.0,887.0,0-0,0-0,海湾运,GC,101_阿曼,Oman,78_阿联酋,United Arab Emirates,0.0,0.0,"90,0-0;;1,0-0;5-4;1",平手|0,走,小,平
1487274.0,161.0,2018/01/03 01:30,874.0,887.0,0-0,0-0,海湾运,GC,82_伊拉克,Iraq,78_阿联酋,United Arab Emirates,0.0,0.0,"90,0-0;;1,0-0;2-4;2",平手|0,走,小,平
1485910.0,161.0,2017/12/28 23:30,895.0,887.0,0-0,0-0,海湾运,GC,174_科威特,Kuwait,78_阿联酋,United Arab Emirates,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1485908.0,161.0,2017/12/25 22:30,887.0,891.0,0-0,0-0,海湾运,GC,78_阿联酋,United Arab Emirates,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,半球|0.5,输,小,平
1485907.0,161.0,2017/12/23 02:10,902.0,887.0,0-1,0-1,海湾运,GC,101_阿曼,Oman,78_阿联酋,United Arab Emirates,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1485747.0,1366.0,2017/12/17 22:10,887.0,874.0,1-0,1-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,82_伊拉克,Iraq,0.0,0.0,,,,,胜
1477396.0,1366.0,2017/11/14 20:55,887.0,875.0,1-0,1-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,77_乌兹别克,Uzbekistan,1.0,0.0,,平手|0,赢,小,胜
1478323.0,41.0,2017/11/10 21:00,887.0,909.0,0-1,0-1,球会友谊,INT CF,78_阿联酋,United Arab Emirates,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,输,小,负
1237357.0,648.0,2017/09/05 22:00,874.0,887.0,1-0,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,78_阿联酋,United Arab Emirates,0.0,0.0,,平手|0,输,小,负
1237360.0,648.0,2017/08/30 00:30,887.0,891.0,2-1,1-1,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,65_沙特阿拉伯,Saudi Arabia,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1237370.0,648.0,2017/06/13 20:00,886.0,887.0,1-1,0-0,亚洲预选,FIFA WCQL,129_泰国,Thailand,78_阿联酋,United Arab Emirates,0.0,0.0,,受让一球|-1,输,小,平
1392948.0,1366.0,2017/06/07 21:00,887.0,880.0,4-0,2-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,183_老挝,Laos,0.0,0.0,,,,,胜
1237373.0,648.0,2017/03/28 17:00,913.0,887.0,2-0,1-0,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,78_阿联酋,United Arab Emirates,0.0,0.0,,一球/球半|1/1.5,输,小,负
1237379.0,648.0,2017/03/23 23:30,887.0,903.0,0-2,0-1,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,56_日本,Japan,0.0,0.0,,受让半球|-0.5,输,小,负
1237384.0,648.0,2016/11/15 23:20,887.0,874.0,2-0,1-0,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,82_伊拉克,Iraq,0.0,0.0,,半球|0.5,赢,小,胜
