赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393578.0,93.0,2018/11/13 23:00,734.0,803.0,,,非洲杯,CAF NC,89_利比亚,Libya,78_南非,South Africa,0.0,0.0,,,,,
1393576.0,93.0,2018/10/16 23:00,803.0,789.0,,,非洲杯,CAF NC,78_南非,South Africa,51_尼日利亚,Nigeria,0.0,0.0,,,,,
1393575.0,93.0,2018/09/11 23:00,5289.0,803.0,,,非洲杯,CAF NC,192_塞舌尔,Seychelles,78_南非,South Africa,0.0,0.0,,,,,
1393570.0,93.0,2018/09/07 23:00,803.0,734.0,,,非洲杯,CAF NC,78_南非,South Africa,89_利比亚,Libya,0.0,0.0,,,,,
1393573.0,93.0,2018/09/03 23:00,803.0,5289.0,,,非洲杯,CAF NC,78_南非,South Africa,192_塞舌尔,Seychelles,0.0,0.0,,,,,
1548862.0,1311.0,2018/06/08 23:00,803.0,920.0,3-0,1-0,南非洲杯,SACC,78_南非,South Africa,149_博茨瓦纳,Botswana,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1548494.0,1311.0,2018/06/05 23:00,803.0,4494.0,4-1,3-1,南非洲杯,SACC,78_南非,South Africa,111_纳米比亚,Namibia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1548034.0,1311.0,2018/06/03 21:00,803.0,5295.0,0-0,0-0,南非洲杯,SACC,78_南非,South Africa,109_马达加斯加,Madagascar,0.0,0.0,"90,0-0;;1,0-0;3-4;2",半球/一球|0.5/1,输,小,平
1524213.0,1366.0,2018/03/24 23:00,807.0,803.0,0-2,0-1,国际友谊,INT FRL,72_赞比亚,Zambia,78_南非,South Africa,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1521868.0,1366.0,2018/03/21 21:00,803.0,804.0,1-1,0-1,国际友谊,INT FRL,78_南非,South Africa,142_安哥拉,Angola,0.0,0.0,"90,1-1;;;6-5;1",半球/一球|0.5/1,输,小,平
1327130.0,651.0,2017/11/15 03:30,815.0,803.0,2-1,0-0,非洲预选,WCPAF,24_塞内加尔,Senegal,78_南非,South Africa,0.0,0.0,,一球|1,走,大,负
1477798.0,651.0,2017/11/11 01:00,803.0,815.0,0-2,0-2,非洲预选,WCPAF,78_南非,South Africa,24_塞内加尔,Senegal,0.0,0.0,,平手|0,输,走,负
1327128.0,651.0,2017/10/07 21:00,803.0,791.0,3-1,3-0,非洲预选,WCPAF,78_南非,South Africa,44_布基纳法索,Burkina Faso,1.0,0.0,,平手/半球|0/0.5,赢,大,胜
1456792.0,651.0,2017/09/06 01:00,803.0,790.0,1-2,0-0,非洲预选,WCPAF,78_南非,South Africa,63_佛得角,Cape Verde,0.0,0.0,,一球|1,输,大,负
1327123.0,651.0,2017/09/02 02:30,790.0,803.0,2-1,2-1,非洲预选,WCPAF,63_佛得角,Cape Verde,78_南非,South Africa,0.0,1.0,,平手|0,输,大,负
