赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502112.0,1864.0,2018/11/21 03:45,765.0,637.0,,,欧国联,UEFA  NL,3_葡萄牙,Portugal,7_波兰,Poland,0.0,0.0,,,,,
1502110.0,1864.0,2018/10/15 02:45,637.0,771.0,,,欧国联,UEFA  NL,7_波兰,Poland,14_意大利,Italy,0.0,0.0,,,,,
1502109.0,1864.0,2018/10/12 02:45,637.0,765.0,,,欧国联,UEFA  NL,7_波兰,Poland,3_葡萄牙,Portugal,0.0,0.0,,,,,
1502107.0,1864.0,2018/09/08 02:45,771.0,637.0,,,欧国联,UEFA  NL,14_意大利,Italy,7_波兰,Poland,0.0,0.0,,,,,
1482869.0,75.0,2018/06/28 22:00,903.0,637.0,,,世界杯,World Cup,56_日本,Japan,7_波兰,Poland,0.0,0.0,,,,,
1482868.0,75.0,2018/06/25 02:00,637.0,775.0,0-3,0-1,世界杯,World Cup,7_波兰,Poland,13_哥伦比亚,Colombia,0.0,0.0,,平手|0,输,大,负
1482865.0,75.0,2018/06/19 23:00,637.0,815.0,1-2,0-1,世界杯,World Cup,7_波兰,Poland,24_塞内加尔,Senegal,0.0,0.0,,平手/半球|0/0.5,输,大,负
1543818.0,1366.0,2018/06/12 23:59,637.0,905.0,4-0,2-0,国际友谊,INT FRL,7_波兰,Poland,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,赢,大,胜
1543812.0,1366.0,2018/06/09 02:45,637.0,780.0,2-2,2-1,国际友谊,INT FRL,7_波兰,Poland,10_智利,Chile,0.0,0.0,,半球|0.5,输,大,平
1521500.0,1366.0,2018/03/28 02:45,637.0,898.0,3-2,2-0,国际友谊,INT FRL,7_波兰,Poland,59_韩国,Korea Republic,0.0,0.0,,半球|0.5,赢,大,胜
1518993.0,1366.0,2018/03/24 03:45,637.0,789.0,0-1,0-0,国际友谊,INT FRL,7_波兰,Poland,51_尼日利亚,Nigeria,0.0,0.0,,半球|0.5,输,小,负
1477401.0,1366.0,2017/11/14 03:45,637.0,819.0,0-1,0-1,国际友谊,INT FRL,7_波兰,Poland,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,输,小,负
1476826.0,1366.0,2017/11/11 03:45,637.0,767.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,输,小,平
1198529.0,650.0,2017/10/08 23:59,637.0,5282.0,4-2,2-0,欧洲预选,WCPEU,7_波兰,Poland,46_黑山,Montenegro,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1198524.0,650.0,2017/10/05 23:59,748.0,637.0,1-6,1-3,欧洲预选,WCPEU,90_阿美尼亚,Armenia,7_波兰,Poland,0.0,0.0,,受让球半/两球|-1.5/-2,赢,大,胜
1198522.0,650.0,2017/09/05 02:45,637.0,763.0,3-0,1-0,欧洲预选,WCPEU,7_波兰,Poland,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,两球/两球半|2/2.5,赢,小,胜
1198519.0,650.0,2017/09/02 02:45,638.0,637.0,4-0,2-0,欧洲预选,WCPEU,12_丹麦,Denmark,7_波兰,Poland,0.0,0.0,,平手|0,输,大,负
1198517.0,650.0,2017/06/11 02:45,637.0,635.0,3-1,1-0,欧洲预选,WCPEU,7_波兰,Poland,40_罗马尼亚,Romania,0.0,0.0,,一球|1,赢,大,胜
1198513.0,650.0,2017/03/27 02:45,5282.0,637.0,1-2,0-1,欧洲预选,WCPEU,46_黑山,Montenegro,7_波兰,Poland,0.0,0.0,,受让半球|-0.5,赢,大,胜
1328249.0,1366.0,2016/11/15 03:45,637.0,632.0,1-1,0-1,国际友谊,INT FRL,7_波兰,Poland,64_斯洛文尼亚,Slovenia,0.0,0.0,,半球|0.5,输,小,平
1198510.0,650.0,2016/11/12 03:45,635.0,637.0,0-3,0-1,欧洲预选,WCPEU,40_罗马尼亚,Romania,7_波兰,Poland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1198508.0,650.0,2016/10/12 02:45,637.0,748.0,2-1,0-0,欧洲预选,WCPEU,7_波兰,Poland,90_阿美尼亚,Armenia,0.0,1.0,,球半/两球|1.5/2,输,大,胜
1198505.0,650.0,2016/10/09 02:45,637.0,638.0,3-2,2-0,欧洲预选,WCPEU,7_波兰,Poland,12_丹麦,Denmark,0.0,0.0,,半球|0.5,赢,大,胜
1198500.0,650.0,2016/09/04 23:59,763.0,637.0,2-2,0-2,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,7_波兰,Poland,0.0,0.0,,受让一球|-1,输,大,平
1256289.0,67.0,2016/07/01 03:00,765.0,637.0,1-1,1-1,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,7_波兰,Poland,0.0,0.0,"90,1-1;;1,1-1;5-3;1",平手/半球|0/0.5,赢,走,平
1251744.0,67.0,2016/06/25 21:00,648.0,637.0,1-1,0-1,欧洲杯,EURO  Cup,8_瑞士,Switzerland,7_波兰,Poland,0.0,0.0,"90,1-1;;1,1-1;4-5;2",平手|0,走,走,平
1201931.0,67.0,2016/06/21 23:59,634.0,637.0,0-1,0-0,欧洲杯,EURO  Cup,35_乌克兰,Ukraine,7_波兰,Poland,0.0,0.0,,平手|0,赢,小,胜
1201932.0,67.0,2016/06/17 03:00,650.0,637.0,0-0,0-0,欧洲杯,EURO  Cup,1_德国,Germany,7_波兰,Poland,0.0,0.0,,一球|1,赢,小,平
1201870.0,67.0,2016/06/12 23:59,637.0,759.0,1-0,0-0,欧洲杯,EURO  Cup,7_波兰,Poland,25_北爱尔兰,Northern Ireland,0.0,0.0,,半球|0.5,赢,小,胜
1244102.0,1366.0,2016/06/06 23:59,637.0,905.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,147_立陶宛,Lithuania,0.0,0.0,,球半|1.5,输,小,平
1243643.0,1366.0,2016/06/02 02:45,637.0,646.0,1-2,0-1,国际友谊,INT FRL,7_波兰,Poland,21_荷兰,Netherlands,0.0,0.0,,平手|0,输,大,负
1229348.0,1366.0,2016/03/27 00:30,637.0,736.0,5-0,3-0,国际友谊,INT FRL,7_波兰,Poland,68_芬兰,Finland,0.0,0.0,,一球|1,赢,大,胜
1228601.0,1366.0,2016/03/24 03:45,637.0,642.0,1-0,1-0,国际友谊,INT FRL,7_波兰,Poland,37_塞尔维亚,Serbia,0.0,0.0,,半球|0.5,赢,小,胜
1196949.0,1366.0,2015/11/18 03:45,637.0,747.0,3-1,2-1,国际友谊,INT FRL,7_波兰,Poland,48_捷克,Czech,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1196017.0,1366.0,2015/11/14 03:45,637.0,756.0,4-2,0-1,国际友谊,INT FRL,7_波兰,Poland,20_冰岛,Iceland,0.0,0.0,,半球|0.5,赢,大,胜
975004.0,67.0,2015/10/12 02:45,637.0,630.0,2-1,2-1,欧洲杯,EURO  Cup,7_波兰,Poland,32_爱尔兰,Ireland,0.0,1.0,,半球|0.5,赢,大,胜
975005.0,67.0,2015/10/09 02:45,641.0,637.0,2-2,1-1,欧洲杯,EURO  Cup,32_苏格兰,Scotland,7_波兰,Poland,0.0,0.0,,平手|0,走,大,平
975009.0,67.0,2015/09/08 02:45,637.0,5877.0,8-1,4-0,欧洲杯,EURO  Cup,7_波兰,Poland,220_弱鸡,Gibraltar,0.0,0.0,,5.25球|5.25,赢,大,胜
975011.0,67.0,2015/09/05 02:45,650.0,637.0,3-1,2-1,欧洲杯,EURO  Cup,1_德国,Germany,7_波兰,Poland,0.0,0.0,,一球/球半|1/1.5,输,大,负
1129893.0,1366.0,2015/06/17 02:45,637.0,757.0,0-0,0-0,国际友谊,INT FRL,7_波兰,Poland,47_希腊,Greece,0.0,0.0,,半球|0.5,输,小,平
975015.0,67.0,2015/06/13 23:59,637.0,901.0,4-0,0-0,欧洲杯,EURO  Cup,7_波兰,Poland,104_格鲁吉亚,Georgia,0.0,0.0,,球半|1.5,赢,大,胜
975017.0,67.0,2015/03/30 02:45,630.0,637.0,1-1,0-1,欧洲杯,EURO  Cup,32_爱尔兰,Ireland,7_波兰,Poland,0.0,0.0,,平手|0,走,小,平
1069717.0,1366.0,2014/11/19 03:45,637.0,648.0,2-2,1-1,国际友谊,INT FRL,7_波兰,Poland,8_瑞士,Switzerland,1.0,0.0,,平手/半球|0/0.5,输,大,平
975022.0,67.0,2014/11/15 01:00,901.0,637.0,0-4,0-0,欧洲杯,EURO  Cup,104_格鲁吉亚,Georgia,7_波兰,Poland,0.0,0.0,,受让半球|-0.5,赢,大,胜
975023.0,67.0,2014/10/15 02:45,637.0,641.0,2-2,1-1,欧洲杯,EURO  Cup,7_波兰,Poland,32_苏格兰,Scotland,0.0,0.0,,半球|0.5,输,大,平
975026.0,67.0,2014/10/12 02:45,637.0,650.0,2-0,0-0,欧洲杯,EURO  Cup,7_波兰,Poland,1_德国,Germany,0.0,0.0,,受让一球|-1,赢,小,胜
975030.0,67.0,2014/09/08 02:45,5877.0,637.0,0-7,0-1,欧洲杯,EURO  Cup,220_弱鸡,Gibraltar,7_波兰,Poland,0.0,0.0,,受让两球半/三球|-2.5/-3,赢,大,胜
985276.0,1366.0,2014/06/06 23:30,637.0,905.0,2-1,0-1,国际友谊,INT FRL,7_波兰,Poland,147_立陶宛,Lithuania,0.0,0.0,,一球/球半|1/1.5,输,大,胜
981887.0,1366.0,2014/05/14 02:45,650.0,637.0,0-0,0-0,国际友谊,INT FRL,1_德国,Germany,7_波兰,Poland,0.0,0.0,,一球/球半|1/1.5,赢,小,平
