赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1534095.0,1366.0,2018/04/18 07:30,912.0,798.0,0-1,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,,平手|0,输,小,负
1523178.0,1366.0,2018/03/24 08:00,5691.0,912.0,0-1,0-1,国际友谊,INT FRL,220_弱鸡,Guadeloupe,80_特立尼达和多巴哥,Trinidad   Tobago,1.0,1.0,,,,,胜
1477925.0,1366.0,2017/11/15 07:35,912.0,8029.0,1-1,0-1,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,164_圭亚那,Guyana,0.0,0.0,,,,,平
1477923.0,1366.0,2017/11/12 07:30,912.0,7296.0,2-2,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,159_格瑞那达,Grenada,0.0,0.0,,,,,平
1327142.0,653.0,2017/10/11 08:00,912.0,797.0,2-1,2-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,25_美国,USA,0.0,0.0,,受让球半|-1.5,赢,大,胜
1327143.0,653.0,2017/10/07 09:40,819.0,912.0,3-1,0-0,北美预选,WCPCA,17_墨西哥,Mexico,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球|2,走,大,负
1327146.0,653.0,2017/09/06 10:05,798.0,912.0,3-0,1-0,北美预选,WCPCA,53_巴拿马,Panama,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,一球/球半|1/1.5,输,大,负
1327150.0,653.0,2017/09/02 08:00,912.0,794.0,1-2,0-2,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,67_洪都拉斯,Honduras,1.0,1.0,,平手|0,输,大,负
1449130.0,1366.0,2017/08/25 08:00,912.0,799.0,1-2,1-1,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,55_牙买加,Jamaica,0.0,0.0,,平手|0,输,大,负
1427905.0,1366.0,2017/07/27 08:30,779.0,912.0,3-1,1-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半|1.5,输,大,负
1327154.0,653.0,2017/06/14 10:00,914.0,912.0,2-1,2-1,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球|2,赢,小,负
1327156.0,653.0,2017/06/09 08:00,797.0,912.0,2-0,0-0,北美预选,WCPCA,25_美国,USA,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球半|2.5,赢,小,负
1384620.0,1366.0,2017/04/30 07:30,7296.0,912.0,2-2,1-0,国际友谊,INT FRL,159_格瑞那达,Grenada,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,平
1327159.0,653.0,2017/03/29 07:00,912.0,819.0,0-1,0-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1327163.0,653.0,2017/03/25 07:00,912.0,798.0,1-0,1-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,,平手|0,赢,小,胜
1368363.0,1366.0,2017/03/11 07:00,912.0,1992.0,2-0,2-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,155_巴巴多斯,Barbados,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1338284.0,188.0,2017/01/09 05:00,912.0,909.0,2-2,2-2,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,87_海地,Haiti,0.0,0.0,"90,2-2;;1,3-4;;2",平手/半球|0/0.5,输,大,平
1338282.0,188.0,2017/01/05 07:00,912.0,8027.0,1-1,0-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_苏利南共和国,Suriname,0.0,0.0,,一球/球半|1/1.5,输,小,平
1337562.0,1366.0,2016/12/31 08:30,5091.0,912.0,1-3,1-1,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1337454.0,1366.0,2016/12/28 08:30,5091.0,912.0,2-1,1-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,半球|0.5,输,大,负
1327166.0,653.0,2016/11/16 06:05,794.0,912.0,3-1,2-0,北美预选,WCPCA,67_洪都拉斯,Honduras,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,一球|1,输,大,负
1327167.0,653.0,2016/11/12 07:00,912.0,914.0,0-2,0-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1320738.0,188.0,2016/10/12 08:00,16239.0,912.0,0-0,0-0,美加杯,CGC CZ,220_弱鸡,Martinique,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,"90,0-0;;1,2-0;;1",,,,平
1320736.0,188.0,2016/10/06 07:00,912.0,7538.0,4-0,3-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1196394.0,653.0,2016/09/07 08:15,797.0,912.0,4-0,1-0,北美预选,WCPCA,25_美国,USA,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半/两球|1.5/2,输,大,负
1196391.0,653.0,2016/09/03 07:00,912.0,801.0,2-2,1-1,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,128_危地马拉,Guatemala,0.0,1.0,,半球|0.5,输,大,平
1244127.0,1366.0,2016/06/03 19:35,896.0,912.0,4-2,2-0,国际友谊,INT FRL,70_中国,China,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,半球/一球|0.5/1,输,大,负
1243474.0,1366.0,2016/05/28 07:00,767.0,912.0,3-1,2-1,国际友谊,INT FRL,22_乌拉圭,Uruguay,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半/两球|1.5/2,输,大,负
1242859.0,1366.0,2016/05/24 09:35,774.0,912.0,4-0,2-0,国际友谊,INT FRL,11_秘鲁,Peru,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,1.0,,一球/球半|1/1.5,输,大,负
1196390.0,653.0,2016/03/30 07:30,912.0,1494.0,6-0,1-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1196387.0,653.0,2016/03/26 03:30,1494.0,912.0,2-3,1-0,北美预选,WCPCA,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,胜
1229393.0,1366.0,2016/03/20 08:00,7296.0,912.0,2-2,1-1,国际友谊,INT FRL,159_格瑞那达,Grenada,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,受让球半|-1.5,输,大,平
1203234.0,1366.0,2016/01/09 06:30,912.0,909.0,0-1,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,输,小,负
1196386.0,653.0,2015/11/18 07:40,912.0,797.0,0-0,0-0,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,25_美国,USA,0.0,0.0,,受让半球|-0.5,赢,小,平
1196920.0,653.0,2015/11/14 09:05,801.0,912.0,1-2,0-0,北美预选,WCPCA,128_危地马拉,Guatemala,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1192292.0,1366.0,2015/10/09 09:35,798.0,912.0,1-2,0-1,国际友谊,INT FRL,53_巴拿马,Panama,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,半球|0.5,赢,大,胜
1180838.0,1366.0,2015/09/05 10:05,819.0,912.0,3-3,1-2,国际友谊,INT FRL,17_墨西哥,Mexico,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半|1.5,赢,大,平
1149818.0,232.0,2015/07/20 04:30,912.0,798.0,1-1,0-1,美金杯,CGC,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,"90,1-1;;1,0-0;5-6;2",平手|0,走,走,平
1129127.0,232.0,2015/07/16 08:30,819.0,912.0,4-4,1-0,美金杯,CGC,17_墨西哥,Mexico,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半/两球|1.5/2,赢,大,平
1129125.0,232.0,2015/07/13 06:30,912.0,1991.0,2-0,2-0,美金杯,CGC,80_特立尼达和多巴哥,Trinidad   Tobago,181_古巴,cuba,0.0,0.0,,球半/两球|1.5/2,赢,小,胜
1129122.0,232.0,2015/07/10 07:05,912.0,801.0,3-1,3-0,美金杯,CGC,80_特立尼达和多巴哥,Trinidad   Tobago,128_危地马拉,Guatemala,0.0,0.0,,平手|0,赢,大,胜
1130108.0,1366.0,2015/06/16 23:59,881.0,912.0,3-0,2-0,国际友谊,INT FRL,113_约旦,Jordan,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,平手/半球|0/0.5,输,大,负
1129302.0,1366.0,2015/06/06 08:00,17976.0,912.0,1-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,负
1110334.0,1366.0,2015/03/28 07:00,912.0,798.0,0-1,0-1,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,53_巴拿马,Panama,0.0,0.0,,平手/半球|0/0.5,输,小,负
1070725.0,188.0,2014/11/19 09:00,799.0,912.0,0-0,0-0,美加杯,CGC CZ,55_牙买加,Jamaica,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,"90,0-0;;1,0-0;4-3;1",,,,平
1069075.0,188.0,2014/11/16 09:00,1991.0,912.0,0-0,0-0,美加杯,CGC CZ,181_古巴,cuba,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,平
1069074.0,188.0,2014/11/14 06:30,912.0,20412.0,4-2,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,220_弱鸡,French Guiana,0.0,1.0,,,,,胜
1069072.0,188.0,2014/11/12 06:30,17976.0,912.0,2-3,1-2,美加杯,CGC CZ,84_库拉索,Curacao,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,胜
1064641.0,188.0,2014/10/13 06:20,912.0,8028.0,1-0,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
1064639.0,188.0,2014/10/11 08:15,912.0,8026.0,2-0,1-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,175_圣路西亚,St. Lucia,0.0,0.0,,,,,胜
1064637.0,188.0,2014/10/09 08:20,912.0,7538.0,6-1,4-0,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
985126.0,1366.0,2014/06/09 02:00,783.0,912.0,2-0,1-0,国际友谊,INT FRL,34_伊朗,Iran,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,半球|0.5,输,走,负
984649.0,1366.0,2014/06/05 06:15,766.0,912.0,3-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,两球半/三球|2.5/3,输,小,负
