赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542730.0,95.0,2019/01/16 20:00,874.0,783.0,,,亚洲杯,AFC,82_伊拉克,Iraq,34_伊朗,Iran,0.0,0.0,,,,,
1542729.0,95.0,2019/01/12 20:00,874.0,877.0,,,亚洲杯,AFC,82_伊拉克,Iraq,138_也门,Yemen,0.0,0.0,,,,,
1542727.0,95.0,2019/01/08 22:00,883.0,874.0,,,亚洲杯,AFC,112_越南,Vietnam,82_伊拉克,Iraq,0.0,0.0,,,,,
1540905.0,1366.0,2018/05/08 18:15,874.0,879.0,0-0,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,75_巴勒斯坦,Palestine,0.0,0.0,,,,,平
1521977.0,1366.0,2018/03/27 23:59,874.0,899.0,1-1,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,,,,平
1521856.0,1366.0,2018/03/21 23:59,874.0,904.0,2-3,1-2,国际友谊,INT FRL,82_伊拉克,Iraq,103_卡塔尔,Qatar,0.0,0.0,,平手/半球|0/0.5,输,大,负
1511480.0,1366.0,2018/02/28 23:59,874.0,891.0,4-1,1-0,国际友谊,INT FRL,82_伊拉克,Iraq,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,胜
1487274.0,161.0,2018/01/03 01:30,874.0,887.0,0-0,0-0,海湾运,GC,82_伊拉克,Iraq,78_阿联酋,United Arab Emirates,0.0,0.0,"90,0-0;;1,0-0;2-4;2",平手|0,走,小,平
1485917.0,161.0,2017/12/29 23:30,874.0,877.0,3-0,0-0,海湾运,GC,82_伊拉克,Iraq,138_也门,Yemen,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1485915.0,161.0,2017/12/27 01:00,874.0,904.0,2-1,1-1,海湾运,GC,82_伊拉克,Iraq,103_卡塔尔,Qatar,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1485913.0,161.0,2017/12/24 01:00,900.0,874.0,1-1,0-0,海湾运,GC,122_巴林,Bahrain,82_伊拉克,Iraq,0.0,0.0,,受让半球|-0.5,输,走,平
1485747.0,1366.0,2017/12/17 22:10,887.0,874.0,1-0,1-0,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,82_伊拉克,Iraq,0.0,0.0,,,,,负
1477183.0,1366.0,2017/11/13 23:00,874.0,899.0,1-1,1-1,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,平手/半球|0/0.5,输,小,平
1466902.0,1366.0,2017/10/05 23:59,874.0,921.0,2-1,2-0,国际友谊,INT FRL,82_伊拉克,Iraq,105_肯尼亚,Kenya,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1237357.0,648.0,2017/09/05 22:00,874.0,887.0,1-0,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,78_阿联酋,United Arab Emirates,0.0,0.0,,平手|0,赢,小,胜
1237362.0,648.0,2017/08/31 20:00,886.0,874.0,1-2,0-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,82_伊拉克,Iraq,1.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1452045.0,1366.0,2017/08/26 18:00,899.0,874.0,1-1,1-0,国际友谊,INT FRL,76_叙利亚,Syrian,82_伊拉克,Iraq,0.0,0.0,,,,,平
1237369.0,648.0,2017/06/13 20:25,874.0,903.0,1-1,0-1,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,56_日本,Japan,0.0,0.0,,受让一球|-1,赢,小,平
1391069.0,1366.0,2017/06/08 01:00,874.0,898.0,0-0,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,59_韩国,Korea Republic,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1389645.0,1366.0,2017/06/02 03:00,874.0,881.0,1-0,1-0,国际友谊,INT FRL,82_伊拉克,Iraq,113_约旦,Jordan,0.0,0.0,,半球|0.5,赢,小,胜
1237374.0,648.0,2017/03/29 01:30,891.0,874.0,1-0,0-0,亚洲预选,FIFA WCQL,65_沙特阿拉伯,Saudi Arabia,82_伊拉克,Iraq,0.0,0.0,,一球|1,走,小,负
1237380.0,648.0,2017/03/23 20:00,874.0,913.0,1-1,0-1,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,36_澳大利亚,Australia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1369622.0,1366.0,2017/03/18 15:30,783.0,874.0,0-1,0-0,国际友谊,INT FRL,34_伊朗,Iran,82_伊拉克,Iraq,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1237384.0,648.0,2016/11/15 23:20,887.0,874.0,2-0,1-0,亚洲预选,FIFA WCQL,78_阿联酋,United Arab Emirates,82_伊拉克,Iraq,0.0,0.0,,半球|0.5,输,小,负
1328027.0,1366.0,2016/11/06 23:59,881.0,874.0,0-0,0-0,国际友谊,INT FRL,113_约旦,Jordan,82_伊拉克,Iraq,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1237393.0,648.0,2016/10/11 20:30,874.0,886.0,4-0,2-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,129_泰国,Thailand,0.0,1.0,,半球/一球|0.5/1,赢,大,胜
1237398.0,648.0,2016/10/06 18:35,903.0,874.0,2-1,1-0,亚洲预选,FIFA WCQL,56_日本,Japan,82_伊拉克,Iraq,0.0,0.0,,球半|1.5,赢,大,负
1237404.0,648.0,2016/09/06 19:00,874.0,891.0,1-2,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1237410.0,648.0,2016/09/01 18:30,913.0,874.0,2-0,0-0,亚洲预选,FIFA WCQL,36_澳大利亚,Australia,82_伊拉克,Iraq,0.0,0.0,,球半|1.5,输,小,负
1287423.0,1366.0,2016/08/08 23:59,904.0,874.0,2-1,1-0,国际友谊,INT FRL,103_卡塔尔,Qatar,82_伊拉克,Iraq,0.0,0.0,,半球|0.5,输,大,负
1274065.0,1366.0,2016/07/24 22:00,875.0,874.0,2-1,2-0,国际友谊,INT FRL,77_乌兹别克,Uzbekistan,82_伊拉克,Iraq,0.0,0.0,,平手|0,输,大,负
1273361.0,1366.0,2016/07/21 21:00,5200.0,874.0,2-1,1-0,国际友谊,INT FRL,220_弱鸡,Uzbekistan U23,82_伊拉克,Iraq,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1257366.0,41.0,2016/07/02 22:00,426.0,874.0,0-1,0-1,球会友谊,INT CF,220_弱鸡,Kalmar,82_伊拉克,Iraq,0.0,0.0,,,,,胜
1124710.0,648.0,2016/03/29 22:00,874.0,883.0,1-0,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,112_越南,Vietnam,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1124712.0,648.0,2016/03/24 22:00,874.0,886.0,2-2,0-1,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,129_泰国,Thailand,0.0,0.0,,半球/一球|0.5/1,输,大,平
1228619.0,1366.0,2016/03/18 19:00,874.0,899.0,0-1,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,76_叙利亚,Syrian,0.0,0.0,,,,,负
1124713.0,648.0,2015/11/17 19:00,5288.0,874.0,0-2,0-1,亚洲预选,FIFA WCQL,134_中国台北,Chinese Taipei,82_伊拉克,Iraq,0.0,0.0,,受让两球半/三球|-2.5/-3,输,小,胜
1124715.0,648.0,2015/11/08 20:00,874.0,890.0,取消,,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,160_印度尼西亚,Indonesia,0.0,0.0,,,,,
1124719.0,648.0,2015/10/08 20:00,883.0,874.0,1-1,1-0,亚洲预选,FIFA WCQL,112_越南,Vietnam,82_伊拉克,Iraq,0.0,0.0,,受让一球|-1,输,小,平
1191639.0,1366.0,2015/10/03 22:00,881.0,874.0,3-0,0-0,国际友谊,INT FRL,113_约旦,Jordan,82_伊拉克,Iraq,0.0,0.0,,平手|0,输,大,负
1124721.0,648.0,2015/09/08 20:00,886.0,874.0,2-2,0-1,亚洲预选,FIFA WCQL,129_泰国,Thailand,82_伊拉克,Iraq,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,平
1124724.0,648.0,2015/09/03 20:30,874.0,5288.0,5-1,1-0,亚洲预选,FIFA WCQL,82_伊拉克,Iraq,134_中国台北,Chinese Taipei,0.0,0.0,,三球半|3.5,赢,大,胜
1180688.0,1366.0,2015/08/26 22:00,897.0,874.0,2-3,0-1,国际友谊,INT FRL,84_黎巴嫩,Lebanon,82_伊拉克,Iraq,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1176706.0,1366.0,2015/08/19 01:40,15319.0,874.0,3-1,2-0,国际友谊,INT FRL,220_弱鸡,Al Duhail,82_伊拉克,Iraq,0.0,0.0,,,,,负
1124726.0,648.0,2015/06/16 20:00,890.0,874.0,取消,,亚洲预选,FIFA WCQL,160_印度尼西亚,Indonesia,82_伊拉克,Iraq,0.0,0.0,,,,,
1129058.0,220.0,2015/06/11 18:00,903.0,874.0,4-0,3-0,麒麟杯,KIR Cup,56_日本,Japan,82_伊拉克,Iraq,0.0,0.0,,一球/球半|1/1.5,输,大,负
1111981.0,1366.0,2015/03/31 22:00,874.0,811.0,1-0,0-0,国际友谊,INT FRL,82_伊拉克,Iraq,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,平手|0,赢,小,胜
1111308.0,1366.0,2015/03/28 22:05,874.0,811.0,2-1,1-1,国际友谊,INT FRL,82_伊拉克,Iraq,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让半球|-0.5,赢,大,胜
1084822.0,95.0,2015/01/30 17:00,874.0,887.0,2-3,2-1,亚洲杯,AFC,82_伊拉克,Iraq,78_阿联酋,United Arab Emirates,1.0,0.0,,平手|0,输,大,负
