赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393647.0,93.0,2018/11/13 23:00,6680.0,5292.0,,,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,108_莫桑比克,Mozambique,0.0,0.0,,,,,
1393645.0,93.0,2018/10/16 23:00,4494.0,6680.0,,,非洲杯,CAF NC,111_纳米比亚,Namibia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1393642.0,93.0,2018/09/11 23:00,6680.0,807.0,,,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,72_赞比亚,Zambia,0.0,0.0,,,,,
1393639.0,93.0,2018/09/07 23:00,5292.0,6680.0,,,非洲杯,CAF NC,108_莫桑比克,Mozambique,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1393641.0,93.0,2018/09/03 23:00,807.0,6680.0,,,非洲杯,CAF NC,72_赞比亚,Zambia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,
1524848.0,1366.0,2018/03/25 22:15,806.0,6680.0,2-0,1-0,国际友谊,INT FRL,96_刚果,Congo,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
1460567.0,1023.0,2017/09/11 02:00,812.0,6680.0,2-1,2-1,西非杯,WAFU,66_几内亚,Guinea,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
1380950.0,1052.0,2017/07/23 00:30,812.0,6680.0,7-0,2-0,非国锦标,CAF SC,66_几内亚,Guinea,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
1380945.0,1052.0,2017/07/15 23:59,6680.0,812.0,1-3,0-0,非国锦标,CAF SC,83_几内亚比绍,Guinea Bissau,66_几内亚,Guinea,0.0,0.0,,,,,负
1392563.0,93.0,2017/06/10 23:59,6680.0,4494.0,1-0,1-0,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,111_纳米比亚,Namibia,0.0,0.0,,半球|0.5,赢,小,胜
1372047.0,1366.0,2017/03/25 21:00,803.0,6680.0,3-1,1-0,国际友谊,INT FRL,78_南非,South Africa,83_几内亚比绍,Guinea Bissau,0.0,0.0,,一球|1,输,大,负
1337465.0,93.0,2017/01/23 03:00,6680.0,791.0,0-2,0-1,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,44_布基纳法索,Burkina Faso,0.0,0.0,,受让半球|-0.5,输,走,负
1337467.0,93.0,2017/01/19 03:00,793.0,6680.0,2-1,0-1,非洲杯,CAF NC,45_喀麦隆,Cameroon,83_几内亚比绍,Guinea Bissau,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1337470.0,93.0,2017/01/14 23:59,788.0,6680.0,1-1,0-0,非洲杯,CAF NC,93_加蓬,Gabon,83_几内亚比绍,Guinea Bissau,0.0,0.0,,一球|1,赢,小,平
1333185.0,1023.0,2016/12/01 23:00,815.0,6680.0,5-0,3-0,西非杯,WAFU,24_塞内加尔,Senegal,83_几内亚比绍,Guinea Bissau,0.0,0.0,,半球/一球|0.5/1,输,大,负
1332781.0,1023.0,2016/11/29 23:00,791.0,6680.0,1-0,0-0,西非杯,WAFU,44_布基纳法索,Burkina Faso,83_几内亚比绍,Guinea Bissau,0.0,0.0,,半球|0.5,输,小,负
1332515.0,41.0,2016/11/28 01:30,6680.0,808.0,1-0,0-0,球会友谊,INT CF,83_几内亚比绍,Guinea Bissau,81_贝宁,Benin,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1328448.0,1366.0,2016/11/10 18:00,783.0,6680.0,8-1,2-0,国际友谊,INT FRL,34_伊朗,Iran,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
1129641.0,93.0,2016/09/04 22:30,806.0,6680.0,1-0,0-0,非洲杯,CAF NC,96_刚果,Congo,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
1246129.0,1366.0,2016/06/17 14:00,6680.0,889.0,2-0,2-0,国际友谊,INT FRL,83_几内亚比绍,Guinea Bissau,175_马来西亚,Malaysia,0.0,0.0,,,,,胜
1129638.0,93.0,2016/06/04 23:59,6680.0,807.0,3-2,2-1,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,72_赞比亚,Zambia,0.0,0.0,,,,,胜
1129637.0,93.0,2016/03/27 21:00,921.0,6680.0,0-1,0-0,非洲杯,CAF NC,105_肯尼亚,Kenya,83_几内亚比绍,Guinea Bissau,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1129634.0,93.0,2016/03/23 23:59,6680.0,921.0,1-0,1-0,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,105_肯尼亚,Kenya,0.0,0.0,,平手|0,赢,小,胜
1190095.0,651.0,2015/10/13 23:59,6680.0,814.0,1-3,1-2,非洲预选,WCPAF,83_几内亚比绍,Guinea Bissau,133_利比里亚,Liberia,0.0,0.0,,,,,负
1190108.0,651.0,2015/10/08 23:59,814.0,6680.0,1-1,1-0,非洲预选,WCPAF,133_利比里亚,Liberia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1129632.0,93.0,2015/09/05 23:59,6680.0,806.0,2-4,0-2,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,96_刚果,Congo,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1130026.0,1052.0,2015/07/06 01:00,817.0,6680.0,3-1,1-1,非国锦标,CAF SC,71_马里,Mali,83_几内亚比绍,Guinea Bissau,0.0,0.0,,平手/半球|0/0.5,输,大,负
1130022.0,1052.0,2015/06/20 21:30,6680.0,817.0,1-1,1-1,非国锦标,CAF SC,83_几内亚比绍,Guinea Bissau,71_马里,Mali,0.0,0.0,,,,,平
1129631.0,93.0,2015/06/13 21:00,807.0,6680.0,0-0,0-0,非洲杯,CAF NC,72_赞比亚,Zambia,83_几内亚比绍,Guinea Bissau,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1008058.0,93.0,2014/08/02 23:59,6680.0,920.0,1-1,1-0,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,149_博茨瓦纳,Botswana,0.0,0.0,,,,,平
1008051.0,93.0,2014/07/19 21:00,920.0,6680.0,2-0,2-0,非洲杯,CAF NC,149_博茨瓦纳,Botswana,83_几内亚比绍,Guinea Bissau,0.0,0.0,,半球/一球|0.5/1,输,走,负
983320.0,93.0,2014/06/01 00:30,6680.0,8025.0,3-1,3-0,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,121_中非共和国,Central African Republic,0.0,0.0,,,,,胜
983306.0,93.0,2014/05/18 22:00,8025.0,6680.0,0-0,0-0,非洲杯,CAF NC,121_中非共和国,Central African Republic,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,平
710016.0,93.0,2012/06/16 22:30,793.0,6680.0,1-0,0-0,非洲杯,CAF NC,45_喀麦隆,Cameroon,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,小,负
676722.0,93.0,2012/05/27 01:00,793.0,6680.0,2-1,0-0,非洲杯,CAF NC,45_喀麦隆,Cameroon,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
676708.0,93.0,2012/03/01 00:30,6680.0,793.0,0-1,0-0,非洲杯,CAF NC,83_几内亚比绍,Guinea Bissau,45_喀麦隆,Cameroon,0.0,0.0,,,,小,负
646760.0,651.0,2011/11/15 23:30,816.0,6680.0,1-0,1-0,非洲预选,WCPAF,127_多哥,Togo,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,负
646746.0,651.0,2011/11/11 23:59,6680.0,816.0,1-1,1-1,非洲预选,WCPAF,83_几内亚比绍,Guinea Bissau,127_多哥,Togo,0.0,0.0,,,,,平
