赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1521483.0,1366.0,2018/03/27 08:00,17976.0,773.0,1-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,49_玻利维亚,Bolivia,1.0,2.0,,,,,胜
1520451.0,1366.0,2018/03/24 08:00,17976.0,773.0,1-1,1-0,国际友谊,INT FRL,84_库拉索,Curacao,49_玻利维亚,Bolivia,0.0,0.0,,,,,平
1468703.0,1366.0,2017/10/10 23:59,904.0,17976.0,1-2,1-1,国际友谊,INT FRL,103_卡塔尔,Qatar,84_库拉索,Curacao,0.0,0.0,,,,,胜
1406493.0,232.0,2017/07/17 08:35,17976.0,819.0,0-2,0-1,美金杯,CGC,84_库拉索,Curacao,17_墨西哥,Mexico,0.0,0.0,,受让两球/两球半|-2/-2.5,赢,小,负
1406490.0,232.0,2017/07/14 08:00,796.0,17976.0,2-0,2-0,美金杯,CGC,90_萨尔瓦多,El Salvador,84_库拉索,Curacao,0.0,0.0,,平手/半球|0/0.5,输,走,负
1406488.0,232.0,2017/07/10 07:05,17976.0,799.0,0-2,0-0,美金杯,CGC,84_库拉索,Curacao,55_牙买加,Jamaica,0.0,0.0,,受让半球|-0.5,输,小,负
1402895.0,188.0,2017/06/26 07:30,799.0,17976.0,1-2,0-1,美加杯,CGC CZ,55_牙买加,Jamaica,84_库拉索,Curacao,0.0,0.0,,,,,胜
1398253.0,188.0,2017/06/23 09:15,17976.0,16239.0,2-1,0-1,美加杯,CGC CZ,84_库拉索,Curacao,220_弱鸡,Martinique,0.0,0.0,,,,,胜
1392401.0,1366.0,2017/06/18 04:00,17976.0,5091.0,0-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,平
1392399.0,1366.0,2017/06/14 07:40,795.0,17976.0,2-1,1-1,国际友谊,INT FRL,95_加拿大,Canada,84_库拉索,Curacao,0.0,0.0,,球半/两球|1.5/2,赢,大,负
1371919.0,1366.0,2017/03/23 08:00,17976.0,796.0,1-1,0-0,国际友谊,INT FRL,84_库拉索,Curacao,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,平
1320735.0,188.0,2016/10/12 07:30,7492.0,17976.0,2-2,2-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,84_库拉索,Curacao,0.0,0.0,"90,2-2;;1,2-4;;2",,,,平
1320733.0,188.0,2016/10/06 08:00,17976.0,8028.0,3-0,1-0,美加杯,CGC CZ,84_库拉索,Curacao,139_安提瓜和巴布达,Antigua   Barbuda,0.0,0.0,,,,,胜
1244344.0,188.0,2016/06/08 08:00,17976.0,7295.0,7-0,4-0,美加杯,CGC CZ,84_库拉索,Curacao,198_美属维津群岛,US Virgin Islands,0.0,0.0,,,,,胜
1244342.0,188.0,2016/06/02 08:00,8029.0,17976.0,2-5,1-2,美加杯,CGC CZ,164_圭亚那,Guyana,84_库拉索,Curacao,0.0,0.0,,,,,胜
1229857.0,188.0,2016/03/27 06:45,17976.0,7538.0,2-1,0-0,美加杯,CGC CZ,84_库拉索,Curacao,160_多米尼加共和国,Dominican Republic,0.0,0.0,,,,,胜
1229856.0,188.0,2016/03/24 08:00,1992.0,17976.0,1-0,0-0,美加杯,CGC CZ,155_巴巴多斯,Barbados,84_库拉索,Curacao,0.0,0.0,,,,,负
1183611.0,653.0,2015/09/09 09:35,796.0,17976.0,1-0,1-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,84_库拉索,Curacao,0.0,0.0,,半球/一球|0.5/1,输,小,负
1183619.0,653.0,2015/09/05 07:05,17976.0,796.0,0-1,0-1,北美预选,WCPCA,84_库拉索,Curacao,90_萨尔瓦多,El Salvador,0.0,0.0,,受让一球|-1,走,小,负
1129423.0,653.0,2015/06/15 04:00,1991.0,17976.0,1-1,1-1,北美预选,WCPCA,181_古巴,cuba,84_库拉索,Curacao,1.0,0.0,,平手|0,走,小,平
1129416.0,653.0,2015/06/11 08:00,17976.0,1991.0,0-0,0-0,北美预选,WCPCA,84_库拉索,Curacao,181_古巴,cuba,1.0,0.0,,受让半球|-0.5,赢,小,平
1129302.0,1366.0,2015/06/06 08:00,17976.0,912.0,1-0,0-0,国际友谊,INT FRL,84_库拉索,Curacao,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,胜
1128001.0,1366.0,2015/05/21 01:00,8027.0,17976.0,2-3,1-1,国际友谊,INT FRL,160_苏利南共和国,Suriname,84_库拉索,Curacao,0.0,0.0,,,,,胜
1110190.0,653.0,2015/04/01 07:00,7304.0,17976.0,2-2,0-1,北美预选,WCPCA,199_蒙塞拉特岛,Montserrat,84_库拉索,Curacao,0.0,0.0,,,,,平
1110382.0,653.0,2015/03/28 08:00,17976.0,7304.0,2-1,2-1,北美预选,WCPCA,84_库拉索,Curacao,199_蒙塞拉特岛,Montserrat,0.0,0.0,,,,,胜
1088138.0,41.0,2015/02/02 03:00,17976.0,19782.0,4-1,0-0,球会友谊,INT CF,84_库拉索,Curacao,220_弱鸡,Bonaire,0.0,0.0,,,,,胜
1085121.0,41.0,2015/01/31 06:00,17976.0,7300.0,0-0,0-0,球会友谊,INT CF,84_库拉索,Curacao,180_阿鲁巴,Aruba,0.0,0.0,"90,0-0;;;3-5;2",,,,平
1069076.0,188.0,2014/11/16 06:30,20412.0,17976.0,4-1,3-0,美加杯,CGC CZ,220_弱鸡,French Guiana,84_库拉索,Curacao,0.0,0.0,,,,,负
1069073.0,188.0,2014/11/14 09:00,17976.0,1991.0,2-3,1-1,美加杯,CGC CZ,84_库拉索,Curacao,181_古巴,cuba,0.0,0.0,,,,,负
1069072.0,188.0,2014/11/12 06:30,17976.0,912.0,2-3,1-2,美加杯,CGC CZ,84_库拉索,Curacao,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,,,,负
1064651.0,188.0,2014/10/13 06:00,5691.0,17976.0,0-1,0-0,美加杯,CGC CZ,220_弱鸡,Guadeloupe,84_库拉索,Curacao,0.0,0.0,,,,,胜
1064652.0,188.0,2014/10/11 06:00,17976.0,1494.0,0-1,0-1,美加杯,CGC CZ,84_库拉索,Curacao,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,0.0,0.0,,,,,负
1064648.0,188.0,2014/10/09 06:00,16239.0,17976.0,1-1,0-0,美加杯,CGC CZ,220_弱鸡,Martinique,84_库拉索,Curacao,0.0,0.0,,,,,平
1053716.0,188.0,2014/09/08 02:30,17976.0,20412.0,0-0,0-0,美加杯,CGC CZ,84_库拉索,Curacao,220_弱鸡,French Guiana,0.0,0.0,,,,,平
1053714.0,188.0,2014/09/06 04:30,7296.0,17976.0,1-2,1-0,美加杯,CGC CZ,159_格瑞那达,Grenada,84_库拉索,Curacao,0.0,0.0,,,,,胜
1053713.0,188.0,2014/09/04 07:30,7492.0,17976.0,2-2,1-0,美加杯,CGC CZ,166_波多黎各,Puerto Rico,84_库拉索,Curacao,0.0,0.0,,,,,平
938455.0,41.0,2013/11/17 09:00,17976.0,8027.0,1-3,1-1,球会友谊,INT CF,84_库拉索,Curacao,160_苏利南共和国,Suriname,0.0,0.0,,,,,负
795770.0,188.0,2012/10/26 06:00,1494.0,17976.0,4-0,0-0,美加杯,CGC CZ,175_圣文森特及格瑞那丁,St. Vincent   Grenadines,84_库拉索,Curacao,0.0,0.0,,,,,负
795768.0,188.0,2012/10/24 06:00,17976.0,8029.0,1-2,0-2,美加杯,CGC CZ,84_库拉索,Curacao,164_圭亚那,Guyana,0.0,0.0,,,,,负
795188.0,188.0,2012/10/22 07:30,8026.0,17976.0,5-1,2-0,美加杯,CGC CZ,175_圣路西亚,St. Lucia,84_库拉索,Curacao,0.0,0.0,,,,,负
726386.0,41.0,2012/07/16 05:00,19782.0,17976.0,2-9,2-5,球会友谊,INT CF,220_弱鸡,Bonaire,84_库拉索,Curacao,0.0,0.0,,,,,胜
