赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1542736.0,95.0,2019/01/17 22:00,897.0,876.0,,,亚洲杯,AFC,84_黎巴嫩,Lebanon,119_朝鲜,Korea DPR,0.0,0.0,,,,,
1542734.0,95.0,2019/01/12 20:00,897.0,891.0,,,亚洲杯,AFC,84_黎巴嫩,Lebanon,65_沙特阿拉伯,Saudi Arabia,0.0,0.0,,,,,
1542733.0,95.0,2019/01/09 19:00,904.0,897.0,,,亚洲杯,AFC,103_卡塔尔,Qatar,84_黎巴嫩,Lebanon,0.0,0.0,,,,,
1371522.0,95.0,2018/03/27 23:00,897.0,889.0,2-1,1-0,亚洲杯,AFC,84_黎巴嫩,Lebanon,175_马来西亚,Malaysia,0.0,0.0,,两球|2,输,走,胜
1371520.0,95.0,2017/11/14 20:00,888.0,897.0,0-1,0-1,亚洲杯,AFC,144_中国香港,Hong Kong,84_黎巴嫩,Lebanon,1.0,0.0,,受让一球|-1,走,小,胜
1476832.0,1366.0,2017/11/09 19:30,892.0,897.0,0-1,0-1,国际友谊,INT FRL,173_新加坡,Singapore,84_黎巴嫩,Lebanon,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1371514.0,95.0,2017/10/10 22:30,897.0,876.0,5-0,2-0,亚洲杯,AFC,84_黎巴嫩,Lebanon,119_朝鲜,Korea DPR,0.0,1.0,,平手/半球|0/0.5,赢,大,胜
1371518.0,95.0,2017/09/05 16:30,876.0,897.0,2-2,1-0,亚洲杯,AFC,119_朝鲜,Korea DPR,84_黎巴嫩,Lebanon,0.0,0.0,,半球/一球|0.5/1,赢,大,平
1371515.0,95.0,2017/06/13 21:45,889.0,897.0,1-2,1-0,亚洲杯,AFC,175_马来西亚,Malaysia,84_黎巴嫩,Lebanon,0.0,0.0,,受让半球|-0.5,赢,大,胜
1371512.0,95.0,2017/03/28 23:00,897.0,888.0,2-0,2-0,亚洲杯,AFC,84_黎巴嫩,Lebanon,144_中国香港,Hong Kong,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1328258.0,1366.0,2016/11/15 23:59,881.0,897.0,0-0,0-0,国际友谊,INT FRL,113_约旦,Jordan,84_黎巴嫩,Lebanon,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1327397.0,1366.0,2016/11/10 23:30,897.0,879.0,1-1,1-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,75_巴勒斯坦,Palestine,0.0,1.0,,半球/一球|0.5/1,输,小,平
1320295.0,1366.0,2016/10/11 22:30,897.0,5286.0,1-1,0-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,141_赤道几内亚,Equatorial Guinea,1.0,0.0,,平手|0,走,走,平
1319013.0,1366.0,2016/10/06 22:30,885.0,897.0,0-0,0-0,国际友谊,INT FRL,116_吉尔吉斯斯坦,Kyrgyzstan,84_黎巴嫩,Lebanon,1.0,0.0,,平手/半球|0/0.5,赢,小,平
1306166.0,1366.0,2016/09/05 20:30,897.0,6651.0,2-0,0-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,148_阿富汗,Afghanistan,0.0,1.0,,球半|1.5,赢,小,胜
1306167.0,1366.0,2016/09/01 02:00,897.0,881.0,1-1,0-0,国际友谊,INT FRL,84_黎巴嫩,Lebanon,113_约旦,Jordan,0.0,1.0,,平手|0,走,小,平
1124729.0,648.0,2016/03/29 20:00,897.0,1563.0,1-1,0-0,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,140_缅甸联邦,Myanmar,1.0,1.0,,两球|2,输,小,平
1124732.0,648.0,2016/03/24 19:00,898.0,897.0,1-0,0-0,亚洲预选,FIFA WCQL,59_韩国,Korea Republic,84_黎巴嫩,Lebanon,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1215009.0,1366.0,2016/02/05 23:00,900.0,897.0,2-0,2-0,国际友谊,INT FRL,122_巴林,Bahrain,84_黎巴嫩,Lebanon,0.0,0.0,,半球|0.5,输,小,负
1197907.0,1366.0,2015/11/17 20:00,770.0,897.0,0-1,0-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,84_黎巴嫩,Lebanon,0.0,0.0,,一球|1,赢,小,胜
1124736.0,648.0,2015/11/12 23:00,897.0,880.0,7-0,4-0,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,183_老挝,Laos,0.0,0.0,,两球半/三球|2.5/3,赢,大,胜
1124737.0,648.0,2015/10/14 00:30,895.0,897.0,0-0,0-0,亚洲预选,FIFA WCQL,174_科威特,Kuwait,84_黎巴嫩,Lebanon,0.0,0.0,,一球|1,赢,小,平
1124740.0,648.0,2015/10/08 20:00,1563.0,897.0,0-2,0-1,亚洲预选,FIFA WCQL,140_缅甸联邦,Myanmar,84_黎巴嫩,Lebanon,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1124742.0,648.0,2015/09/08 22:00,897.0,898.0,0-3,0-2,亚洲预选,FIFA WCQL,84_黎巴嫩,Lebanon,59_韩国,Korea Republic,0.0,0.0,,受让球半|-1.5,输,大,负
