赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502208.0,1864.0,2018/11/19 01:00,751.0,749.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502205.0,1864.0,2018/11/16 03:45,749.0,750.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502203.0,1864.0,2018/10/16 02:45,749.0,907.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,204_圣马力诺,San Marino,0.0,0.0,,,,,
1502202.0,1864.0,2018/10/13 02:45,750.0,749.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502200.0,1864.0,2018/09/12 02:45,907.0,749.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502198.0,1864.0,2018/09/09 02:45,749.0,751.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1543763.0,1366.0,2018/06/06 02:00,749.0,901.0,1-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,104_格鲁吉亚,Georgia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1543764.0,1366.0,2018/06/01 02:00,749.0,815.0,0-0,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,24_塞内加尔,Senegal,0.0,0.0,,受让球半|-1.5,赢,小,平
1521498.0,1366.0,2018/03/28 02:30,749.0,647.0,0-4,0-2,国际友谊,INT FRL,84_卢森堡,Luxembourg,29_奥地利,Austria,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1518979.0,1366.0,2018/03/23 01:00,755.0,749.0,0-1,0-0,国际友谊,INT FRL,185_马耳他,Malta,84_卢森堡,Luxembourg,0.0,0.0,,平手|0,赢,小,胜
1511259.0,41.0,2018/02/22 01:00,749.0,487.0,3-1,1-0,球会友谊,INT CF,84_卢森堡,Luxembourg,220_弱鸡,Karlsruher SC,0.0,0.0,,,,,胜
1476836.0,1366.0,2017/11/10 03:00,749.0,745.0,2-1,1-1,国际友谊,INT FRL,84_卢森堡,Luxembourg,54_匈牙利,Hungary,0.0,1.0,,受让一球/球半|-1/-1.5,赢,大,胜
1198407.0,650.0,2017/10/11 02:45,749.0,769.0,1-1,1-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,42_保加利亚,Bulgaria,0.0,0.0,,受让一球|-1,赢,小,平
1198404.0,650.0,2017/10/07 23:59,644.0,749.0,8-0,3-0,欧洲预选,WCPEU,18_瑞典,Sweden,84_卢森堡,Luxembourg,0.0,0.0,,三球|3,输,大,负
1198403.0,650.0,2017/09/04 02:45,649.0,749.0,0-0,0-0,欧洲预选,WCPEU,9_法国,France,84_卢森堡,Luxembourg,0.0,0.0,,四球半|4.5,赢,小,平
1198400.0,650.0,2017/09/01 02:45,749.0,750.0,1-0,0-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,93_白俄罗斯,Belarus,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1198395.0,650.0,2017/06/10 02:45,646.0,749.0,5-0,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,84_卢森堡,Luxembourg,0.0,0.0,,三球/三球半|3/3.5,输,大,负
1391052.0,1366.0,2017/06/05 01:00,749.0,761.0,2-1,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,60_阿尔巴尼亚,Albania,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1372757.0,1366.0,2017/03/29 02:00,749.0,790.0,0-2,0-2,国际友谊,INT FRL,84_卢森堡,Luxembourg,63_佛得角,Cape Verde,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1198393.0,650.0,2017/03/26 03:45,749.0,649.0,1-3,1-2,欧洲预选,WCPEU,84_卢森堡,Luxembourg,9_法国,France,0.0,0.0,,受让两球半/三球|-2.5/-3,赢,大,负
1371492.0,41.0,2017/03/22 02:00,749.0,130.0,0-1,0-0,球会友谊,INT CF,84_卢森堡,Luxembourg,220_弱鸡,Standard Liege,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1198389.0,650.0,2016/11/14 01:00,749.0,646.0,1-3,1-1,欧洲预选,WCPEU,84_卢森堡,Luxembourg,21_荷兰,Netherlands,0.0,0.0,,受让两球|-2,走,大,负
1328619.0,1366.0,2016/11/10 02:00,749.0,1244.0,2-4,0-3,国际友谊,INT FRL,84_卢森堡,Luxembourg,220_弱鸡,Mechelen,0.0,0.0,,受让半球|-0.5,输,大,负
1198388.0,650.0,2016/10/11 02:45,750.0,749.0,1-1,0-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,84_卢森堡,Luxembourg,0.0,1.0,,一球/球半|1/1.5,赢,小,平
1198385.0,650.0,2016/10/08 02:45,749.0,644.0,0-1,0-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,18_瑞典,Sweden,1.0,0.0,,受让球半|-1.5,赢,小,负
1198381.0,650.0,2016/09/07 02:45,769.0,749.0,4-3,1-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,84_卢森堡,Luxembourg,0.0,0.0,,球半/两球|1.5/2,赢,大,负
1306708.0,1366.0,2016/09/03 01:30,631.0,749.0,3-1,1-0,国际友谊,INT FRL,131_拉脱维亚,Latvia,84_卢森堡,Luxembourg,0.0,0.0,,一球|1,输,大,负
1243500.0,1366.0,2016/06/01 01:00,749.0,789.0,1-3,0-1,国际友谊,INT FRL,84_卢森堡,Luxembourg,51_尼日利亚,Nigeria,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1229354.0,1366.0,2016/03/30 02:15,749.0,761.0,0-2,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,60_阿尔巴尼亚,Albania,1.0,0.0,,受让一球|-1,输,小,负
1229355.0,1366.0,2016/03/26 03:15,749.0,782.0,0-3,0-0,国际友谊,INT FRL,84_卢森堡,Luxembourg,38_波黑,Bosnia-Herzegovina,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
