赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543734.0,1366.0,2018/05/30 07:10,766.0,909.0,4-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,87_海地,Haiti,0.0,0.0,,两球半/三球|2.5/3,输,大,负
1478323.0,41.0,2017/11/10 21:00,887.0,909.0,0-1,0-1,球会友谊,INT CF,78_阿联酋,United Arab Emirates,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1468367.0,220.0,2017/10/10 18:30,903.0,909.0,3-3,2-1,麒麟杯,KIR Cup,56_日本,Japan,87_海地,Haiti,0.0,0.0,,球半/两球|1.5/2,赢,大,平
1372523.0,232.0,2017/03/29 09:00,5091.0,909.0,3-0,0-0,美金杯,CGC,115_尼加拉瓜,Nicaragua,87_海地,Haiti,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1372522.0,232.0,2017/03/25 07:05,909.0,5091.0,3-1,2-0,美金杯,CGC,87_海地,Haiti,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,胜
1338284.0,188.0,2017/01/09 05:00,912.0,909.0,2-2,2-2,美加杯,CGC CZ,80_特立尼达和多巴哥,Trinidad   Tobago,87_海地,Haiti,0.0,0.0,"90,2-2;;1,3-4;;2",平手/半球|0/0.5,赢,大,平
1338283.0,188.0,2017/01/07 07:00,8027.0,909.0,2-4,0-2,美加杯,CGC CZ,160_苏利南共和国,Suriname,87_海地,Haiti,1.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1320732.0,188.0,2016/11/14 08:00,821.0,909.0,0-0,0-0,美加杯,CGC CZ,110_圣基茨和尼维斯,St. Kitts and Nevis,87_海地,Haiti,1.0,0.0,"90,0-0;;1,0-2;;2",,,,平
1320730.0,188.0,2016/11/10 08:00,909.0,20412.0,2-5,2-1,美加杯,CGC CZ,87_海地,Haiti,220_弱鸡,French Guiana,0.0,0.0,,,,,负
1196384.0,653.0,2016/09/07 09:30,799.0,909.0,0-2,0-0,北美预选,WCPCA,55_牙买加,Jamaica,87_海地,Haiti,0.0,0.0,,一球|1,赢,小,胜
1196382.0,653.0,2016/09/03 08:00,909.0,914.0,0-1,0-0,北美预选,WCPCA,87_海地,Haiti,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让半球|-0.5,输,小,负
1223659.0,224.0,2016/06/13 06:30,779.0,909.0,4-0,2-0,美洲杯,AMEC,68_厄瓜多尔,Ecuador,87_海地,Haiti,0.0,0.0,,球半|1.5,输,大,负
1223658.0,224.0,2016/06/09 07:30,778.0,909.0,7-1,3-0,美洲杯,AMEC,2_巴西,Brazil,87_海地,Haiti,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1223656.0,224.0,2016/06/05 07:30,774.0,909.0,1-0,0-0,美洲杯,AMEC,11_秘鲁,Peru,87_海地,Haiti,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1243460.0,1366.0,2016/05/30 05:00,775.0,909.0,3-1,1-1,国际友谊,INT FRL,13_哥伦比亚,Colombia,87_海地,Haiti,0.0,1.0,,球半/两球|1.5/2,输,大,负
1196380.0,653.0,2016/03/30 09:30,798.0,909.0,1-0,0-0,北美预选,WCPCA,53_巴拿马,Panama,87_海地,Haiti,0.0,1.0,,半球/一球|0.5/1,输,小,负
1196377.0,653.0,2016/03/26 08:00,909.0,798.0,0-0,0-0,北美预选,WCPCA,87_海地,Haiti,53_巴拿马,Panama,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1203234.0,1366.0,2016/01/09 06:30,912.0,909.0,0-1,0-0,国际友谊,INT FRL,80_特立尼达和多巴哥,Trinidad   Tobago,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1196375.0,653.0,2015/11/18 08:05,909.0,799.0,0-1,0-0,北美预选,WCPCA,87_海地,Haiti,55_牙买加,Jamaica,0.0,0.0,,平手|0,输,小,负
1196356.0,653.0,2015/11/14 10:00,914.0,909.0,1-0,1-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,87_海地,Haiti,0.0,0.0,,球半|1.5,赢,小,负
1193305.0,1366.0,2015/10/13 06:00,8017.0,909.0,5-1,2-0,国际友谊,INT FRL,220_弱鸡,Brazil U23,87_海地,Haiti,0.0,0.0,,球半|1.5,输,大,负
1192324.0,1366.0,2015/10/10 09:00,796.0,909.0,1-3,1-3,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,87_海地,Haiti,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1183615.0,653.0,2015/09/09 07:15,909.0,7296.0,3-0,2-0,北美预选,WCPCA,87_海地,Haiti,159_格瑞那达,Grenada,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
