赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502160.0,1864.0,2018/11/19 03:45,757.0,636.0,,,欧国联,UEFA  NL,47_希腊,Greece,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502157.0,1864.0,2018/11/16 03:45,745.0,636.0,,,欧国联,UEFA  NL,54_匈牙利,Hungary,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502156.0,1864.0,2018/10/16 02:45,636.0,745.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,54_匈牙利,Hungary,0.0,0.0,,,,,
1502153.0,1864.0,2018/10/13 02:45,636.0,736.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,68_芬兰,Finland,0.0,0.0,,,,,
1502151.0,1864.0,2018/09/12 02:45,736.0,636.0,,,欧国联,UEFA  NL,68_芬兰,Finland,88_爱沙尼亚,Estonia,0.0,0.0,,,,,
1502150.0,1864.0,2018/09/09 02:45,636.0,757.0,,,欧国联,UEFA  NL,88_爱沙尼亚,Estonia,47_希腊,Greece,0.0,0.0,,,,,
1543740.0,1366.0,2018/06/09 23:59,636.0,813.0,1-3,0-2,国际友谊,INT FRL,88_爱沙尼亚,Estonia,39_摩洛哥,Morocco,0.0,0.0,,受让一球|-1,输,大,负
1543760.0,668.0,2018/06/02 23:00,631.0,636.0,1-0,0-0,波罗杯,Baltic Cup,131_拉脱维亚,Latvia,88_爱沙尼亚,Estonia,0.0,0.0,,平手|0,输,小,负
1543737.0,668.0,2018/05/30 23:59,636.0,905.0,2-0,2-0,波罗杯,Baltic Cup,88_爱沙尼亚,Estonia,147_立陶宛,Lithuania,0.0,0.0,,半球|0.5,赢,走,胜
1521487.0,1366.0,2018/03/27 23:00,901.0,636.0,2-0,2-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,88_爱沙尼亚,Estonia,0.0,0.0,,半球|0.5,输,小,负
1519566.0,1366.0,2018/03/24 22:00,748.0,636.0,0-0,0-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,88_爱沙尼亚,Estonia,0.0,0.0,,半球|0.5,赢,小,平
1489342.0,1366.0,2018/01/08 01:15,644.0,636.0,1-1,0-0,国际友谊,INT FRL,18_瑞典,Sweden,88_爱沙尼亚,Estonia,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1480553.0,1366.0,2017/11/26 14:05,6662.0,636.0,1-1,0-0,国际友谊,INT FRL,154_新喀里多尼亚,New Caledonia,88_爱沙尼亚,Estonia,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,平
1478939.0,1366.0,2017/11/23 11:00,6661.0,636.0,0-1,0-1,国际友谊,INT FRL,156_瓦努阿图,Vanuatu,88_爱沙尼亚,Estonia,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,胜
1478060.0,1366.0,2017/11/19 10:00,6124.0,636.0,0-2,0-1,国际友谊,INT FRL,168_斐济,Fiji,88_爱沙尼亚,Estonia,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,胜
1477179.0,1366.0,2017/11/12 22:00,755.0,636.0,0-3,0-2,国际友谊,INT FRL,185_马耳他,Malta,88_爱沙尼亚,Estonia,0.0,0.0,,平手|0,赢,大,胜
