赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393578.0,93.0,2018/11/13 23:00,734.0,803.0,,,非洲杯,CAF NC,89_利比亚,Libya,78_南非,South Africa,0.0,0.0,,,,,
1393577.0,93.0,2018/10/16 23:00,5289.0,734.0,,,非洲杯,CAF NC,192_塞舌尔,Seychelles,89_利比亚,Libya,0.0,0.0,,,,,
1393574.0,93.0,2018/09/11 23:00,734.0,789.0,,,非洲杯,CAF NC,89_利比亚,Libya,51_尼日利亚,Nigeria,0.0,0.0,,,,,
1393570.0,93.0,2018/09/07 23:00,803.0,734.0,,,非洲杯,CAF NC,78_南非,South Africa,89_利比亚,Libya,0.0,0.0,,,,,
1393572.0,93.0,2018/09/03 23:00,789.0,734.0,,,非洲杯,CAF NC,51_尼日利亚,Nigeria,89_利比亚,Libya,0.0,0.0,,,,,
1499613.0,1052.0,2018/02/04 03:00,734.0,792.0,1-1,0-1,非国锦标,CAF SC,89_利比亚,Libya,124_苏丹,Sudan,0.0,0.0,,平手|0,走,大,平
1498356.0,1052.0,2018/02/01 00:30,813.0,734.0,1-1,0-0,非国锦标,CAF SC,39_摩洛哥,Morocco,89_利比亚,Libya,0.0,0.0,"90,1-1;;1,3-1;;1",半球/一球|0.5/1,赢,走,平
1496402.0,1052.0,2018/01/29 03:30,806.0,734.0,1-1,1-1,非国锦标,CAF SC,96_刚果,Congo,89_利比亚,Libya,0.0,0.0,"90,1-1;;1,1-1;3-5;2",受让半球|-0.5,输,大,平
1490671.0,1052.0,2018/01/24 03:00,922.0,734.0,0-1,0-0,非国锦标,CAF SC,116_卢旺达,Rwanda,89_利比亚,Libya,0.0,0.0,,受让半球|-0.5,赢,小,胜
1490669.0,1052.0,2018/01/20 00:30,734.0,789.0,0-1,0-0,非国锦标,CAF SC,89_利比亚,Libya,51_尼日利亚,Nigeria,0.0,0.0,,平手/半球|0/0.5,输,小,负
1490667.0,1052.0,2018/01/16 00:30,734.0,5286.0,3-0,2-0,非国锦标,CAF SC,89_利比亚,Libya,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球|0.5,赢,大,胜
1486266.0,1366.0,2017/12/25 23:00,881.0,734.0,1-1,0-0,国际友谊,INT FRL,113_约旦,Jordan,89_利比亚,Libya,0.0,0.0,,半球|0.5,赢,走,平
1483489.0,581.0,2017/12/11 19:00,734.0,7183.0,1-0,1-0,中东非杯,CECAFA Cup,89_利比亚,Libya,220_弱鸡,Zanzibar,0.0,0.0,,平手|0,赢,小,胜
1482090.0,581.0,2017/12/07 21:15,922.0,734.0,0-0,0-0,中东非杯,CECAFA Cup,116_卢旺达,Rwanda,89_利比亚,Libya,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1482084.0,581.0,2017/12/05 21:10,921.0,734.0,0-0,0-0,中东非杯,CECAFA Cup,105_肯尼亚,Kenya,89_利比亚,Libya,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1482439.0,581.0,2017/12/03 21:15,734.0,4937.0,0-0,0-0,中东非杯,CECAFA Cup,89_利比亚,Libya,146_坦桑尼亚,Tanzania,0.0,0.0,,半球|0.5,输,小,平
