赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543756.0,1366.0,2018/06/03 08:30,794.0,796.0,0-1,0-1,国际友谊,INT FRL,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1468702.0,1366.0,2017/10/09 05:00,796.0,795.0,1-0,0-0,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,95_加拿大,Canada,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1420192.0,232.0,2017/07/20 09:15,797.0,796.0,2-0,2-0,美金杯,CGC,25_美国,USA,90_萨尔瓦多,El Salvador,0.0,0.0,,球半|1.5,输,小,负
1406492.0,232.0,2017/07/17 06:05,799.0,796.0,1-1,0-1,美金杯,CGC,55_牙买加,Jamaica,90_萨尔瓦多,El Salvador,0.0,0.0,,平手/半球|0/0.5,赢,小,平
1406490.0,232.0,2017/07/14 08:00,796.0,17976.0,2-0,2-0,美金杯,CGC,90_萨尔瓦多,El Salvador,84_库拉索,Curacao,0.0,0.0,,平手/半球|0/0.5,赢,走,胜
1406489.0,232.0,2017/07/10 09:30,819.0,796.0,3-1,2-1,美金杯,CGC,17_墨西哥,Mexico,90_萨尔瓦多,El Salvador,0.0,0.0,,两球|2,走,大,负
1392400.0,1366.0,2017/06/14 08:00,779.0,796.0,3-0,1-0,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,90_萨尔瓦多,El Salvador,0.0,1.0,,球半/两球|1.5/2,输,走,负
1389494.0,1366.0,2017/05/28 07:15,794.0,796.0,2-2,2-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,0.0,0.0,,半球|0.5,赢,大,平
1373628.0,41.0,2017/03/27 05:00,796.0,3949.0,1-0,1-0,球会友谊,INT CF,90_萨尔瓦多,El Salvador,220_弱鸡,CD Olimpia,0.0,0.0,,,,,胜
1371919.0,1366.0,2017/03/23 08:00,17976.0,796.0,1-1,0-0,国际友谊,INT FRL,84_库拉索,Curacao,90_萨尔瓦多,El Salvador,0.0,0.0,,,,,平
1339707.0,424.0,2017/01/23 02:30,796.0,5091.0,1-0,0-0,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,115_尼加拉瓜,Nicaragua,0.0,0.0,,半球|0.5,赢,小,胜
