赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502232.0,1864.0,2018/11/20 03:45,764.0,748.0,,,欧国联,UEFA  NL,182_列支敦士登,Liechtenstein,90_阿美尼亚,Armenia,0.0,0.0,,,,,
1502229.0,1864.0,2018/11/17 03:45,5877.0,748.0,,,欧国联,UEFA  NL,220_弱鸡,Gibraltar,90_阿美尼亚,Armenia,0.0,0.0,,,,,
1502227.0,1864.0,2018/10/16 23:59,748.0,770.0,,,欧国联,UEFA  NL,90_阿美尼亚,Armenia,73_马其顿,FYR Macedonia,0.0,0.0,,,,,
1502225.0,1864.0,2018/10/13 23:59,748.0,5877.0,,,欧国联,UEFA  NL,90_阿美尼亚,Armenia,220_弱鸡,Gibraltar,0.0,0.0,,,,,
1502223.0,1864.0,2018/09/09 23:59,770.0,748.0,,,欧国联,UEFA  NL,73_马其顿,FYR Macedonia,90_阿美尼亚,Armenia,0.0,0.0,,,,,
1502222.0,1864.0,2018/09/07 02:45,748.0,764.0,,,欧国联,UEFA  NL,90_阿美尼亚,Armenia,182_列支敦士登,Liechtenstein,0.0,0.0,,,,,
1547573.0,1366.0,2018/06/04 23:00,751.0,748.0,0-0,0-0,国际友谊,INT FRL,166_摩尔多瓦,Moldova,90_阿美尼亚,Armenia,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1543281.0,1366.0,2018/05/30 01:00,748.0,755.0,1-1,1-1,国际友谊,INT FRL,90_阿美尼亚,Armenia,185_马耳他,Malta,1.0,0.0,,一球/球半|1/1.5,输,小,平
1521488.0,1366.0,2018/03/27 23:00,748.0,905.0,0-1,0-1,国际友谊,INT FRL,90_阿美尼亚,Armenia,147_立陶宛,Lithuania,0.0,0.0,,半球/一球|0.5/1,输,小,负
1519566.0,1366.0,2018/03/24 22:00,748.0,636.0,0-0,0-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,88_爱沙尼亚,Estonia,0.0,0.0,,半球|0.5,输,小,平
1477393.0,1366.0,2017/11/13 22:00,748.0,753.0,3-2,2-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,92_塞浦路斯,Cyprus,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1477018.0,1366.0,2017/11/09 22:00,748.0,750.0,4-1,2-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1198527.0,650.0,2017/10/08 23:59,763.0,748.0,1-1,0-1,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,90_阿美尼亚,Armenia,0.0,0.0,,平手|0,走,小,平
1198524.0,650.0,2017/10/05 23:59,748.0,637.0,1-6,1-3,欧洲预选,WCPEU,90_阿美尼亚,Armenia,7_波兰,Poland,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1198521.0,650.0,2017/09/04 23:59,748.0,638.0,1-4,1-2,欧洲预选,WCPEU,90_阿美尼亚,Armenia,12_丹麦,Denmark,0.0,0.0,,受让一球|-1,输,大,负
1198520.0,650.0,2017/09/02 02:45,635.0,748.0,1-0,0-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,90_阿美尼亚,Armenia,0.0,1.0,,一球|1,走,小,负
1198516.0,650.0,2017/06/11 02:45,5282.0,748.0,4-1,2-0,欧洲预选,WCPEU,46_黑山,Montenegro,90_阿美尼亚,Armenia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1391047.0,1366.0,2017/06/04 23:59,748.0,821.0,5-0,3-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,110_圣基茨和尼维斯,St. Kitts and Nevis,0.0,0.0,,球半|1.5,赢,大,胜
1198512.0,650.0,2017/03/26 23:59,748.0,763.0,2-0,0-0,欧洲预选,WCPEU,90_阿美尼亚,Armenia,135_哈萨克斯坦,Kazakhstan,0.0,1.0,,半球|0.5,赢,小,胜
1198509.0,650.0,2016/11/12 01:00,748.0,5282.0,3-2,0-2,欧洲预选,WCPEU,90_阿美尼亚,Armenia,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,赢,大,胜
1198508.0,650.0,2016/10/12 02:45,637.0,748.0,2-1,0-0,欧洲预选,WCPEU,7_波兰,Poland,90_阿美尼亚,Armenia,0.0,1.0,,球半/两球|1.5/2,赢,大,负
1198504.0,650.0,2016/10/08 23:59,748.0,635.0,0-5,0-4,欧洲预选,WCPEU,90_阿美尼亚,Armenia,40_罗马尼亚,Romania,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1198501.0,650.0,2016/09/04 23:59,638.0,748.0,1-0,1-0,欧洲预选,WCPEU,12_丹麦,Denmark,90_阿美尼亚,Armenia,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1305626.0,1366.0,2016/09/01 01:15,747.0,748.0,3-0,2-0,国际友谊,INT FRL,48_捷克,Czech,90_阿美尼亚,Armenia,0.0,0.0,,一球|1,输,大,负
1244116.0,1366.0,2016/06/02 11:05,796.0,748.0,0-4,0-2,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,90_阿美尼亚,Armenia,0.0,0.0,,,,,胜
1243473.0,1366.0,2016/05/29 11:00,801.0,748.0,1-7,1-2,国际友谊,INT FRL,128_危地马拉,Guatemala,90_阿美尼亚,Armenia,0.0,0.0,,平手|0,赢,大,胜
1229339.0,1366.0,2016/03/25 23:00,748.0,750.0,0-0,0-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,输,小,平
975188.0,67.0,2015/10/11 23:59,748.0,761.0,0-3,0-2,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,60_阿尔巴尼亚,Albania,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1191325.0,1366.0,2015/10/09 02:45,649.0,748.0,4-0,1-0,国际友谊,INT FRL,9_法国,France,90_阿美尼亚,Armenia,0.0,0.0,,球半/两球|1.5/2,输,大,负
975193.0,67.0,2015/09/07 23:59,748.0,638.0,0-0,0-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,12_丹麦,Denmark,0.0,0.0,,受让半球|-0.5,赢,小,平
975194.0,67.0,2015/09/05 02:45,642.0,748.0,2-0,1-0,欧洲杯,EURO  Cup,37_塞尔维亚,Serbia,90_阿美尼亚,Armenia,0.0,0.0,,一球/球半|1/1.5,输,小,负
975197.0,67.0,2015/06/13 23:59,748.0,765.0,2-3,1-1,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,3_葡萄牙,Portugal,0.0,1.0,,受让一球|-1,走,大,负
975199.0,67.0,2015/03/29 23:59,761.0,748.0,2-1,0-1,欧洲杯,EURO  Cup,60_阿尔巴尼亚,Albania,90_阿美尼亚,Armenia,0.0,1.0,,平手/半球|0/0.5,输,大,负
975201.0,67.0,2014/11/15 03:45,765.0,748.0,1-0,0-0,欧洲杯,EURO  Cup,3_葡萄牙,Portugal,90_阿美尼亚,Armenia,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1064533.0,1366.0,2014/10/14 23:59,748.0,649.0,0-3,0-1,国际友谊,INT FRL,90_阿美尼亚,Armenia,9_法国,France,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
975205.0,67.0,2014/10/11 23:59,748.0,642.0,1-1,0-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,37_塞尔维亚,Serbia,0.0,0.0,,受让半球|-0.5,赢,小,平
975207.0,67.0,2014/09/07 23:59,638.0,748.0,2-1,0-0,欧洲杯,EURO  Cup,12_丹麦,Denmark,90_阿美尼亚,Armenia,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1053285.0,1366.0,2014/09/04 01:45,631.0,748.0,2-0,1-0,国际友谊,INT FRL,131_拉脱维亚,Latvia,90_阿美尼亚,Armenia,0.0,0.0,,平手|0,输,小,负
984727.0,1366.0,2014/06/07 02:45,650.0,748.0,6-1,0-0,国际友谊,INT FRL,1_德国,Germany,90_阿美尼亚,Armenia,0.0,0.0,,两球半/三球|2.5/3,输,大,负
984534.0,1366.0,2014/05/31 23:59,18406.0,748.0,3-1,3-0,国际友谊,INT FRL,57_阿尔及利亚,Algeria,90_阿美尼亚,Armenia,0.0,0.0,,平手/半球|0/0.5,输,大,负
984712.0,1366.0,2014/05/28 01:05,887.0,748.0,3-4,1-2,国际友谊,INT FRL,78_阿联酋,United Arab Emirates,90_阿美尼亚,Armenia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
959539.0,41.0,2014/03/05 22:00,746.0,748.0,2-0,2-0,球会友谊,INT CF,62_俄罗斯,Russia,90_阿美尼亚,Armenia,0.0,0.0,,一球/球半|1/1.5,输,小,负
850112.0,650.0,2013/10/16 02:45,771.0,748.0,2-2,1-1,欧洲预选,WCPEU,14_意大利,Italy,90_阿美尼亚,Armenia,0.0,0.0,,球半|1.5,赢,大,平
850110.0,650.0,2013/10/11 23:00,748.0,769.0,2-1,1-0,欧洲预选,WCPEU,90_阿美尼亚,Armenia,42_保加利亚,Bulgaria,0.0,2.0,,受让平手/半球|-0/-0.5,赢,大,胜
850107.0,650.0,2013/09/10 23:59,748.0,638.0,0-1,0-0,欧洲预选,WCPEU,90_阿美尼亚,Armenia,12_丹麦,Denmark,1.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
663887.0,650.0,2013/09/06 23:59,747.0,748.0,1-2,0-1,欧洲预选,WCPEU,48_捷克,Czech,90_阿美尼亚,Armenia,0.0,0.0,,球半|1.5,赢,大,胜
902299.0,41.0,2013/08/15 02:45,761.0,748.0,2-0,1-0,球会友谊,INT CF,60_阿尔巴尼亚,Albania,90_阿美尼亚,Armenia,0.0,0.0,,平手/半球|0/0.5,输,小,负
663888.0,650.0,2013/06/12 02:15,638.0,748.0,0-4,0-2,欧洲预选,WCPEU,12_丹麦,Denmark,90_阿美尼亚,Armenia,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
663890.0,650.0,2013/06/07 23:59,748.0,755.0,0-1,0-1,欧洲预选,WCPEU,90_阿美尼亚,Armenia,185_马耳他,Malta,0.0,0.0,,球半/两球|1.5/2,输,小,负
663892.0,650.0,2013/03/26 23:59,748.0,747.0,0-3,0-0,欧洲预选,WCPEU,90_阿美尼亚,Armenia,48_捷克,Czech,0.0,0.0,,,,大,负
816485.0,41.0,2013/02/06 02:45,749.0,748.0,1-1,1-1,球会友谊,INT CF,84_卢森堡,Luxembourg,90_阿美尼亚,Armenia,0.0,0.0,,,,小,平
798714.0,41.0,2012/11/14 23:00,748.0,905.0,4-2,1-0,球会友谊,INT CF,90_阿美尼亚,Armenia,147_立陶宛,Lithuania,0.0,0.0,,,,大,胜
663899.0,650.0,2012/10/13 01:00,748.0,771.0,1-3,1-1,欧洲预选,WCPEU,90_阿美尼亚,Armenia,14_意大利,Italy,0.0,0.0,,,,大,负
663902.0,650.0,2012/09/12 02:00,769.0,748.0,1-0,1-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,90_阿美尼亚,Armenia,1.0,2.0,,,,小,负
663904.0,650.0,2012/09/08 02:00,755.0,748.0,0-1,0-0,欧洲预选,WCPEU,185_马耳他,Malta,90_阿美尼亚,Armenia,0.0,0.0,,,,小,胜
759160.0,41.0,2012/08/15 23:59,748.0,750.0,1-2,0-1,球会友谊,INT CF,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,,,大,负
708158.0,41.0,2012/06/05 23:59,748.0,763.0,3-0,3-0,球会友谊,INT CF,90_阿美尼亚,Armenia,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,大,胜
706491.0,41.0,2012/06/01 02:30,757.0,748.0,1-0,1-0,球会友谊,INT CF,47_希腊,Greece,90_阿美尼亚,Armenia,0.0,0.0,,,,小,负
677066.0,41.0,2012/03/01 01:00,795.0,748.0,1-3,1-1,球会友谊,INT CF,95_加拿大,Canada,90_阿美尼亚,Armenia,0.0,0.0,,,,大,胜
676090.0,41.0,2012/02/28 22:00,748.0,642.0,0-2,0-2,球会友谊,INT CF,90_阿美尼亚,Armenia,37_塞尔维亚,Serbia,0.0,0.0,,,,小,负
429429.0,67.0,2011/10/12 01:45,630.0,748.0,2-1,1-0,欧洲杯,EURO  Cup,32_爱尔兰,Ireland,90_阿美尼亚,Armenia,1.0,1.0,,,,大,负
429426.0,67.0,2011/10/07 23:00,748.0,770.0,4-1,2-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,73_马其顿,FYR Macedonia,0.0,1.0,,,,大,胜
429423.0,67.0,2011/09/07 02:15,752.0,748.0,0-4,0-0,欧洲杯,EURO  Cup,28_斯洛伐克,Slovakia,90_阿美尼亚,Armenia,0.0,0.0,,,,大,胜
429421.0,67.0,2011/09/02 23:59,894.0,748.0,0-3,0-1,欧洲杯,EURO  Cup,136_安道尔,Andorra,90_阿美尼亚,Armenia,0.0,0.0,,,,大,胜
598801.0,41.0,2011/08/10 23:59,905.0,748.0,3-0,1-0,球会友谊,INT CF,147_立陶宛,Lithuania,90_阿美尼亚,Armenia,0.0,1.0,,,,大,负
429416.0,67.0,2011/06/04 23:00,746.0,748.0,3-1,1-1,欧洲杯,EURO  Cup,62_俄罗斯,Russia,90_阿美尼亚,Armenia,0.0,0.0,,,,大,负
429414.0,67.0,2011/03/26 23:00,748.0,746.0,0-0,0-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,62_俄罗斯,Russia,0.0,0.0,,,,小,平
515513.0,41.0,2011/02/09 21:00,748.0,901.0,1-2,0-2,球会友谊,INT CF,90_阿美尼亚,Armenia,104_格鲁吉亚,Georgia,0.0,0.0,,,,大,负
429411.0,67.0,2010/10/12 23:00,748.0,894.0,4-0,3-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,136_安道尔,Andorra,0.0,0.0,,,,大,胜
429407.0,67.0,2010/10/08 23:00,748.0,752.0,3-1,1-1,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,28_斯洛伐克,Slovakia,0.0,0.0,,,,大,胜
429405.0,67.0,2010/09/08 02:00,770.0,748.0,2-2,1-1,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,90_阿美尼亚,Armenia,0.0,0.0,,,,大,平
429401.0,67.0,2010/09/03 23:00,748.0,630.0,0-1,0-0,欧洲杯,EURO  Cup,90_阿美尼亚,Armenia,32_爱尔兰,Ireland,0.0,0.0,,,,小,负
430651.0,41.0,2010/08/11 23:59,748.0,783.0,1-3,1-0,球会友谊,INT CF,90_阿美尼亚,Armenia,34_伊朗,Iran,0.0,1.0,,,,大,负
397481.0,41.0,2010/05/25 23:00,748.0,875.0,3-1,3-0,球会友谊,INT CF,90_阿美尼亚,Armenia,77_乌兹别克,Uzbekistan,1.0,1.0,,,,大,胜
372042.0,41.0,2010/03/03 21:00,748.0,750.0,1-3,0-0,球会友谊,INT CF,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,,,大,负
203765.0,650.0,2009/10/15 02:00,762.0,748.0,2-0,2-0,欧洲预选,WCPEU,41_土耳其,Turkey,90_阿美尼亚,Armenia,1.0,0.0,,,,小,负
203761.0,650.0,2009/10/10 23:59,748.0,772.0,1-2,0-1,欧洲预选,WCPEU,90_阿美尼亚,Armenia,6_西班牙,Spain,0.0,0.0,,,,大,负
203759.0,650.0,2009/09/09 23:59,748.0,645.0,2-1,1-0,欧洲预选,WCPEU,90_阿美尼亚,Armenia,5_比利时,Belgium,0.0,0.0,,,,大,胜
203755.0,650.0,2009/09/05 23:00,748.0,782.0,0-2,0-1,欧洲预选,WCPEU,90_阿美尼亚,Armenia,38_波黑,Bosnia-Herzegovina,0.0,0.0,,,,小,负
315514.0,41.0,2009/08/12 23:00,748.0,751.0,1-4,0-1,球会友谊,INT CF,90_阿美尼亚,Armenia,166_摩尔多瓦,Moldova,0.0,0.0,,,,大,负
203752.0,650.0,2009/04/01 23:00,636.0,748.0,1-0,0-0,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,90_阿美尼亚,Armenia,0.0,0.0,,,,小,负
203749.0,650.0,2009/03/28 23:59,748.0,636.0,2-2,1-1,欧洲预选,WCPEU,90_阿美尼亚,Armenia,88_爱沙尼亚,Estonia,0.0,0.0,,,,大,平
260938.0,41.0,2009/02/11 21:00,631.0,748.0,0-0,0-0,球会友谊,INT CF,131_拉脱维亚,Latvia,90_阿美尼亚,Armenia,0.0,0.0,,,,小,平
