赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502171.0,1864.0,2018/11/20 03:45,753.0,640.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,58_挪威,Norway,0.0,0.0,,,,,
1502169.0,1864.0,2018/11/17 03:45,753.0,769.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,42_保加利亚,Bulgaria,0.0,0.0,,,,,
1502167.0,1864.0,2018/10/17 02:45,632.0,753.0,,,欧国联,UEFA  NL,64_斯洛文尼亚,Slovenia,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1502166.0,1864.0,2018/10/14 02:45,769.0,753.0,,,欧国联,UEFA  NL,42_保加利亚,Bulgaria,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1502164.0,1864.0,2018/09/10 02:45,753.0,632.0,,,欧国联,UEFA  NL,92_塞浦路斯,Cyprus,64_斯洛文尼亚,Slovenia,0.0,0.0,,,,,
1502162.0,1864.0,2018/09/07 02:45,640.0,753.0,,,欧国联,UEFA  NL,58_挪威,Norway,92_塞浦路斯,Cyprus,0.0,0.0,,,,,
1544135.0,1366.0,2018/05/21 04:00,881.0,753.0,3-0,2-0,国际友谊,INT FRL,113_约旦,Jordan,92_塞浦路斯,Cyprus,0.0,0.0,,平手|0,输,大,负
1520455.0,1366.0,2018/03/23 23:59,753.0,5282.0,0-0,0-0,国际友谊,INT FRL,92_塞浦路斯,Cyprus,46_黑山,Montenegro,0.0,0.0,,受让半球|-0.5,赢,小,平
1477393.0,1366.0,2017/11/13 22:00,748.0,753.0,3-2,2-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,92_塞浦路斯,Cyprus,0.0,0.0,,平手/半球|0/0.5,输,大,负
1476830.0,1366.0,2017/11/10 21:00,901.0,753.0,1-0,1-0,国际友谊,INT FRL,104_格鲁吉亚,Georgia,92_塞浦路斯,Cyprus,0.0,0.0,,半球|0.5,输,小,负
1198609.0,650.0,2017/10/11 02:45,645.0,753.0,4-0,1-0,欧洲预选,WCPEU,5_比利时,Belgium,92_塞浦路斯,Cyprus,0.0,0.0,,两球半|2.5,输,大,负
1198607.0,650.0,2017/10/08 02:45,753.0,757.0,1-2,1-2,欧洲预选,WCPEU,92_塞浦路斯,Cyprus,47_希腊,Greece,0.0,0.0,,受让一球|-1,走,大,负
1198604.0,650.0,2017/09/03 23:59,636.0,753.0,1-0,0-0,欧洲预选,WCPEU,88_爱沙尼亚,Estonia,92_塞浦路斯,Cyprus,0.0,0.0,,平手|0,输,小,负
1198603.0,650.0,2017/09/01 02:45,753.0,782.0,3-2,0-2,欧洲预选,WCPEU,92_塞浦路斯,Cyprus,38_波黑,Bosnia-Herzegovina,0.0,0.0,,受让一球|-1,赢,大,胜
1311351.0,650.0,2017/06/10 02:45,5877.0,753.0,1-2,1-1,欧洲预选,WCPEU,220_弱鸡,Gibraltar,92_塞浦路斯,Cyprus,0.0,0.0,,受让两球|-2,输,走,胜
