赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502207.0,1864.0,2018/11/19 01:00,907.0,750.0,,,欧国联,UEFA  NL,204_圣马力诺,San Marino,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502205.0,1864.0,2018/11/16 03:45,749.0,750.0,,,欧国联,UEFA  NL,84_卢森堡,Luxembourg,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502204.0,1864.0,2018/10/16 02:45,750.0,751.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,166_摩尔多瓦,Moldova,0.0,0.0,,,,,
1502202.0,1864.0,2018/10/13 02:45,750.0,749.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,84_卢森堡,Luxembourg,0.0,0.0,,,,,
1502199.0,1864.0,2018/09/12 02:45,751.0,750.0,,,欧国联,UEFA  NL,166_摩尔多瓦,Moldova,93_白俄罗斯,Belarus,0.0,0.0,,,,,
1502197.0,1864.0,2018/09/08 23:59,750.0,907.0,,,欧国联,UEFA  NL,93_白俄罗斯,Belarus,204_圣马力诺,San Marino,0.0,0.0,,,,,
1543752.0,1366.0,2018/06/09 23:59,736.0,750.0,2-0,1-0,国际友谊,INT FRL,68_芬兰,Finland,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,输,小,负
1543744.0,1366.0,2018/06/07 01:00,750.0,745.0,1-1,1-1,国际友谊,INT FRL,93_白俄罗斯,Belarus,54_匈牙利,Hungary,0.0,0.0,,平手|0,走,小,平
1521497.0,1366.0,2018/03/28 02:15,632.0,750.0,0-2,0-1,国际友谊,INT FRL,64_斯洛文尼亚,Slovenia,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,赢,小,胜
1518985.0,1366.0,2018/03/23 23:59,758.0,750.0,0-1,0-1,国际友谊,INT FRL,118_阿塞拜疆,Azerbaijan,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,赢,小,胜
1477394.0,1366.0,2017/11/13 22:00,901.0,750.0,2-2,1-1,国际友谊,INT FRL,104_格鲁吉亚,Georgia,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1477018.0,1366.0,2017/11/09 22:00,748.0,750.0,4-1,2-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,输,大,负
1198408.0,650.0,2017/10/11 02:45,649.0,750.0,2-1,2-1,欧洲预选,WCPEU,9_法国,France,93_白俄罗斯,Belarus,0.0,0.0,,两球半/三球|2.5/3,赢,小,负
1198405.0,650.0,2017/10/08 02:45,750.0,646.0,1-3,0-1,欧洲预选,WCPEU,93_白俄罗斯,Belarus,21_荷兰,Netherlands,0.0,0.0,,受让球半|-1.5,输,大,负
1198401.0,650.0,2017/09/03 23:59,750.0,644.0,0-4,0-3,欧洲预选,WCPEU,93_白俄罗斯,Belarus,18_瑞典,Sweden,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1198400.0,650.0,2017/09/01 02:45,749.0,750.0,1-0,0-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,93_白俄罗斯,Belarus,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1416223.0,1366.0,2017/07/14 17:30,791.0,750.0,0-0,0-0,国际友谊,INT FRL,44_布基纳法索,Burkina Faso,93_白俄罗斯,Belarus,0.0,0.0,"90,0-0;;;0-3;2",受让平手/半球|-0/-0.5,输,小,平
1392393.0,1366.0,2017/06/12 23:59,750.0,2363.0,1-0,0-0,国际友谊,INT FRL,93_白俄罗斯,Belarus,120_新西兰,New Zealand,0.0,0.0,,半球|0.5,赢,小,胜
1198397.0,650.0,2017/06/10 02:45,750.0,769.0,2-1,1-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,42_保加利亚,Bulgaria,0.0,0.0,,平手|0,赢,大,胜
1389646.0,1366.0,2017/06/02 02:45,648.0,750.0,1-0,1-0,国际友谊,INT FRL,8_瑞士,Switzerland,93_白俄罗斯,Belarus,0.0,0.0,,一球/球半|1/1.5,赢,小,负
1372103.0,1366.0,2017/03/28 23:59,770.0,750.0,3-0,1-0,国际友谊,INT FRL,73_马其顿,FYR Macedonia,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,输,大,负
1198392.0,650.0,2017/03/26 01:00,644.0,750.0,4-0,1-0,欧洲预选,WCPEU,18_瑞典,Sweden,93_白俄罗斯,Belarus,0.0,0.0,,一球/球半|1/1.5,输,大,负
1198390.0,650.0,2016/11/14 01:00,769.0,750.0,1-0,1-0,欧洲预选,WCPEU,42_保加利亚,Bulgaria,93_白俄罗斯,Belarus,0.0,1.0,,半球|0.5,输,小,负
1327403.0,1366.0,2016/11/10 03:15,757.0,750.0,0-1,0-1,国际友谊,INT FRL,47_希腊,Greece,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,赢,小,胜
1198388.0,650.0,2016/10/11 02:45,750.0,749.0,1-1,0-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,84_卢森堡,Luxembourg,0.0,1.0,,一球/球半|1/1.5,输,小,平
1198384.0,650.0,2016/10/08 02:45,646.0,750.0,4-1,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,93_白俄罗斯,Belarus,0.0,0.0,,球半/两球|1.5/2,输,大,负
1198382.0,650.0,2016/09/07 02:45,750.0,649.0,0-0,0-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,9_法国,France,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1305627.0,1366.0,2016/09/01 01:30,640.0,750.0,0-1,0-0,国际友谊,INT FRL,58_挪威,Norway,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,赢,小,胜
1243477.0,1366.0,2016/06/01 02:45,630.0,750.0,1-2,0-1,国际友谊,INT FRL,32_爱尔兰,Ireland,93_白俄罗斯,Belarus,0.0,0.0,,一球|1,赢,大,胜
1243437.0,1366.0,2016/05/28 02:45,759.0,750.0,3-0,2-0,国际友谊,INT FRL,25_北爱尔兰,Northern Ireland,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,输,大,负
1229352.0,1366.0,2016/03/29 23:59,5282.0,750.0,0-0,0-0,国际友谊,INT FRL,46_黑山,Montenegro,93_白俄罗斯,Belarus,0.0,1.0,,半球|0.5,赢,小,平
1229339.0,1366.0,2016/03/25 23:00,748.0,750.0,0-0,0-0,国际友谊,INT FRL,90_阿美尼亚,Armenia,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,赢,小,平
974966.0,67.0,2015/10/13 02:45,750.0,770.0,0-0,0-0,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,73_马其顿,FYR Macedonia,0.0,0.0,,半球|0.5,输,小,平
974967.0,67.0,2015/10/10 02:45,752.0,750.0,0-1,0-1,欧洲杯,EURO  Cup,28_斯洛伐克,Slovakia,93_白俄罗斯,Belarus,0.0,1.0,,一球|1,赢,小,胜
974972.0,67.0,2015/09/09 02:45,750.0,749.0,2-0,1-0,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,84_卢森堡,Luxembourg,0.0,0.0,,球半|1.5,赢,小,胜
974975.0,67.0,2015/09/05 23:59,634.0,750.0,3-1,3-0,欧洲杯,EURO  Cup,35_乌克兰,Ukraine,93_白俄罗斯,Belarus,1.0,0.0,,球半|1.5,输,大,负
974976.0,67.0,2015/06/15 02:45,750.0,772.0,0-1,0-1,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,6_西班牙,Spain,0.0,0.0,,受让球半|-1.5,赢,小,负
1129012.0,1366.0,2015/06/07 23:00,746.0,750.0,4-2,1-0,国际友谊,INT FRL,62_俄罗斯,Russia,93_白俄罗斯,Belarus,0.0,0.0,,一球|1,输,大,负
1111224.0,1366.0,2015/03/30 20:00,750.0,788.0,0-0,0-0,国际友谊,INT FRL,93_白俄罗斯,Belarus,93_加蓬,Gabon,0.0,0.0,,平手/半球|0/0.5,输,小,平
974981.0,67.0,2015/03/28 03:45,770.0,750.0,1-2,1-1,欧洲杯,EURO  Cup,73_马其顿,FYR Macedonia,93_白俄罗斯,Belarus,0.0,0.0,,平手|0,赢,大,胜
1069716.0,1366.0,2014/11/19 01:00,750.0,819.0,3-2,0-0,国际友谊,INT FRL,93_白俄罗斯,Belarus,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
974982.0,67.0,2014/11/16 03:45,772.0,750.0,3-0,2-0,欧洲杯,EURO  Cup,6_西班牙,Spain,93_白俄罗斯,Belarus,0.0,0.0,,两球半/三球|2.5/3,输,小,负
974985.0,67.0,2014/10/13 02:45,750.0,752.0,1-3,0-0,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,28_斯洛伐克,Slovakia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
974990.0,67.0,2014/10/10 02:45,750.0,634.0,0-2,0-0,欧洲杯,EURO  Cup,93_白俄罗斯,Belarus,35_乌克兰,Ukraine,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
974991.0,67.0,2014/09/09 02:45,749.0,750.0,1-1,1-0,欧洲杯,EURO  Cup,84_卢森堡,Luxembourg,93_白俄罗斯,Belarus,0.0,0.0,,受让半球|-0.5,输,小,平
1053649.0,1366.0,2014/09/04 23:59,750.0,884.0,6-1,1-1,国际友谊,INT FRL,93_白俄罗斯,Belarus,126_塔吉克斯坦,Tajikistan,0.0,1.0,,球半/两球|1.5/2,赢,大,胜
983679.0,41.0,2014/05/22 01:00,764.0,750.0,1-5,0-3,球会友谊,INT CF,182_列支敦士登,Liechtenstein,93_白俄罗斯,Belarus,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
982859.0,1366.0,2014/05/18 20:00,783.0,750.0,0-0,0-0,国际友谊,INT FRL,34_伊朗,Iran,93_白俄罗斯,Belarus,0.0,0.0,,平手/半球|0/0.5,赢,小,平
959534.0,1366.0,2014/03/05 23:45,769.0,750.0,2-1,1-0,国际友谊,INT FRL,42_保加利亚,Bulgaria,93_白俄罗斯,Belarus,0.0,0.0,,半球|0.5,输,大,负
936949.0,41.0,2013/11/20 02:00,762.0,750.0,2-1,1-1,球会友谊,INT CF,41_土耳其,Turkey,93_白俄罗斯,Belarus,0.0,0.0,,一球/球半|1/1.5,赢,大,负
936507.0,41.0,2013/11/15 23:59,750.0,761.0,0-0,0-0,球会友谊,INT CF,93_白俄罗斯,Belarus,60_阿尔巴尼亚,Albania,0.0,0.0,,平手/半球|0/0.5,输,小,平
930982.0,41.0,2013/10/15 20:15,750.0,903.0,1-0,1-0,球会友谊,INT CF,93_白俄罗斯,Belarus,56_日本,Japan,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
664063.0,650.0,2013/10/12 04:00,772.0,750.0,2-1,0-0,欧洲预选,WCPEU,6_西班牙,Spain,93_白俄罗斯,Belarus,0.0,0.0,,两球半/三球|2.5/3,赢,小,负
664065.0,650.0,2013/09/11 03:00,750.0,649.0,2-4,1-0,欧洲预选,WCPEU,93_白俄罗斯,Belarus,9_法国,France,0.0,0.0,,受让一球|-1,输,大,负
