赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1520459.0,1366.0,2018/03/24 23:00,795.0,2363.0,1-0,0-0,国际友谊,INT FRL,95_加拿大,Canada,120_新西兰,New Zealand,0.0,0.0,,平手|0,赢,小,胜
1468702.0,1366.0,2017/10/09 05:00,796.0,795.0,1-0,0-0,国际友谊,INT FRL,90_萨尔瓦多,El Salvador,95_加拿大,Canada,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1452538.0,1366.0,2017/09/03 07:10,795.0,799.0,2-0,2-0,国际友谊,INT FRL,95_加拿大,Canada,55_牙买加,Jamaica,1.0,0.0,,平手/半球|0/0.5,赢,小,胜
1420193.0,232.0,2017/07/21 07:30,799.0,795.0,2-1,1-0,美金杯,CGC,55_牙买加,Jamaica,95_加拿大,Canada,0.0,0.0,,平手|0,输,大,负
1406480.0,232.0,2017/07/15 10:00,795.0,794.0,0-0,0-0,美金杯,CGC,95_加拿大,Canada,67_洪都拉斯,Honduras,0.0,0.0,,平手|0,走,小,平
1406478.0,232.0,2017/07/12 07:40,914.0,795.0,1-1,1-1,美金杯,CGC,27_哥斯达黎加,Costa Rica,95_加拿大,Canada,0.0,0.0,,半球/一球|0.5/1,赢,小,平
1403563.0,232.0,2017/07/08 07:00,20412.0,795.0,2-4,0-2,美金杯,CGC,220_弱鸡,French Guiana,95_加拿大,Canada,0.0,0.0,,受让球半|-1.5,赢,大,胜
1392399.0,1366.0,2017/06/14 07:40,795.0,17976.0,2-1,1-1,国际友谊,INT FRL,95_加拿大,Canada,84_库拉索,Curacao,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1371253.0,1366.0,2017/03/23 03:45,641.0,795.0,1-1,1-1,国际友谊,INT FRL,32_苏格兰,Scotland,95_加拿大,Canada,0.0,0.0,,一球|1,赢,小,平
1344026.0,1366.0,2017/01/23 03:00,5293.0,795.0,2-4,1-2,国际友谊,INT FRL,184_百慕大群岛,Bermuda,95_加拿大,Canada,0.0,0.0,,,,,胜
1327398.0,1366.0,2016/11/11 19:00,898.0,795.0,2-0,2-0,国际友谊,INT FRL,59_韩国,Korea Republic,95_加拿大,Canada,0.0,0.0,,一球/球半|1/1.5,输,小,负
1320297.0,1366.0,2016/10/12 03:00,813.0,795.0,4-0,1-0,国际友谊,INT FRL,39_摩洛哥,Morocco,95_加拿大,Canada,0.0,0.0,,半球|0.5,输,大,负
1319014.0,1366.0,2016/10/07 03:00,795.0,5281.0,4-0,0-0,国际友谊,INT FRL,95_加拿大,Canada,100_毛里塔尼亚,Mauritania,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1196373.0,653.0,2016/09/07 10:00,795.0,796.0,3-1,1-0,北美预选,WCPCA,95_加拿大,Canada,90_萨尔瓦多,El Salvador,0.0,1.0,,一球|1,赢,大,胜
1196371.0,653.0,2016/09/03 05:05,794.0,795.0,2-1,1-1,北美预选,WCPCA,67_洪都拉斯,Honduras,95_加拿大,Canada,0.0,0.0,,半球/一球|0.5/1,输,大,负
1244104.0,1366.0,2016/06/07 22:00,795.0,875.0,2-1,1-0,国际友谊,INT FRL,95_加拿大,Canada,77_乌兹别克,Uzbekistan,0.0,0.0,,平手|0,赢,大,胜
1244105.0,1366.0,2016/06/04 01:00,795.0,758.0,1-1,1-0,国际友谊,INT FRL,95_加拿大,Canada,118_阿塞拜疆,Azerbaijan,0.0,0.0,,半球|0.5,输,走,平
1196369.0,653.0,2016/03/30 10:30,819.0,795.0,2-0,2-0,北美预选,WCPCA,17_墨西哥,Mexico,95_加拿大,Canada,0.0,0.0,,两球|2,走,小,负
1196367.0,653.0,2016/03/26 10:05,795.0,819.0,0-3,0-2,北美预选,WCPCA,95_加拿大,Canada,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1211813.0,1366.0,2016/02/06 11:45,797.0,795.0,1-0,0-0,国际友谊,INT FRL,25_美国,USA,95_加拿大,Canada,0.0,0.0,,球半|1.5,赢,小,负
1196366.0,653.0,2015/11/18 09:30,796.0,795.0,0-0,0-0,北美预选,WCPCA,90_萨尔瓦多,El Salvador,95_加拿大,Canada,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,平
1196364.0,653.0,2015/11/14 11:15,795.0,794.0,1-0,1-0,北美预选,WCPCA,95_加拿大,Canada,67_洪都拉斯,Honduras,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1192296.0,1366.0,2015/10/14 07:30,795.0,810.0,1-1,1-1,国际友谊,INT FRL,95_加拿大,Canada,50_加纳,Ghana,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1183613.0,653.0,2015/09/09 09:00,5092.0,795.0,1-1,1-1,北美预选,WCPCA,171_伯利兹,Belize,95_加拿大,Canada,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,平
1183618.0,653.0,2015/09/05 07:35,795.0,5092.0,3-0,1-0,北美预选,WCPCA,95_加拿大,Canada,171_伯利兹,Belize,0.0,0.0,,球半/两球|1.5/2,赢,走,胜
1129121.0,232.0,2015/07/15 08:45,795.0,914.0,0-0,0-0,美金杯,CGC,95_加拿大,Canada,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1143937.0,232.0,2015/07/12 06:30,795.0,799.0,0-1,0-0,美金杯,CGC,95_加拿大,Canada,55_牙买加,Jamaica,0.0,0.0,,平手|0,输,小,负
