赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502219.0,1864.0,2018/11/21 03:45,755.0,754.0,,,欧国联,UEFA  NL,185_马耳他,Malta,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502217.0,1864.0,2018/11/18 01:00,758.0,754.0,,,欧国联,UEFA  NL,118_阿塞拜疆,Azerbaijan,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502216.0,1864.0,2018/10/14 23:59,754.0,5764.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,178_科索沃,Kosovo,0.0,0.0,,,,,
1502213.0,1864.0,2018/10/12 02:45,754.0,758.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,118_阿塞拜疆,Azerbaijan,0.0,0.0,,,,,
1502212.0,1864.0,2018/09/11 02:45,5764.0,754.0,,,欧国联,UEFA  NL,178_科索沃,Kosovo,97_法罗群岛,Faroe Islands,0.0,0.0,,,,,
1502210.0,1864.0,2018/09/08 02:45,754.0,755.0,,,欧国联,UEFA  NL,97_法罗群岛,Faroe Islands,185_马耳他,Malta,0.0,0.0,,,,,
1521479.0,1366.0,2018/03/25 23:59,754.0,764.0,3-0,1-0,国际友谊,INT FRL,97_法罗群岛,Faroe Islands,182_列支敦士登,Liechtenstein,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1521955.0,1366.0,2018/03/23 01:00,631.0,754.0,1-1,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,97_法罗群岛,Faroe Islands,0.0,0.0,,平手|0,走,小,平
1198439.0,650.0,2017/10/11 02:45,745.0,754.0,1-0,0-0,欧洲预选,WCPEU,54_匈牙利,Hungary,97_法罗群岛,Faroe Islands,0.0,0.0,,球半/两球|1.5/2,赢,小,负
1198434.0,650.0,2017/10/07 23:59,754.0,631.0,0-0,0-0,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,131_拉脱维亚,Latvia,0.0,0.0,,平手|0,走,小,平
1198431.0,650.0,2017/09/03 23:59,754.0,894.0,1-0,1-0,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,136_安道尔,Andorra,0.0,0.0,,一球|1,走,小,胜
1198430.0,650.0,2017/09/01 02:45,765.0,754.0,5-1,2-1,欧洲预选,WCPEU,3_葡萄牙,Portugal,97_法罗群岛,Faroe Islands,0.0,0.0,,三球半|3.5,输,大,负
1198426.0,650.0,2017/06/10 02:45,754.0,648.0,0-2,0-1,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,8_瑞士,Switzerland,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,负
1198423.0,650.0,2017/03/26 01:00,894.0,754.0,0-0,0-0,欧洲预选,WCPEU,136_安道尔,Andorra,97_法罗群岛,Faroe Islands,0.0,1.0,,受让一球|-1,输,小,平
1198420.0,650.0,2016/11/14 01:00,648.0,754.0,2-0,1-0,欧洲预选,WCPEU,8_瑞士,Switzerland,97_法罗群岛,Faroe Islands,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1198417.0,650.0,2016/10/11 02:45,754.0,765.0,0-6,0-3,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,3_葡萄牙,Portugal,0.0,0.0,,受让两球/两球半|-2/-2.5,输,大,负
