赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1393588.0,93.0,2018/11/13 23:00,5290.0,4637.0,,,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,137_埃塞俄比亚,Ethiopia,0.0,0.0,,,,,
1393587.0,93.0,2018/10/16 23:00,921.0,5290.0,,,非洲杯,CAF NC,105_肯尼亚,Kenya,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,
1393584.0,93.0,2018/09/11 23:00,5290.0,810.0,,,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,50_加纳,Ghana,0.0,0.0,,,,,
1393580.0,93.0,2018/09/07 23:00,4637.0,5290.0,,,非洲杯,CAF NC,137_埃塞俄比亚,Ethiopia,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,
1393582.0,93.0,2018/09/03 23:00,810.0,5290.0,,,非洲杯,CAF NC,50_加纳,Ghana,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,
1521026.0,1366.0,2018/03/17 20:00,783.0,5290.0,4-0,3-0,国际友谊,INT FRL,34_伊朗,Iran,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1461014.0,1023.0,2017/09/12 02:00,789.0,5290.0,2-0,0-0,西非杯,WAFU,51_尼日利亚,Nigeria,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1380949.0,1052.0,2017/07/23 01:00,815.0,5290.0,3-1,1-1,非国锦标,CAF SC,24_塞内加尔,Senegal,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1380944.0,1052.0,2017/07/16 00:30,5290.0,815.0,1-1,0-0,非国锦标,CAF SC,98_塞拉利昂,Sierra Leone,24_塞内加尔,Senegal,0.0,0.0,,,,,平
1392573.0,93.0,2017/06/11 00:30,5290.0,921.0,2-1,1-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,105_肯尼亚,Kenya,0.0,1.0,,受让平手/半球|-0/-0.5,赢,大,胜
1392831.0,1366.0,2017/06/05 23:59,814.0,5290.0,1-0,0-0,国际友谊,INT FRL,133_利比里亚,Liberia,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1129683.0,93.0,2016/09/04 02:00,809.0,5290.0,1-1,1-0,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,98_塞拉利昂,Sierra Leone,0.0,0.0,,两球/两球半|2/2.5,赢,小,平
1129682.0,93.0,2016/06/05 00:30,5290.0,792.0,1-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,124_苏丹,Sudan,0.0,0.0,,,,,胜
1229363.0,93.0,2016/03/29 00:30,5290.0,788.0,1-0,1-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,93_加蓬,Gabon,0.0,0.0,,平手|0,赢,小,胜
1179514.0,93.0,2016/03/25 22:30,788.0,5290.0,2-1,1-0,非洲杯,CAF NC,93_加蓬,Gabon,98_塞拉利昂,Sierra Leone,0.0,1.0,,半球/一球|0.5/1,输,大,负
1229918.0,41.0,2016/03/23 00:30,5290.0,969.0,1-1,1-1,球会友谊,INT CF,98_塞拉利昂,Sierra Leone,124_马拉维,Malawi,0.0,0.0,,,,,平
1190103.0,651.0,2015/10/13 22:30,5290.0,5291.0,2-1,0-1,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,168_乍得,Chad,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1190110.0,651.0,2015/10/10 22:30,5291.0,5290.0,1-0,0-0,非洲预选,WCPAF,168_乍得,Chad,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1129679.0,93.0,2015/09/06 23:00,5290.0,809.0,0-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,平
1130027.0,1052.0,2015/06/28 06:00,5290.0,5281.0,0-2,0-2,非国锦标,CAF SC,98_塞拉利昂,Sierra Leone,100_毛里塔尼亚,Mauritania,0.0,0.0,,,,,负
1130023.0,1052.0,2015/06/22 06:00,5281.0,5290.0,2-1,2-0,非国锦标,CAF SC,100_毛里塔尼亚,Mauritania,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
1129678.0,93.0,2015/06/15 01:00,792.0,5290.0,1-0,0-0,非洲杯,CAF NC,124_苏丹,Sudan,98_塞拉利昂,Sierra Leone,0.0,0.0,,平手/半球|0/0.5,输,小,负
1053823.0,93.0,2014/11/19 22:00,811.0,5290.0,3-1,1-1,非洲杯,CAF NC,43_刚果民主共和国,Democratic Rep Congo,98_塞拉利昂,Sierra Leone,0.0,1.0,,球半|1.5,输,大,负
1053820.0,93.0,2014/11/14 23:00,5290.0,809.0,1-5,1-1,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让球半/两球|-1.5/-2,输,大,负
1053819.0,93.0,2014/10/15 22:00,793.0,5290.0,2-0,2-0,非洲杯,CAF NC,45_喀麦隆,Cameroon,98_塞拉利昂,Sierra Leone,0.0,0.0,,球半|1.5,输,小,负
1053817.0,93.0,2014/10/11 22:00,5290.0,793.0,0-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,45_喀麦隆,Cameroon,0.0,0.0,,受让球半|-1.5,赢,小,平
1053814.0,93.0,2014/09/10 20:10,5290.0,811.0,0-2,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,43_刚果民主共和国,Democratic Rep Congo,0.0,0.0,,受让半球|-0.5,输,走,负
1053812.0,93.0,2014/09/07 01:00,809.0,5290.0,2-1,0-1,非洲杯,CAF NC,61_科特迪瓦,Cote D Ivoire,98_塞拉利昂,Sierra Leone,0.0,0.0,,两球|2,赢,走,负
1008063.0,93.0,2014/08/02 20:30,5289.0,5290.0,0-3,0-0,非洲杯,CAF NC,192_塞舌尔,Seychelles,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,胜
1008052.0,93.0,2014/07/20 00:15,5290.0,5289.0,2-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,192_塞舌尔,Seychelles,0.0,0.0,,两球|2,走,小,胜
983316.0,93.0,2014/06/01 00:30,5290.0,4636.0,1-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,132_斯威士兰,Swaziland,0.0,0.0,,,,,胜
983302.0,93.0,2014/05/18 21:00,4636.0,5290.0,1-1,0-1,非洲杯,CAF NC,132_斯威士兰,Swaziland,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,平
829559.0,651.0,2013/09/08 00:30,5290.0,5286.0,3-2,2-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
829557.0,651.0,2013/06/16 01:30,790.0,5290.0,1-0,1-0,非洲预选,WCPAF,63_佛得角,Cape Verde,98_塞拉利昂,Sierra Leone,0.0,0.0,,半球|0.5,输,小,负
710294.0,651.0,2013/06/09 00:30,5290.0,823.0,2-2,1-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,23_突尼斯,Tunisia,0.0,0.0,,平手|0,走,大,平
710292.0,651.0,2013/03/24 02:15,823.0,5290.0,2-1,0-0,非洲预选,WCPAF,23_突尼斯,Tunisia,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,负
803561.0,1052.0,2012/12/16 00:30,5290.0,812.0,1-1,0-0,非国锦标,CAF SC,98_塞拉利昂,Sierra Leone,66_几内亚,Guinea,0.0,0.0,,,,,平
803555.0,1052.0,2012/12/02 20:00,812.0,5290.0,0-0,0-0,非国锦标,CAF SC,66_几内亚,Guinea,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,平
793204.0,93.0,2012/10/14 02:15,823.0,5290.0,0-0,0-0,非洲杯,CAF NC,23_突尼斯,Tunisia,98_塞拉利昂,Sierra Leone,0.0,1.0,,,,小,平
778268.0,93.0,2012/09/09 00:30,5290.0,823.0,2-2,1-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,23_突尼斯,Tunisia,0.0,0.0,,,,,平
676727.0,93.0,2012/06/17 00:30,5290.0,18477.0,4-2,4-1,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,179_圣多美与普林西比,Sao Tome   Principe,0.0,0.0,,,,大,胜
708029.0,651.0,2012/06/10 01:00,5286.0,5290.0,2-2,2-2,非洲预选,WCPAF,141_赤道几内亚,Equatorial Guinea,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,平
708026.0,651.0,2012/06/03 00:30,5290.0,790.0,2-1,2-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,63_佛得角,Cape Verde,0.0,0.0,,,,大,胜
706472.0,41.0,2012/05/26 23:59,881.0,5290.0,2-0,2-0,球会友谊,INT CF,113_约旦,Jordan,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
706264.0,41.0,2012/05/23 23:59,874.0,5290.0,1-0,1-0,球会友谊,INT CF,82_伊拉克,Iraq,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
676714.0,93.0,2012/02/29 23:00,18477.0,5290.0,2-1,0-0,非洲杯,CAF NC,179_圣多美与普林西比,Sao Tome   Principe,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,负
406981.0,93.0,2011/10/08 23:00,803.0,5290.0,0-0,0-0,非洲杯,CAF NC,78_南非,South Africa,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,小,平
406979.0,93.0,2011/09/03 23:00,5290.0,735.0,2-1,1-1,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,30_埃及,Egypt,0.0,0.0,,,,,胜
406977.0,93.0,2011/06/05 00:45,5290.0,5302.0,1-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,106_尼日尔,Niger,0.0,0.0,,,,小,胜
406975.0,93.0,2011/03/27 23:00,5302.0,5290.0,3-1,0-1,非洲杯,CAF NC,106_尼日尔,Niger,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
516058.0,41.0,2011/02/10 02:20,789.0,5290.0,2-1,2-0,球会友谊,INT CF,51_尼日利亚,Nigeria,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,负
406973.0,93.0,2010/10/11 00:30,5290.0,803.0,0-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,78_南非,South Africa,0.0,0.0,,,,,平
406971.0,93.0,2010/09/06 03:30,735.0,5290.0,1-1,0-0,非洲杯,CAF NC,30_埃及,Egypt,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,小,平
350398.0,41.0,2009/11/15 00:30,225.0,5290.0,1-1,0-1,球会友谊,INT CF,220_弱鸡,Willem II,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,平
288136.0,41.0,2009/06/06 01:00,899.0,5290.0,6-0,3-0,球会友谊,INT CF,76_叙利亚,Syrian,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,负
205705.0,651.0,2008/10/11 23:00,789.0,5290.0,4-1,3-1,非洲预选,WCPAF,51_尼日利亚,Nigeria,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,大,负
205703.0,651.0,2008/09/07 00:30,5290.0,5286.0,2-1,1-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,141_赤道几内亚,Equatorial Guinea,0.0,0.0,,,,大,胜
205701.0,651.0,2008/06/21 21:00,803.0,5290.0,0-0,0-0,非洲预选,WCPAF,78_南非,South Africa,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,小,平
205698.0,651.0,2008/06/15 00:30,5290.0,803.0,1-0,1-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,78_南非,South Africa,0.0,0.0,,,,小,胜
205697.0,651.0,2008/06/08 00:30,5290.0,789.0,0-1,0-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,51_尼日利亚,Nigeria,0.0,0.0,,,,小,负
205694.0,651.0,2008/06/01 22:30,5286.0,5290.0,2-0,0-0,非洲预选,WCPAF,141_赤道几内亚,Equatorial Guinea,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
170735.0,651.0,2007/11/18 00:30,6680.0,5290.0,0-0,0-0,非洲预选,WCPAF,83_几内亚比绍,Guinea Bissau,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,平
166476.0,651.0,2007/10/18 00:30,5290.0,6680.0,1-0,1-0,非洲预选,WCPAF,98_塞拉利昂,Sierra Leone,83_几内亚比绍,Guinea Bissau,0.0,0.0,,,,,胜
165835.0,93.0,2007/10/12 23:30,5290.0,808.0,0-2,0-1,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,81_贝宁,Benin,0.0,0.0,,,,,负
134764.0,93.0,2007/06/18 03:00,817.0,5290.0,6-0,1-0,非洲杯,CAF NC,71_马里,Mali,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
133257.0,93.0,2007/06/04 00:30,5290.0,816.0,0-1,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,127_多哥,Togo,0.0,0.0,,,,,负
125059.0,93.0,2007/03/24 23:30,816.0,5290.0,3-1,1-0,非洲杯,CAF NC,127_多哥,Togo,98_塞拉利昂,Sierra Leone,0.0,0.0,,,,,负
182276.0,93.0,2006/09/03 19:00,5290.0,817.0,0-0,0-0,非洲杯,CAF NC,98_塞拉利昂,Sierra Leone,71_马里,Mali,0.0,0.0,,,,,平
