赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502148.0,1864.0,2018/11/21 03:45,641.0,760.0,,,欧国联,UEFA  NL,32_苏格兰,Scotland,99_以色列,Israel,0.0,0.0,,,,,
1502146.0,1864.0,2018/10/15 02:45,760.0,761.0,,,欧国联,UEFA  NL,99_以色列,Israel,60_阿尔巴尼亚,Albania,0.0,0.0,,,,,
1502145.0,1864.0,2018/10/12 02:45,760.0,641.0,,,欧国联,UEFA  NL,99_以色列,Israel,32_苏格兰,Scotland,0.0,0.0,,,,,
1502143.0,1864.0,2018/09/08 02:45,761.0,760.0,,,欧国联,UEFA  NL,60_阿尔巴尼亚,Albania,99_以色列,Israel,0.0,0.0,,,,,
1521475.0,1366.0,2018/03/25 02:00,760.0,635.0,1-2,0-0,国际友谊,INT FRL,99_以色列,Israel,40_罗马尼亚,Romania,0.0,0.0,,平手|0,输,大,负
1198587.0,650.0,2017/10/10 02:45,760.0,772.0,0-1,0-0,欧洲预选,WCPEU,99_以色列,Israel,6_西班牙,Spain,0.0,0.0,,受让一球/球半|-1/-1.5,赢,小,负
1198585.0,650.0,2017/10/07 02:45,764.0,760.0,0-1,0-1,欧洲预选,WCPEU,182_列支敦士登,Liechtenstein,99_以色列,Israel,0.0,0.0,,受让两球|-2,输,小,胜
1198581.0,650.0,2017/09/06 02:45,771.0,760.0,1-0,0-0,欧洲预选,WCPEU,14_意大利,Italy,99_以色列,Israel,0.0,0.0,,两球|2,赢,小,负
1198579.0,650.0,2017/09/03 02:45,760.0,770.0,0-1,0-0,欧洲预选,WCPEU,99_以色列,Israel,73_马其顿,FYR Macedonia,0.0,0.0,,半球/一球|0.5/1,输,小,负
1198577.0,650.0,2017/06/12 02:45,760.0,761.0,0-3,0-2,欧洲预选,WCPEU,99_以色列,Israel,60_阿尔巴尼亚,Albania,0.0,0.0,,平手/半球|0/0.5,输,大,负
1391064.0,1366.0,2017/06/07 01:30,760.0,751.0,1-1,0-0,国际友谊,INT FRL,99_以色列,Israel,166_摩尔多瓦,Moldova,0.0,0.0,,球半|1.5,输,小,平
1198573.0,650.0,2017/03/25 03:45,772.0,760.0,4-1,2-0,欧洲预选,WCPEU,6_西班牙,Spain,99_以色列,Israel,0.0,0.0,,两球/两球半|2/2.5,输,大,负
1367294.0,1366.0,2017/03/08 23:59,760.0,830.0,2-0,0-0,国际友谊,INT FRL,99_以色列,Israel,220_弱鸡,Israel U21,0.0,0.0,,,,,胜
1198569.0,650.0,2016/11/13 03:45,761.0,760.0,0-3,0-1,欧洲预选,WCPEU,60_阿尔巴尼亚,Albania,99_以色列,Israel,2.0,0.0,,平手/半球|0/0.5,赢,大,胜
1198566.0,650.0,2016/10/09 23:59,760.0,764.0,2-1,2-0,欧洲预选,WCPEU,99_以色列,Israel,182_列支敦士登,Liechtenstein,0.0,0.0,,两球/两球半|2/2.5,输,小,胜
1198564.0,650.0,2016/10/07 02:45,770.0,760.0,1-2,0-2,欧洲预选,WCPEU,73_马其顿,FYR Macedonia,99_以色列,Israel,0.0,1.0,,平手|0,赢,大,胜
1198562.0,650.0,2016/09/06 02:45,760.0,771.0,1-3,1-2,欧洲预选,WCPEU,99_以色列,Israel,14_意大利,Italy,0.0,1.0,,受让半球/一球|-0.5/-1,输,大,负
1243480.0,1366.0,2016/06/01 02:15,642.0,760.0,3-1,1-0,国际友谊,INT FRL,37_塞尔维亚,Serbia,99_以色列,Israel,0.0,0.0,,半球/一球|0.5/1,输,大,负
1228600.0,1366.0,2016/03/24 01:00,768.0,760.0,2-0,2-0,国际友谊,INT FRL,15_克罗地亚,Croatia,99_以色列,Israel,0.0,0.0,,一球/球半|1/1.5,输,小,负
974935.0,67.0,2015/10/14 02:45,645.0,760.0,3-1,0-0,欧洲杯,EURO  Cup,5_比利时,Belgium,99_以色列,Israel,0.0,0.0,,球半|1.5,输,大,负
974939.0,67.0,2015/10/11 02:45,760.0,753.0,1-2,0-0,欧洲杯,EURO  Cup,99_以色列,Israel,92_塞浦路斯,Cyprus,0.0,0.0,,半球/一球|0.5/1,输,大,负
974942.0,67.0,2015/09/06 23:59,7384.0,760.0,0-0,0-0,欧洲杯,EURO  Cup,19_威尔士,Wales,99_以色列,Israel,0.0,0.0,,半球|0.5,赢,小,平
