赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502099.0,1864.0,2018/11/17 03:45,646.0,649.0,,,欧国联,UEFA  NL,21_荷兰,Netherlands,9_法国,France,0.0,0.0,,,,,
1502098.0,1864.0,2018/10/17 02:45,649.0,650.0,,,欧国联,UEFA  NL,9_法国,France,1_德国,Germany,0.0,0.0,,,,,
1502096.0,1864.0,2018/09/10 02:45,649.0,646.0,,,欧国联,UEFA  NL,9_法国,France,21_荷兰,Netherlands,0.0,0.0,,,,,
1502095.0,1864.0,2018/09/07 02:45,650.0,649.0,,,欧国联,UEFA  NL,1_德国,Germany,9_法国,France,0.0,0.0,,,,,
1483047.0,75.0,2018/06/30 22:00,649.0,766.0,,,世界杯,World Cup,9_法国,France,4_阿根廷,Argentina,0.0,0.0,,,,,
1482840.0,75.0,2018/06/26 22:00,638.0,649.0,0-0,0-0,世界杯,World Cup,12_丹麦,Denmark,9_法国,France,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1482837.0,75.0,2018/06/21 23:00,649.0,774.0,1-0,1-0,世界杯,World Cup,9_法国,France,11_秘鲁,Peru,0.0,0.0,,一球/球半|1/1.5,输,小,胜
1482835.0,75.0,2018/06/16 18:00,649.0,913.0,2-1,0-0,世界杯,World Cup,9_法国,France,36_澳大利亚,Australia,0.0,0.0,,球半/两球|1.5/2,输,大,胜
1543813.0,1366.0,2018/06/10 03:00,649.0,797.0,1-1,0-1,国际友谊,INT FRL,9_法国,France,25_美国,USA,0.0,0.0,,两球|2,输,小,平
1543751.0,1366.0,2018/06/02 03:00,649.0,771.0,3-1,2-1,国际友谊,INT FRL,9_法国,France,14_意大利,Italy,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1543284.0,1366.0,2018/05/29 03:00,649.0,630.0,2-0,2-0,国际友谊,INT FRL,9_法国,France,32_爱尔兰,Ireland,0.0,0.0,,球半|1.5,赢,小,胜
1521489.0,1366.0,2018/03/27 23:50,746.0,649.0,1-3,0-1,国际友谊,INT FRL,62_俄罗斯,Russia,9_法国,France,0.0,0.0,,受让一球|-1,赢,大,胜
1518992.0,1366.0,2018/03/24 04:00,649.0,775.0,2-3,2-1,国际友谊,INT FRL,9_法国,France,13_哥伦比亚,Colombia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1477414.0,1366.0,2017/11/15 03:45,650.0,649.0,2-2,0-1,国际友谊,INT FRL,1_德国,Germany,9_法国,France,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1476828.0,1366.0,2017/11/11 04:00,649.0,7384.0,2-0,1-0,国际友谊,INT FRL,9_法国,France,19_威尔士,Wales,0.0,0.0,,一球/球半|1/1.5,赢,小,胜
1198408.0,650.0,2017/10/11 02:45,649.0,750.0,2-1,2-1,欧洲预选,WCPEU,9_法国,France,93_白俄罗斯,Belarus,0.0,0.0,,两球半/三球|2.5/3,输,小,胜
1198406.0,650.0,2017/10/08 02:45,769.0,649.0,0-1,0-1,欧洲预选,WCPEU,42_保加利亚,Bulgaria,9_法国,France,0.0,0.0,,受让一球/球半|-1/-1.5,输,小,胜
1198403.0,650.0,2017/09/04 02:45,649.0,749.0,0-0,0-0,欧洲预选,WCPEU,9_法国,France,84_卢森堡,Luxembourg,0.0,0.0,,四球半|4.5,输,小,平
1198398.0,650.0,2017/09/01 02:45,649.0,646.0,4-0,1-0,欧洲预选,WCPEU,9_法国,France,21_荷兰,Netherlands,0.0,1.0,,半球/一球|0.5/1,赢,大,胜
1390580.0,1366.0,2017/06/14 03:00,649.0,744.0,3-2,2-1,国际友谊,INT FRL,9_法国,France,16_英格兰,England,1.0,0.0,,半球|0.5,赢,大,胜
1198396.0,650.0,2017/06/10 02:45,644.0,649.0,2-1,1-1,欧洲预选,WCPEU,18_瑞典,Sweden,9_法国,France,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1389650.0,1366.0,2017/06/03 03:00,649.0,776.0,5-0,2-0,国际友谊,INT FRL,9_法国,France,31_巴拉圭,Paraguay,0.0,0.0,,球半|1.5,赢,大,胜
1371588.0,1366.0,2017/03/29 03:00,649.0,772.0,0-2,0-0,国际友谊,INT FRL,9_法国,France,6_西班牙,Spain,0.0,0.0,,平手/半球|0/0.5,输,小,负
1198393.0,650.0,2017/03/26 03:45,749.0,649.0,1-3,1-2,欧洲预选,WCPEU,84_卢森堡,Luxembourg,9_法国,France,0.0,0.0,,受让两球半/三球|-2.5/-3,输,大,胜
1328251.0,1366.0,2016/11/16 04:00,649.0,809.0,0-0,0-0,国际友谊,INT FRL,9_法国,France,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,球半|1.5,输,小,平
